TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750921874884,25.4,0.4,10.0,0.0,15.0,0.0
63750921875919,25.9,0.9,10.0,0.0,15.0,0.0
63750921876949,26.5,1.5,10.0,0.0,15.0,0.0
63750921877981,25.6,0.6,10.0,0.0,15.0,0.1
63750921879011,25.5,0.5,10.0,0.0,15.0,0.1
63750921880034,25.7,0.7,10.0,0.0,15.0,0.1
63750921881059,25.7,0.7,10.0,0.0,15.0,0.1
63750921882089,26.8,1.8,10.0,0.0,15.0,0.6
63750921883114,25.8,0.8,10.0,0.0,15.0,0.4
63750921884139,26.9,1.9,10.0,0.0,15.0,0.1
63750921885165,25.5,0.5,10.0,0.0,15.0,0.3
63750921886201,25.5,0.5,10.0,0.0,15.0,0.1
63750921887244,25.3,0.3,10.0,0.0,15.0,0.0
63750921888274,25.7,0.7,10.0,0.0,15.0,0.1
63750921889306,25.9,0.9,10.0,0.0,15.0,0.2
63750921890340,25.5,0.5,10.0,0.0,15.0,0.1
63750921891383,25.2,0.2,10.0,0.0,15.0,0.0
63750921892419,25.3,0.3,10.0,0.0,15.0,0.0
63750921893449,25.6,0.6,10.0,0.0,15.0,0.0
63750921894488,25.2,0.2,10.0,0.0,15.0,0.0
63750921895543,25.4,0.4,10.0,0.0,15.0,0.0
63750921896577,25.5,0.5,10.0,0.0,15.0,0.1
63750921897605,25.2,0.2,10.0,0.0,15.0,0.0
63750921898639,25.7,0.7,10.0,0.0,15.0,0.0
63750921899686,25.2,0.2,10.0,0.0,15.0,0.0
63750921900716,25.7,0.7,10.0,0.0,15.0,0.0
63750921901747,25.4,0.4,10.0,0.0,15.0,0.0
63750921902777,25.3,0.3,10.0,0.0,15.0,0.0
63750921903824,26.4,1.4,10.0,0.0,15.0,0.4
63750921904851,26.2,1.2,10.0,0.0,15.0,0.3
63750921905865,27.1,2.1,10.0,0.0,15.0,0.1
63750921906885,26.0,1.0,10.0,0.0,15.0,0.5
63750921907933,26.3,1.3,10.0,0.0,15.0,0.6
63750921908962,25.4,0.4,10.0,0.0,15.0,0.2
63750921909995,25.9,0.9,10.0,0.0,15.0,0.5
63750921911025,25.5,0.5,10.0,0.0,15.0,0.2
63750921912078,26.2,1.2,10.0,0.0,15.0,0.6
63750921913104,26.4,1.4,10.0,0.0,15.0,0.6
63750921914138,25.8,0.8,10.0,0.0,15.0,0.3
63750921915168,25.3,0.3,10.0,0.0,15.0,0.0
63750921916217,25.4,0.4,10.0,0.0,15.0,0.0
63750921917250,25.7,0.7,10.0,0.0,15.0,0.0
63750921918281,25.7,0.7,10.0,0.0,15.0,0.0
