TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750923678197,25.6,0.6,10.0,0.0,15.0,0.0
63750923679246,25.5,0.5,10.0,0.0,15.0,0.0
63750923680266,26.3,1.3,10.0,0.0,15.0,0.0
63750923681292,25.5,0.5,10.0,0.0,15.0,0.1
63750923682332,25.6,0.6,10.0,0.0,15.0,0.0
63750923683385,25.1,0.1,10.0,0.0,15.0,0.0
63750923684437,25.5,0.5,10.0,0.0,15.0,0.2
63750923685454,27.5,2.5,10.0,0.0,15.0,0.2
63750923686483,25.5,0.5,10.0,0.0,15.0,0.3
63750923687529,26.3,1.3,10.0,0.0,15.0,0.5
63750923688541,25.4,0.4,10.0,0.0,15.0,0.1
63750923689558,25.6,0.6,10.0,0.0,15.0,0.2
63750923690580,25.6,0.6,10.0,0.0,15.0,0.2
63750923691613,25.6,0.6,10.0,0.0,15.0,0.3
63750923692639,25.3,0.3,10.0,0.0,15.0,0.1
63750923693679,27.5,2.5,10.0,0.0,15.0,0.7
63750923694714,25.4,0.4,10.0,0.0,15.0,0.0
63750923695761,25.3,0.3,10.0,0.0,15.0,0.0
