TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750924922918,25.3,0.3,10.0,0.0,15.0,0.0
63750924923941,25.3,0.3,10.0,0.0,15.0,0.0
63750924924984,25.6,0.6,10.0,0.0,15.0,0.0
63750924926011,25.5,0.5,10.0,0.0,15.0,0.1
63750924927062,25.4,0.4,10.0,0.0,15.0,0.0
63750924928072,26.4,1.3,10.0,0.0,15.0,0.2
63750924929094,25.3,0.3,10.0,0.0,15.0,0.0
63750924930109,25.6,0.5,10.0,0.0,15.0,0.1
63750924931157,27.0,2.0,10.0,0.0,15.0,0.4
63750924932197,26.7,1.6,10.0,0.0,15.0,0.7
63750924933227,25.5,0.5,10.0,0.0,15.0,0.2
63750924934259,25.4,0.4,10.0,0.0,15.0,0.2
63750924935312,25.6,0.6,10.0,0.0,15.0,0.2
63750924936342,25.7,0.7,10.0,0.0,15.0,0.3
63750924937364,25.6,0.6,10.0,0.0,15.0,0.3
63750924938384,25.5,0.5,10.0,0.0,15.0,0.2
63750924939412,26.6,1.6,10.0,0.0,15.0,1.0
63750924940446,26.1,1.1,10.0,0.0,15.0,0.4
63750924941484,25.6,0.6,10.0,0.0,15.0,0.4
63750924942512,25.6,0.6,10.0,0.0,15.0,0.3
63750924943557,25.8,0.8,10.0,0.0,15.0,0.4
63750924944591,25.5,0.4,10.0,0.0,15.0,0.2
63750924945623,25.4,0.4,10.0,0.0,15.0,0.0
63750924946650,25.4,0.4,10.0,0.0,15.0,0.0
