TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750920954556,25.4,0.4,10.0,0.0,15.0,0.0
63750920955591,25.8,0.8,10.0,0.0,15.0,0.1
63750920956619,25.7,0.7,10.0,0.0,15.0,0.0
63750920957642,25.6,0.6,10.0,0.0,15.0,0.4
63750920958678,29.9,4.9,10.0,0.0,15.0,1.6
63750920959699,25.4,0.4,10.0,0.0,15.0,0.1
63750920960737,29.1,4.1,10.0,0.0,15.0,0.9
63750920961775,25.5,0.5,10.0,0.0,15.0,0.1
63750920962823,25.8,0.8,10.0,0.0,15.0,0.1
63750920963849,25.3,0.3,10.0,0.0,15.0,0.1
63750920964872,27.4,2.4,10.0,0.0,15.0,0.5
63750920965905,25.3,0.3,10.0,0.0,15.0,0.1
63750920966955,25.7,0.7,10.0,0.0,15.0,0.1
63750920968002,25.4,0.4,10.0,0.0,15.0,0.1
63750920969037,25.8,0.8,10.0,0.0,15.0,0.1
63750920970062,25.2,0.2,10.0,0.0,15.0,0.0
63750920971089,25.6,0.6,10.0,0.0,15.0,0.0
63750920972119,26.3,1.3,10.0,0.0,15.0,0.4
63750920973157,25.7,0.7,10.0,0.0,15.0,0.0
63750920974185,27.3,2.3,10.0,0.0,15.0,0.1
63750920975230,26.0,1.0,10.0,0.0,15.0,0.0
63750920976263,25.4,0.4,10.0,0.0,15.0,0.0
63750920977294,25.6,0.6,10.0,0.0,15.0,0.0
63750920978313,26.5,1.5,10.0,0.0,15.0,0.0
63750920979352,25.9,0.9,10.0,0.0,15.0,0.0
63750920980393,25.4,0.4,10.0,0.0,15.0,0.0
