TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750923523271,25.6,0.6,10.0,0.0,15.0,0.0
63750923524290,25.5,0.5,10.0,0.0,15.0,0.0
63750923525330,25.8,0.8,10.0,0.0,15.0,0.2
63750923526373,25.4,0.4,10.0,0.0,15.0,0.0
63750923527419,25.3,0.3,10.0,0.0,15.0,0.0
63750923528433,25.7,0.7,10.0,0.0,15.0,0.2
63750923529455,31.5,6.5,10.0,0.0,15.0,5.0
63750923530482,28.8,3.8,10.0,0.0,15.0,3.2
63750923531530,25.7,0.7,10.0,0.0,15.0,0.0
63750923532545,25.8,0.8,10.0,0.0,15.0,0.1
63750923533560,27.0,2.0,10.0,0.0,15.0,1.9
63750923534591,33.6,8.6,10.0,0.0,15.0,6.5
63750923535651,25.4,0.4,10.0,0.0,15.0,0.0
63750923536671,25.4,0.4,10.0,0.0,15.0,0.2
63750923537694,26.4,1.4,10.0,0.0,15.0,1.2
63750923538732,28.0,3.0,10.0,0.0,15.0,2.3
63750923539770,25.5,0.5,10.0,0.0,15.0,0.0
63750923540782,26.1,1.1,10.0,0.0,15.0,0.8
63750923541794,30.9,5.9,10.0,0.0,15.0,5.1
63750923542821,26.7,1.7,10.0,0.0,15.0,1.1
63750923543873,25.2,0.2,10.0,0.0,15.0,0.0
63750923544904,25.2,0.2,10.0,0.0,15.0,0.0
63750923545920,27.4,2.4,10.0,0.0,15.0,2.1
63750923546939,28.4,3.4,10.0,0.0,15.0,3.0
63750923547976,25.3,0.3,10.0,0.0,15.0,0.1
63750923549013,25.2,0.2,10.0,0.0,15.0,0.0
63750923550035,25.5,0.4,10.0,0.0,15.0,0.2
63750923551045,27.2,2.2,10.0,0.0,15.0,2.0
63750923552084,25.8,0.8,10.0,0.0,15.0,0.6
63750923553117,25.9,0.9,10.0,0.0,15.0,0.0
63750923554150,25.2,0.2,10.0,0.0,15.0,0.0
63750923555171,29.6,4.6,10.0,0.0,15.0,3.9
63750923556216,27.8,2.8,10.0,0.0,15.0,2.1
63750923557262,25.4,0.4,10.0,0.0,15.0,0.0
63750923558294,25.2,0.2,10.0,0.0,15.0,0.0
63750923559313,27.2,2.1,10.0,0.0,15.0,1.6
63750923560356,27.8,2.8,10.0,0.0,15.0,2.2
63750923561388,25.2,0.2,10.0,0.0,15.0,0.0
63750923562402,25.3,0.3,10.0,0.0,15.0,0.1
63750923563422,29.6,4.6,10.0,0.0,15.0,4.1
63750923564463,27.4,2.4,10.0,0.0,15.0,1.7
63750923565493,25.2,0.2,10.0,0.0,15.0,0.0
63750923566528,25.2,0.2,10.0,0.0,15.0,0.0
63750923567554,25.3,0.3,10.0,0.0,15.0,0.2
63750923568576,27.8,2.8,10.0,0.0,15.0,2.3
63750923569605,27.6,2.6,10.0,0.0,15.0,1.9
63750923570636,25.2,0.2,10.0,0.0,15.0,0.0
63750923571669,25.2,0.2,10.0,0.0,15.0,0.0
63750923572689,25.5,0.5,10.0,0.0,15.0,0.4
63750923573702,30.8,5.8,10.0,0.0,15.0,4.8
63750923574730,26.8,1.8,10.0,0.0,15.0,1.5
63750923575762,25.1,0.1,10.0,0.0,15.0,0.0
63750923576782,26.5,1.4,10.0,0.0,15.0,1.0
63750923577793,31.3,6.3,10.0,0.0,15.0,5.7
63750923578814,27.2,2.2,10.0,0.0,15.0,1.1
63750923579838,25.2,0.2,10.0,0.0,15.0,0.0
63750923580859,25.3,0.3,10.0,0.0,15.0,0.0
63750923581883,25.9,0.9,10.0,0.0,15.0,0.0
