TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750923742979,25.3,0.3,10.0,0.0,15.0,0.0
63750923744013,25.3,0.3,10.0,0.0,15.0,0.0
63750923745055,25.6,0.6,10.0,0.0,15.0,0.1
63750923746093,26.3,1.3,10.0,0.0,15.0,0.4
63750923747106,25.7,0.7,10.0,0.0,15.0,0.1
63750923748135,26.0,1.0,10.0,0.0,15.0,0.0
63750923749183,25.4,0.4,10.0,0.0,15.0,0.1
63750923750206,25.8,0.8,10.0,0.0,15.0,0.2
63750923751248,25.5,0.5,10.0,0.0,15.0,0.3
63750923752264,27.0,2.0,10.0,0.0,15.0,0.5
63750923753307,25.9,0.9,10.0,0.0,15.0,0.2
63750923754349,25.7,0.7,10.0,0.0,15.0,0.2
63750923755390,25.5,0.5,10.0,0.0,15.0,0.2
63750923756419,27.9,2.9,10.0,0.0,15.0,1.5
63750923757465,25.5,0.5,10.0,0.0,15.0,0.2
63750923758497,25.3,0.3,10.0,0.0,15.0,0.0
63750923759525,25.1,0.1,10.0,0.0,15.0,0.0
63750923760557,25.5,0.5,10.0,0.0,15.0,0.0
63750923761606,25.4,0.4,10.0,0.0,15.0,0.0
