TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750924858395,25.9,0.9,10.0,0.0,15.0,0.0
63750924859411,26.1,1.1,10.0,0.0,15.0,0.0
63750924860436,25.4,0.3,10.0,0.0,15.0,0.0
63750924861493,25.6,0.6,10.0,0.0,15.0,0.1
63750924862528,26.2,1.2,10.0,0.0,15.0,0.1
63750924863559,25.3,0.3,10.0,0.0,15.0,0.0
63750924864587,25.7,0.7,10.0,0.0,15.0,0.2
63750924865641,25.7,0.7,10.0,0.0,15.0,0.3
63750924866652,26.4,1.4,10.0,0.0,15.0,0.7
63750924867671,31.6,6.4,10.0,0.2,15.0,4.9
63750924868701,26.7,1.7,10.0,0.0,15.0,0.7
63750924869748,26.6,1.6,10.0,0.0,15.0,0.7
63750924870765,25.7,0.7,10.0,0.0,15.0,0.3
63750924871791,25.9,0.9,10.0,0.0,15.0,0.4
63750924872821,25.5,0.5,10.0,0.0,15.0,0.1
63750924873868,25.4,0.4,10.0,0.0,15.0,0.1
63750924874898,25.2,0.2,10.0,0.0,15.0,0.0
63750924875933,25.7,0.7,10.0,0.0,15.0,0.0
63750924876951,25.4,0.4,10.0,0.0,15.0,0.0
