TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750920586792,25.5,0.5,10.0,0.0,15.0,0.0
63750920587830,25.4,0.4,10.0,0.0,15.0,0.0
63750920588866,26.1,1.1,10.0,0.0,15.0,0.1
63750920589889,25.3,0.3,10.0,0.0,15.0,0.1
63750920590924,25.9,0.9,10.0,0.0,15.0,0.2
63750920591970,25.4,0.4,10.0,0.0,15.0,0.1
63750920592987,25.9,0.9,10.0,0.0,15.0,0.4
63750920594007,25.7,0.7,10.0,0.0,15.0,0.3
63750920595038,25.8,0.8,10.0,0.0,15.0,0.2
63750920596063,25.4,0.4,10.0,0.0,15.0,0.2
63750920597092,27.5,2.5,10.0,0.0,15.0,0.4
63750920598127,25.3,0.3,10.0,0.0,15.0,0.2
63750920599169,25.9,0.9,10.0,0.0,15.0,0.2
63750920600196,25.4,0.4,10.0,0.0,15.0,0.2
63750920601246,25.9,0.9,10.0,0.0,15.0,0.2
63750920602275,25.3,0.3,10.0,0.0,15.0,0.2
63750920603312,26.0,1.0,10.0,0.0,15.0,0.3
63750920604346,25.6,0.6,10.0,0.0,15.0,0.2
63750920605381,30.2,5.2,10.0,0.0,15.0,0.2
63750920606400,31.4,6.4,10.0,0.0,15.0,0.1
63750920607433,26.5,1.4,10.0,0.0,15.0,0.0
63750920608462,25.6,0.6,10.0,0.0,15.0,0.0
