TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750920497357,25.4,0.4,10.0,0.0,15.0,0.0
63750920498403,27.2,2.2,10.0,0.0,15.0,0.4
63750920499433,25.9,0.9,10.0,0.0,15.0,0.2
63750920500465,25.1,0.1,10.0,0.0,15.0,0.0
63750920501498,25.9,0.9,10.0,0.0,15.0,0.2
63750920502538,26.0,1.0,10.0,0.0,15.0,0.4
63750920503566,27.5,2.5,10.0,0.0,15.0,0.7
63750920504612,26.1,1.1,10.0,0.0,15.0,0.4
63750920505636,25.9,0.9,10.0,0.0,15.0,0.2
63750920506692,25.6,0.6,10.0,0.0,15.0,0.3
63750920507730,25.8,0.8,10.0,0.0,15.0,0.2
63750920508759,25.4,0.4,10.0,0.0,15.0,0.2
63750920509795,25.8,0.8,10.0,0.0,15.0,0.1
63750920510844,25.4,0.3,10.0,0.0,15.0,0.1
63750920511871,27.0,2.0,10.0,0.0,15.0,0.0
63750920512901,25.1,0.1,10.0,0.0,15.0,0.0
63750920513934,26.1,1.1,10.0,0.0,15.0,0.2
63750920514979,25.4,0.4,10.0,0.0,15.0,0.0
63750920516000,27.8,2.8,10.0,0.0,15.0,0.0
63750920517029,25.4,0.4,10.0,0.0,15.0,0.0
63750920518068,25.8,0.8,10.0,0.0,15.0,0.0
