TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750926338228,25.6,0.6,10.0,0.0,15.0,0.0
63750926339264,25.6,0.6,10.0,0.0,15.0,0.1
63750926340299,26.1,1.1,10.0,0.0,15.0,0.6
63750926341336,28.5,3.5,10.0,0.0,15.0,2.6
63750926342364,25.8,0.8,10.0,0.0,15.0,0.4
63750926343374,27.9,2.9,10.0,0.0,15.0,0.5
63750926344418,25.4,0.4,10.0,0.0,15.0,0.0
63750926345448,25.8,0.8,10.0,0.0,15.0,0.4
63750926346466,31.0,6.0,10.0,0.0,15.0,4.3
63750926347487,27.2,2.2,10.0,0.0,15.0,1.0
63750926348544,25.7,0.7,10.0,0.0,15.0,0.4
63750926349595,25.6,0.6,10.0,0.0,15.0,0.3
63750926350633,27.5,2.5,10.0,0.0,15.0,1.5
63750926351671,29.8,4.8,10.0,0.0,15.0,3.0
63750926352715,26.1,1.1,10.0,0.0,15.0,0.2
63750926353767,25.7,0.7,10.0,0.0,15.0,0.2
63750926354808,29.2,4.2,10.0,0.0,15.0,2.1
63750926355836,28.1,3.1,10.0,0.0,15.0,2.1
63750926356864,27.2,2.2,10.0,0.0,15.0,1.1
63750926357901,25.4,0.4,10.0,0.0,15.0,0.2
63750926358927,28.0,3.0,10.0,0.0,15.0,1.9
63750926359941,26.2,1.2,10.0,0.0,15.0,0.8
63750926360997,27.3,2.3,10.0,0.0,15.0,1.2
63750926362047,25.6,0.6,10.0,0.0,15.0,0.1
63750926363073,25.1,0.1,10.0,0.0,15.0,0.0
63750926364104,25.2,0.2,10.0,0.0,15.0,0.0
63750926365149,27.3,2.3,10.0,0.0,15.0,0.8
63750926366191,25.9,0.9,10.0,0.0,15.0,0.5
63750926367229,26.5,1.5,10.0,0.0,15.0,0.5
63750926368260,25.6,0.6,10.0,0.0,15.0,0.2
63750926369292,25.7,0.7,10.0,0.0,15.0,0.3
63750926370314,26.2,1.2,10.0,0.0,15.0,0.3
63750926371337,27.7,2.7,10.0,0.0,15.0,1.9
63750926372367,25.7,0.7,10.0,0.0,15.0,0.3
63750926373400,25.3,0.3,10.0,0.0,15.0,0.1
63750926374430,27.2,2.2,10.0,0.0,15.0,1.5
63750926375470,26.2,1.2,10.0,0.0,15.0,0.8
63750926376509,26.1,1.1,10.0,0.0,15.0,0.6
63750926377557,25.5,0.5,10.0,0.0,15.0,0.2
63750926378618,25.8,0.8,10.0,0.0,15.0,0.4
63750926379643,28.0,3.0,10.0,0.0,15.0,2.1
63750926380662,26.8,1.8,10.0,0.0,15.0,0.4
63750926381710,25.7,0.7,10.0,0.0,15.0,0.2
63750926382744,25.2,0.2,10.0,0.0,15.0,0.0
63750926383783,28.4,3.4,10.0,0.0,15.0,1.6
63750926384823,25.4,0.4,10.0,0.0,15.0,0.1
63750926385868,25.4,0.4,10.0,0.0,15.0,0.1
63750926386909,26.4,1.4,10.0,0.0,15.0,0.6
63750926387943,25.4,0.4,10.0,0.0,15.0,0.1
63750926388982,25.5,0.5,10.0,0.0,15.0,0.1
63750926390022,27.0,2.0,10.0,0.0,15.0,0.9
63750926391058,25.2,0.2,10.0,0.0,15.0,0.0
63750926392089,25.5,0.5,10.0,0.0,15.0,0.1
63750926393110,25.3,0.3,10.0,0.0,15.0,0.1
63750926394156,25.5,0.5,10.0,0.0,15.0,0.2
63750926395170,25.4,0.4,10.0,0.0,15.0,0.1
63750926396197,29.0,4.0,10.0,0.0,15.0,2.4
63750926397230,25.9,0.9,10.0,0.0,15.0,0.6
63750926398270,25.6,0.6,10.0,0.0,15.0,0.2
63750926399309,25.3,0.3,10.0,0.0,15.0,0.0
63750926400334,27.7,2.7,10.0,0.0,15.0,1.7
63750926401363,29.1,4.1,10.0,0.0,15.0,1.9
63750926402391,26.1,1.1,10.0,0.0,15.0,0.2
63750926403417,26.3,1.3,10.0,0.0,15.0,0.1
63750926404448,27.5,2.5,10.0,0.0,15.0,0.0
63750926405476,25.4,0.4,10.0,0.0,15.0,0.0
