TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750919912494,25.5,0.5,10.0,0.0,15.0,0.0
63750919913530,25.5,0.5,10.0,0.0,15.0,0.1
63750919914575,25.6,0.6,10.0,0.0,15.0,0.1
63750919915588,25.6,0.6,10.0,0.0,15.0,0.0
63750919916603,26.2,1.2,10.0,0.0,15.0,0.2
63750919917646,25.2,0.2,10.0,0.0,15.0,0.0
63750919918697,25.4,0.4,10.0,0.0,15.0,0.1
63750919919734,25.2,0.2,10.0,0.0,15.0,0.1
63750919920765,27.1,2.1,10.0,0.0,15.0,0.2
63750919921785,25.5,0.5,10.0,0.0,15.0,0.1
63750919922809,25.3,0.3,10.0,0.0,15.0,0.2
63750919923840,25.7,0.6,10.0,0.0,15.0,0.2
63750919924889,25.2,0.2,10.0,0.0,15.0,0.1
63750919925915,25.4,0.4,10.0,0.0,15.0,0.1
63750919926965,25.5,0.5,10.0,0.0,15.0,0.1
63750919927997,25.4,0.4,10.0,0.0,15.0,0.2
63750919929043,25.4,0.4,10.0,0.0,15.0,0.1
63750919930086,25.4,0.4,10.0,0.0,15.0,0.1
63750919931135,25.4,0.4,10.0,0.0,15.0,0.2
63750919932167,25.4,0.4,10.0,0.0,15.0,0.1
63750919933198,25.2,0.2,10.0,0.0,15.0,0.0
63750919934231,25.3,0.3,10.0,0.0,15.0,0.0
63750919935278,25.3,0.3,10.0,0.0,15.0,0.0
63750919936309,25.4,0.4,10.0,0.0,15.0,0.1
63750919937328,28.7,3.7,10.0,0.0,15.0,0.1
63750919938361,25.5,0.5,10.0,0.0,15.0,0.0
63750919939410,25.5,0.5,10.0,0.0,15.0,0.0
