TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750925934630,25.6,0.6,10.0,0.0,15.0,0.0
63750925935669,25.6,0.6,10.0,0.0,15.0,0.1
63750925936684,26.5,1.5,10.0,0.0,15.0,0.0
63750925937732,26.0,1.0,10.0,0.0,15.0,0.1
63750925938761,25.8,0.8,10.0,0.0,15.0,0.0
63750925939789,25.7,0.7,10.0,0.0,15.0,0.3
63750925940823,25.7,0.7,10.0,0.0,15.0,0.4
63750925941870,25.6,0.6,10.0,0.0,15.0,0.3
63750925942901,26.6,1.6,10.0,0.0,15.0,0.8
63750925943942,27.1,2.1,10.0,0.0,15.0,1.2
63750925944980,25.6,0.6,10.0,0.0,15.0,0.4
63750925946021,26.2,1.2,10.0,0.0,15.0,0.7
63750925947048,25.8,0.8,10.0,0.0,15.0,0.6
63750925948075,25.3,0.3,10.0,0.0,15.0,0.1
63750925949102,25.6,0.6,10.0,0.0,15.0,0.2
63750925950146,25.3,0.3,10.0,0.0,15.0,0.0
63750925951181,25.4,0.4,10.0,0.0,15.0,0.0
63750925952213,25.3,0.3,10.0,0.0,15.0,0.0
63750925953241,26.7,1.7,10.0,0.0,15.0,0.0
63750925954272,26.3,1.3,10.0,0.0,15.0,0.0
