TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750919749031,25.2,0.2,10.0,0.0,15.0,0.0
63750919750072,25.7,0.7,10.0,0.0,15.0,0.0
63750919751106,26.3,1.3,10.0,0.0,15.0,0.0
63750919752141,25.5,0.5,10.0,0.0,15.0,0.1
63750919753179,25.6,0.6,10.0,0.0,15.0,0.1
63750919754229,25.8,0.8,10.0,0.0,15.0,0.0
63750919755264,25.4,0.4,10.0,0.0,15.0,0.0
63750919756295,25.5,0.5,10.0,0.0,15.0,0.0
63750919757325,25.5,0.4,10.0,0.0,15.0,0.1
63750919758370,26.1,1.1,10.0,0.0,15.0,0.1
63750919759404,25.2,0.2,10.0,0.0,15.0,0.0
63750919760434,25.2,0.2,10.0,0.0,15.0,0.0
63750919761493,25.4,0.4,10.0,0.0,15.0,0.2
63750919762545,25.2,0.2,10.0,0.0,15.0,0.0
63750919763590,25.1,0.1,10.0,0.0,15.0,0.0
63750919764624,26.1,1.1,10.0,0.0,15.0,0.3
63750919765656,25.2,0.2,10.0,0.0,15.0,0.0
63750919766716,28.1,3.1,10.0,0.0,15.0,0.5
63750919767759,25.2,0.2,10.0,0.0,15.0,0.0
63750919768792,25.5,0.5,10.0,0.0,15.0,0.2
63750919769825,25.2,0.2,10.0,0.0,15.0,0.0
63750919770875,25.3,0.3,10.0,0.0,15.0,0.1
63750919771918,25.3,0.3,10.0,0.0,15.0,0.1
63750919772951,25.3,0.3,10.0,0.0,15.0,0.1
63750919773982,25.3,0.3,10.0,0.0,15.0,0.0
63750919775031,25.4,0.4,10.0,0.0,15.0,0.1
63750919776060,25.2,0.2,10.0,0.0,15.0,0.0
63750919777091,25.4,0.4,10.0,0.0,15.0,0.1
63750919778134,25.6,0.6,10.0,0.0,15.0,0.3
63750919779194,25.3,0.3,10.0,0.0,15.0,0.1
63750919780235,26.5,1.5,10.0,0.0,15.0,1.0
63750919781279,25.2,0.2,10.0,0.0,15.0,0.0
63750919782330,25.4,0.4,10.0,0.0,15.0,0.1
63750919783388,25.3,0.3,10.0,0.0,15.0,0.0
63750919784429,25.4,0.4,10.0,0.0,15.0,0.1
63750919785467,25.3,0.3,10.0,0.0,15.0,0.0
63750919786498,25.4,0.4,10.0,0.0,15.0,0.0
63750919787525,25.5,0.5,10.0,0.0,15.0,0.0
63750919788564,29.3,4.2,10.0,0.1,15.0,0.2
