TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750924737122,25.3,0.3,10.0,0.0,15.0,0.0
63750924738176,25.4,0.3,10.0,0.0,15.0,0.0
63750924739209,26.5,1.5,10.0,0.0,15.0,0.4
63750924740248,25.3,0.3,10.0,0.0,15.0,0.0
63750924741282,25.5,0.5,10.0,0.0,15.0,0.1
63750924742315,27.7,2.7,10.0,0.0,15.0,0.2
63750924743343,25.5,0.5,10.0,0.0,15.0,0.1
63750924744364,25.4,0.4,10.0,0.0,15.0,0.2
63750924745385,25.4,0.4,10.0,0.0,15.0,0.1
63750924746422,25.4,0.4,10.0,0.0,15.0,0.2
63750924747446,27.5,2.5,10.0,0.0,15.0,0.3
63750924748471,25.5,0.5,10.0,0.0,15.0,0.1
63750924749497,25.5,0.5,10.0,0.0,15.0,0.3
63750924750542,26.6,1.6,10.0,0.0,15.0,0.7
63750924751582,25.6,0.6,10.0,0.0,15.0,0.2
63750924752624,25.2,0.2,10.0,0.0,15.0,0.1
63750924753661,26.7,1.7,10.0,0.0,15.0,0.0
