TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750925871087,25.6,0.6,10.0,0.0,15.0,0.0
63750925872094,25.9,0.9,10.0,0.0,15.0,0.0
63750925873103,26.0,1.0,10.0,0.0,15.0,0.0
63750925874102,26.1,1.1,10.0,0.0,15.0,0.3
63750925875111,25.6,0.6,10.0,0.0,15.0,0.0
63750925876142,25.9,0.9,10.0,0.0,15.0,0.0
63750925877170,27.8,2.8,10.0,0.0,15.0,0.0
63750925878198,25.1,0.1,10.0,0.0,15.0,0.0
63750925879233,25.2,0.2,10.0,0.0,15.0,0.0
63750925880273,25.7,0.7,10.0,0.0,15.0,0.0
63750925881312,25.3,0.3,10.0,0.0,15.0,0.1
63750925882327,25.2,0.1,10.0,0.0,15.0,0.0
63750925883356,25.4,0.4,10.0,0.0,15.0,0.2
63750925884379,25.6,0.5,10.0,0.0,15.0,0.3
63750925885406,25.5,0.5,10.0,0.0,15.0,0.2
63750925886437,25.6,0.6,10.0,0.0,15.0,0.3
63750925887471,25.6,0.6,10.0,0.0,15.0,0.3
63750925888537,25.7,0.7,10.0,0.0,15.0,0.2
63750925889571,25.6,0.6,10.0,0.0,15.0,0.2
63750925890603,25.8,0.8,10.0,0.0,15.0,0.3
63750925891635,25.3,0.3,10.0,0.0,15.0,0.0
63750925892680,25.4,0.4,10.0,0.0,15.0,0.0
