TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750926110180,25.8,0.8,10.0,0.0,15.0,0.0
63750926111213,25.4,0.4,10.0,0.0,15.0,0.0
63750926112246,25.5,0.5,10.0,0.0,15.0,0.1
63750926113264,25.5,0.5,10.0,0.0,15.0,0.1
63750926114306,25.5,0.5,10.0,0.0,15.0,0.3
63750926115348,25.5,0.5,10.0,0.0,15.0,0.2
63750926116385,25.4,0.4,10.0,0.0,15.0,0.2
63750926117420,25.5,0.5,10.0,0.0,15.0,0.3
63750926118461,25.6,0.6,10.0,0.0,15.0,0.3
63750926119482,25.6,0.6,10.0,0.0,15.0,0.3
63750926120513,25.6,0.6,10.0,0.0,15.0,0.4
63750926121544,25.6,0.6,10.0,0.0,15.0,0.3
63750926122603,25.4,0.4,10.0,0.0,15.0,0.0
63750926123633,25.5,0.5,10.0,0.0,15.0,0.0
