TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750926009703,25.6,0.6,10.0,0.0,15.0,0.0
63750926010747,25.5,0.5,10.0,0.0,15.0,0.0
63750926011796,25.5,0.5,10.0,0.0,15.0,0.0
63750926012830,25.5,0.5,10.0,0.0,15.0,0.1
63750926013856,27.2,2.2,10.0,0.0,15.0,0.2
63750926014895,25.8,0.8,10.0,0.0,15.0,0.3
63750926015942,26.2,1.2,10.0,0.0,15.0,0.6
63750926016964,25.8,0.8,10.0,0.0,15.0,0.3
63750926017989,25.5,0.5,10.0,0.0,15.0,0.3
63750926019020,25.9,0.9,10.0,0.0,15.0,0.5
63750926020073,26.6,1.6,10.0,0.0,15.0,0.9
63750926021102,25.5,0.5,10.0,0.0,15.0,0.2
63750926022153,25.4,0.4,10.0,0.0,15.0,0.0
63750926023186,25.4,0.3,10.0,0.0,15.0,0.0
