System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:40:55:468, 225974717317114,    0.108,    8.000,  800,  15.551,   1.673,   0.465,   3.449,   0.371,   0.103, 40,  0,   0.698,   0.075,   0.021,   0.035,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:55:583, 225975040321798,    0.223,    8.000,  800,  12.990,   3.168,   0.880,   0.756,   0.458,   0.127, 40,  0,   0.733,   0.159,   0.044,   0.043,   0.009,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:55:691, 225975344093961,    0.331,   10.000,  900,  12.814,   4.554,   1.265,   0.780,   0.542,   0.151, 40,  0,   0.619,   0.226,   0.063,   0.004,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:55:798, 225975646253999,    0.438,    9.000,  800,  12.632,   5.913,   1.643,   0.669,   0.614,   0.171, 40,  0,   0.665,   0.298,   0.083,   0.006,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:55:912, 225975963677221,    0.551,    8.000,  800,  12.837,   7.364,   2.046,   0.618,   0.684,   0.190, 40,  0,   0.741,   0.382,   0.106,   0.040,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:56:021, 225976269777301,    0.660,   10.000,  800,  12.758,   8.755,   2.432,   0.716,   0.762,   0.212, 39,  0,   0.653,   0.453,   0.126,   0.027,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:56:128, 225976570025690,    0.767,    6.000,  800,  12.505,  10.092,   2.803,   0.468,   0.812,   0.226, 39,  0,   0.646,   0.522,   0.145,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:56:236, 225976874008365,    0.876,    7.000,  800,  12.531,  11.449,   3.180,   0.496,   0.866,   0.241, 40,  0,   0.660,   0.593,   0.165,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:56:343, 225977174894755,    0.983,    8.000,  800,  12.666,  12.806,   3.557,   0.667,   0.938,   0.260, 39,  0,   0.603,   0.658,   0.183,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:56:457, 225977493153440,    1.096,   15.000,  800,  13.090,  14.290,   3.969,   0.984,   1.049,   0.291, 40,  0,   0.654,   0.732,   0.203,   0.042,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:56:570, 225977810372114,    1.209,   10.000,  800,  12.834,  15.739,   4.372,   0.750,   1.134,   0.315, 40,  0,   0.733,   0.815,   0.226,   0.013,   0.023,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:56:677, 225978112978209,    1.317,   16.000, 1400,  13.548,  17.199,   4.778,   1.380,   1.282,   0.356, 40,  0,   0.668,   0.887,   0.246,   0.032,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:56:786, 225978418750182,    1.426,    8.000,  800,  12.683,  18.580,   5.161,   0.653,   1.354,   0.376, 39,  0,   0.679,   0.961,   0.267,   0.000,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:56:896, 225978726833525,    1.535,    4.000,  800,  12.289,  19.929,   5.536,   0.337,   1.391,   0.386, 39,  0,   0.600,   1.027,   0.285,   0.000,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:57:004, 225979029993000,    1.643,    8.000,  800,  12.623,  21.292,   5.914,   0.681,   1.464,   0.407, 40,  0,   0.594,   1.091,   0.303,   0.000,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:57:115, 225979340674026,    1.754,   17.000,  900,  13.251,  22.758,   6.322,   1.087,   1.584,   0.440, 39,  0,   0.703,   1.169,   0.325,   0.058,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:57:221, 225979639967872,    1.861,   15.000, 1500,  14.080,  24.258,   6.738,   1.807,   1.777,   0.494, 40,  0,   0.774,   1.251,   0.348,   0.078,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:57:329, 225979942701447,    1.968,   14.000,  900,  12.937,  25.653,   7.126,   0.936,   1.878,   0.522, 40,  0,   0.688,   1.325,   0.368,   0.005,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:57:441, 225980257716160,    2.081,   53.000, 1500,  14.954,  27.331,   7.592,   2.609,   2.171,   0.603, 41,  0,   0.849,   1.420,   0.395,   0.051,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:57:549, 225980561520248,    2.189,    6.000,  800,  12.586,  28.693,   7.970,   0.615,   2.237,   0.621, 39,  0,   0.653,   1.491,   0.414,   0.000,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:57:657, 225980864339055,    2.297,   10.000,  900,  12.952,  30.089,   8.358,   0.818,   2.325,   0.646, 40,  0,   0.653,   1.562,   0.434,   0.018,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:57:765, 225981166733822,    2.404,    2.000,  800,  12.064,  31.388,   8.719,   0.182,   2.345,   0.651, 39,  0,   0.554,   1.621,   0.450,   0.000,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:57:880, 225981488841128,    2.519,    2.000,  800,  12.114,  32.778,   9.105,   0.234,   2.372,   0.659, 39,  0,   0.571,   1.687,   0.469,   0.000,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:57:985, 225981785661700,    2.625,   14.000,  900,  13.027,  34.155,   9.488,   0.909,   2.468,   0.686, 40,  0,   0.696,   1.760,   0.489,   0.018,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:58:099, 225982105500811,    2.739,   16.000,  800,  13.242,  35.663,   9.906,   1.042,   2.586,   0.718, 40,  0,   0.723,   1.843,   0.512,   0.050,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:58:204, 225982401181057,    2.844,   13.000,  800,  12.863,  37.018,  10.283,   0.745,   2.665,   0.740, 40,  0,   0.720,   1.918,   0.533,   0.068,   0.065,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:58:314, 225982708572712,    2.953,   25.000,  900,  13.693,  38.517,  10.699,   1.543,   2.834,   0.787, 40,  0,   0.735,   1.999,   0.555,   0.035,   0.069,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:58:444, 225983073924473,    3.084,   39.000, 1300,  14.251,  40.371,  11.214,   2.034,   3.099,   0.861, 40,  0,   0.805,   2.104,   0.584,   0.068,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:58:531, 225983318933592,    3.171,   16.000,  800,  14.801,  41.662,  11.573,   2.459,   3.313,   0.920, 40,  0,   0.827,   2.176,   0.604,   0.041,   0.081,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:58:642, 225983628758919,    3.281,   17.000,  800,  13.269,  43.126,  11.980,   1.089,   3.433,   0.954, 40,  0,   0.830,   2.267,   0.630,   0.062,   0.088,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:58:750, 225983933332065,    3.390,   11.000,  800,  13.048,  44.542,  12.373,   0.806,   3.521,   0.978, 40,  0,   0.689,   2.342,   0.651,   0.048,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
21:40:58:865, 225984256113976,    3.505,   10.000,  800,  12.879,  46.022,  12.784,   0.712,   3.603,   1.001, 39,  0,   0.716,   2.424,   0.673,   0.053,   0.099,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:58:972, 225984555325899,    3.611,    7.000,  800,  12.615,  47.366,  13.157,   0.528,   3.659,   1.016, 39,  0,   0.688,   2.498,   0.694,   0.024,   0.102,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:59:080, 225984860241600,    3.720,   17.000,  900,  13.341,  48.815,  13.560,   1.152,   3.784,   1.051, 39,  0,   0.700,   2.574,   0.715,   0.047,   0.107,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:59:191, 225985171335984,    3.831,   18.000,  800,  13.278,  50.286,  13.968,   1.138,   3.910,   1.086, 40,  0,   0.706,   2.652,   0.737,   0.061,   0.114,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:59:299, 225985473164502,    3.938,    5.000,  800,  12.565,  51.637,  14.344,   0.397,   3.953,   1.098, 40,  0,   0.687,   2.726,   0.757,   0.034,   0.117,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:59:426, 225985831023223,    4.065,   18.000,  900,  13.251,  53.326,  14.813,   1.113,   4.094,   1.137, 39,  0,   0.661,   2.810,   0.781,   0.071,   0.126,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:59:517, 225986087314128,    4.157,    5.000,  800,  12.545,  54.470,  15.131,   0.413,   4.132,   1.148, 40,  0,   0.631,   2.868,   0.797,   0.005,   0.127,   0.035,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:59:628, 225986397670969,    4.267,   38.000, 1300,  14.800,  56.106,  15.585,   2.459,   4.404,   1.223, 41,  0,   0.995,   2.978,   0.827,   0.185,   0.147,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:59:737, 225986704404343,    4.377,   12.000,  800,  14.892,  57.733,  16.037,   2.645,   4.693,   1.304, 39,  0,   0.834,   3.069,   0.852,   0.054,   0.153,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:59:846, 225987010257012,    4.485,    3.000,  800,  12.293,  59.072,  16.409,   0.347,   4.731,   1.314, 40,  0,   0.588,   3.133,   0.870,   0.000,   0.153,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:40:59:954, 225987312786559,    4.593,    3.000,  800,  12.254,  60.392,  16.776,   0.315,   4.765,   1.323, 39,  0,   0.588,   3.196,   0.888,   0.000,   0.153,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:00:066, 225987629517094,    4.706,   22.000,  900,  13.494,  61.914,  17.198,   1.369,   4.919,   1.366, 39,  0,   0.721,   3.278,   0.910,   0.000,   0.153,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:00:174, 225987932196057,    4.814,    6.000,  800,  12.709,  63.284,  17.579,   0.631,   4.987,   1.385, 38,  0,   0.658,   3.348,   0.930,   0.020,   0.155,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:41:00:287, 225988248702174,    4.926,    1.000,  800,  11.988,  64.635,  17.954,   0.120,   5.000,   1.389, 39,  0,   0.548,   3.410,   0.947,   0.000,   0.155,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
