System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:38:02:203, 225488187937908,    0.105,    4.000,  800,  13.072,   1.378,   0.383,   1.012,   0.107,   0.030, 39,  0,   0.659,   0.069,   0.019,   0.031,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:02:320, 225488517950964,    0.223,   30.000,  900,  13.368,   2.949,   0.819,   1.188,   0.246,   0.068, 40,  0,   0.750,   0.158,   0.044,   0.044,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:02:425, 225488813421941,    0.328,   12.000,  800,  13.012,   4.319,   1.200,   0.951,   0.346,   0.096, 38,  0,   0.664,   0.227,   0.063,   0.028,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:02:534, 225489116678126,    0.436,    3.000,  800,  12.221,   5.638,   1.566,   0.284,   0.377,   0.105, 39,  0,   0.579,   0.290,   0.081,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:02:641, 225489418908694,    0.544,    2.000,  800,  12.023,   6.932,   1.926,   0.218,   0.400,   0.111, 39,  0,   0.553,   0.350,   0.097,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:02:756, 225489741143497,    0.659,    4.000,  800,  12.416,   8.357,   2.321,   0.402,   0.446,   0.124, 38,  0,   0.555,   0.413,   0.115,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:02:865, 225490046495653,    0.767,    4.000,  800,  12.286,   9.693,   2.693,   0.360,   0.486,   0.135, 39,  0,   0.571,   0.475,   0.132,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:02:972, 225490348905109,    0.875,    1.000,  800,  12.044,  10.990,   3.053,   0.154,   0.502,   0.139, 39,  0,   0.551,   0.535,   0.149,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:03:080, 225490651400245,    0.983,    6.000,  800,  12.431,  12.330,   3.425,   0.492,   0.555,   0.154, 38,  0,   0.582,   0.598,   0.166,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:03:189, 225490956572261,    1.091,    1.000,  800,  12.031,  13.637,   3.788,   0.158,   0.572,   0.159, 38,  0,   0.546,   0.657,   0.182,   0.000,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:03:307, 225491289508647,    1.210,   19.000, 1400,  12.856,  15.161,   4.212,   0.827,   0.670,   0.186, 39,  0,   0.592,   0.727,   0.202,   0.032,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:03:408, 225491571339849,    1.310,   17.000,  800,  13.845,  16.551,   4.598,   1.655,   0.837,   0.232, 40,  0,   0.820,   0.809,   0.225,   0.056,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:03:517, 225491877412427,    1.419,   10.000,  800,  12.800,  17.946,   4.985,   0.665,   0.909,   0.252, 39,  0,   0.698,   0.885,   0.246,   0.023,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:03:625, 225492181375841,    1.528,   21.000, 1400,  13.188,  19.374,   5.382,   1.158,   1.034,   0.287, 40,  0,   0.715,   0.963,   0.267,   0.023,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:03:741, 225492506709820,    1.643,   20.000,  800,  13.999,  20.996,   5.832,   1.883,   1.252,   0.348, 39,  0,   0.755,   1.050,   0.292,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:03:860, 225492842506751,    1.763,   11.000,  800,  12.708,  22.515,   6.254,   0.667,   1.332,   0.370, 38,  0,   0.662,   1.130,   0.314,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:03:968, 225493144529963,    1.871,   10.000,  800,  12.651,  23.876,   6.632,   0.679,   1.405,   0.390, 40,  0,   0.625,   1.197,   0.332,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:04:080, 225493458509368,    1.982,    8.000,  800,  12.686,  25.295,   7.026,   0.646,   1.478,   0.410, 39,  0,   0.613,   1.265,   0.351,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:04:188, 225493761454243,    2.090,    8.000,  800,  12.640,  26.658,   7.405,   0.611,   1.543,   0.429, 39,  0,   0.638,   1.334,   0.371,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:38:04:299, 225494075586570,    2.202,   35.000, 1500,  14.258,  28.253,   7.848,   2.127,   1.781,   0.495, 41,  0,   0.677,   1.410,   0.392,   0.013,   0.027,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
