System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:31:55:063, 224457257677831,    0.107,    7.000,  800,  14.177,   1.513,   0.420,   2.025,   0.216,   0.060, 41,  0,   0.710,   0.076,   0.021,   0.030,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:55:172, 224457565037401,    0.216,    4.000,  800,  12.388,   2.869,   0.797,   0.396,   0.260,   0.072, 41,  0,   0.633,   0.145,   0.040,   0.030,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:55:287, 224457887777158,    0.331,   18.000, 1500,  13.333,   4.402,   1.223,   1.202,   0.398,   0.110, 41,  0,   0.667,   0.222,   0.062,   0.058,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:55:394, 224458189277834,    0.439,   14.000,  800,  13.025,   5.800,   1.611,   1.000,   0.505,   0.140, 42,  0,   0.711,   0.298,   0.083,   0.019,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:55:502, 224458490968941,    0.546,   19.000,  800,  13.465,   7.247,   2.013,   1.189,   0.633,   0.176, 41,  0,   0.825,   0.387,   0.107,   0.069,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:55:610, 224458793850666,    0.654,    9.000,  800,  12.810,   8.629,   2.397,   0.704,   0.709,   0.197, 41,  0,   0.656,   0.458,   0.127,   0.015,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:55:725, 224459116648417,    0.769,    7.000,  800,  12.545,  10.071,   2.797,   0.536,   0.770,   0.214, 41,  0,   0.632,   0.530,   0.147,   0.013,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:55:830, 224459411603178,    0.874,   12.000,  800,  12.916,  11.428,   3.174,   0.812,   0.856,   0.238, 41,  0,   0.683,   0.602,   0.167,   0.028,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:55:939, 224459717402842,    0.983,   14.000,  900,  13.044,  12.848,   3.569,   0.977,   0.962,   0.267, 41,  0,   0.633,   0.671,   0.186,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:56:051, 224460032231070,    1.095,   12.000,  800,  12.832,  14.287,   3.969,   0.800,   1.052,   0.292, 41,  0,   0.657,   0.745,   0.207,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:56:157, 224460330312974,    1.201,    4.000,  800,  12.330,  15.596,   4.332,   0.374,   1.092,   0.303, 40,  0,   0.594,   0.808,   0.224,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:56:271, 224460651063653,    1.315,   21.000,  900,  13.247,  17.109,   4.752,   1.169,   1.225,   0.340, 42,  0,   0.650,   0.882,   0.245,   0.038,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:56:399, 224461008485857,    1.443,   12.000,  800,  12.650,  18.719,   5.200,   0.691,   1.313,   0.365, 41,  0,   0.652,   0.965,   0.268,   0.000,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:56:486, 224461254272702,    1.530,   35.000,  900,  14.521,  19.990,   5.553,   2.102,   1.497,   0.416, 42,  0,   0.967,   1.050,   0.292,   0.124,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:56:593, 224461555849566,    1.637,   11.000,  900,  13.743,  21.466,   5.963,   1.597,   1.669,   0.463, 41,  0,   0.726,   1.128,   0.313,   0.045,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:56:706, 224461870425982,    1.749,    3.000,  800,  12.254,  22.839,   6.344,   0.321,   1.704,   0.473, 41,  0,   0.586,   1.193,   0.331,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:56:820, 224462190664474,    1.864,    7.000,  900,  12.431,  24.256,   6.738,   0.522,   1.764,   0.490, 42,  0,   0.581,   1.259,   0.350,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:56:927, 224462493187880,    1.971,   14.000,  900,  13.119,  25.670,   7.131,   1.023,   1.874,   0.521, 42,  0,   0.618,   1.326,   0.368,   0.000,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:57:031, 224462785552165,    2.075,    6.000,  800,  12.619,  26.984,   7.495,   0.565,   1.933,   0.537, 41,  0,   0.628,   1.391,   0.386,   0.025,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:57:146, 224463108022755,    2.190,    1.000,  800,  12.018,  28.364,   7.879,   0.138,   1.949,   0.541, 41,  0,   0.547,   1.454,   0.404,   0.000,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:57:276, 224463471640039,    2.320,   22.000,  900,  12.886,  30.033,   8.342,   0.840,   2.058,   0.572, 42,  0,   0.611,   1.533,   0.426,   0.026,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:57:362, 224463715365241,    2.407,    4.000,  800,  12.324,  31.102,   8.639,   0.374,   2.090,   0.581, 40,  0,   0.612,   1.586,   0.441,   0.015,   0.056,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:57:473, 224464026952512,    2.517,    8.000,  800,  12.615,  32.502,   9.028,   0.617,   2.159,   0.600, 42,  0,   0.625,   1.656,   0.460,   0.017,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:57:581, 224464329923859,    2.625,   13.000,  800,  13.048,  33.910,   9.419,   0.922,   2.258,   0.627, 42,  0,   0.777,   1.740,   0.483,   0.064,   0.065,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:57:689, 224464633741107,    2.734,    2.000,  800,  12.240,  35.234,   9.787,   0.281,   2.288,   0.636, 41,  0,   0.547,   1.799,   0.500,   0.000,   0.065,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:57:802, 224464950113388,    2.846,    1.000,  800,  12.073,  36.594,  10.165,   0.193,   2.310,   0.642, 40,  0,   0.558,   1.862,   0.517,   0.000,   0.065,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:57:911, 224465256342824,    2.955,   14.000, 2800,  16.010,  38.340,  10.650,   4.040,   2.751,   0.764, 48,  0,   0.819,   1.951,   0.542,   0.032,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:58:016, 224465551550864,    3.060,   11.000,  800,  12.968,  39.704,  11.029,   0.824,   2.837,   0.788, 41,  0,   0.702,   2.025,   0.562,   0.028,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:58:131, 224465874108357,    3.175,   16.000,  800,  13.326,  41.234,  11.454,   1.135,   2.968,   0.824, 41,  0,   0.706,   2.106,   0.585,   0.035,   0.075,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:58:282, 224466298209668,    3.326,   25.000, 1400,  12.917,  43.185,  11.996,   0.851,   3.096,   0.860, 41,  0,   0.645,   2.203,   0.612,   0.041,   0.082,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:58:347, 224466478803495,    3.391,    2.000,  800,  12.497,  43.989,  12.219,   0.318,   3.117,   0.866, 41,  0,   0.637,   2.244,   0.623,   0.033,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:58:459, 224466793457413,    3.503,    2.000,  800,  12.083,  45.343,  12.595,   0.180,   3.137,   0.871, 40,  0,   0.566,   2.308,   0.641,   0.032,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:58:569, 224467103248178,    3.613,   16.000,  800,  13.275,  46.808,  13.002,   1.117,   3.260,   0.906, 41,  0,   0.796,   2.396,   0.665,   0.076,   0.096,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:58:678, 224467408504604,    3.722,   12.000, 1400,  13.094,  48.231,  13.398,   0.952,   3.364,   0.934, 43,  0,   0.631,   2.464,   0.684,   0.010,   0.097,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:31:58:785, 224467711362544,    3.830,    1.000,  800,  12.055,  49.531,  13.759,   0.197,   3.385,   0.940, 40,  0,   0.546,   2.523,   0.701,   0.000,   0.097,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
