System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:24:36:551, 223225915148400,    0.112,   11.000,  900,   3.273,   0.366,   0.102,   1.378,   0.154,   0.043, 44,  0,   0.690,   0.077,   0.021,   0.035,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:36:656, 223226210329366,    0.217,    7.000,  800,   2.378,   0.616,   0.171,   0.595,   0.217,   0.060, 43,  0,   0.636,   0.144,   0.040,   0.008,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:36:771, 223226533118060,    0.332,    4.000,  800,   2.118,   0.860,   0.239,   0.355,   0.258,   0.072, 43,  0,   0.641,   0.218,   0.061,   0.004,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:36:878, 223226835268754,    0.440,    4.000,  800,   2.049,   1.080,   0.300,   0.380,   0.298,   0.083, 43,  0,   0.594,   0.282,   0.078,   0.000,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:36:986, 223227139058639,    0.548,   13.000,  800,   2.751,   1.378,   0.383,   0.936,   0.400,   0.111, 43,  0,   0.691,   0.357,   0.099,   0.015,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:37:094, 223227441395459,    0.655,   15.000,  800,   2.403,   1.637,   0.455,   0.702,   0.475,   0.132, 43,  0,   0.640,   0.425,   0.118,   0.000,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:37:233, 223227831964182,    0.795,   21.000, 1400,   2.602,   1.999,   0.555,   0.867,   0.596,   0.166, 43,  0,   0.597,   0.509,   0.141,   0.032,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:37:312, 223228053832113,    0.874,    7.000,  800,   2.664,   2.209,   0.614,   0.835,   0.662,   0.184, 43,  0,   0.701,   0.564,   0.157,   0.043,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:37:427, 223228375457660,    0.988,   13.000,  800,   2.726,   2.521,   0.700,   0.865,   0.761,   0.211, 43,  0,   0.699,   0.644,   0.179,   0.027,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:24:37:537, 223228685049291,    1.098,   14.000,  800,   2.723,   2.822,   0.784,   0.894,   0.859,   0.239, 43,  0,   0.716,   0.723,   0.201,   0.024,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
