System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:26:11:767, 223493283853440,    0.100,    5.000,  800,  13.205,   1.316,   0.366,   1.007,   0.100,   0.028, 43,  0,   0.669,   0.067,   0.019,   0.028,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:11:876, 223493590009502,    0.209,    4.000,  800,  12.517,   2.681,   0.745,   0.434,   0.148,   0.041, 43,  0,   0.643,   0.137,   0.038,   0.011,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:11:988, 223493902308226,    0.320,    8.000,  800,  12.687,   4.092,   1.137,   0.662,   0.221,   0.061, 43,  0,   0.628,   0.207,   0.057,   0.003,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:12:095, 223494202995280,    0.427,    8.000,  800,  12.512,   5.432,   1.509,   0.591,   0.285,   0.079, 43,  0,   0.631,   0.274,   0.076,   0.004,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:12:243, 223494621858944,    0.576,   24.000,  900,  13.523,   7.449,   2.069,   1.250,   0.471,   0.131, 43,  0,   0.728,   0.383,   0.106,   0.065,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:12:315, 223494822688061,    0.648,   11.000,  800,  12.931,   8.374,   2.326,   0.864,   0.533,   0.148, 43,  0,   0.669,   0.430,   0.120,   0.026,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:12:421, 223495119730003,    0.753,   17.000, 2400,  14.295,   9.886,   2.746,   2.224,   0.768,   0.213, 46,  0,   0.693,   0.504,   0.140,   0.008,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:12:532, 223495432148342,    0.865,   14.000,  800,  14.842,  11.537,   3.205,   2.745,   1.074,   0.298, 43,  0,   0.754,   0.588,   0.163,   0.007,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:12:641, 223495735957542,    0.973,   15.000,  900,  13.159,  12.961,   3.600,   1.019,   1.184,   0.329, 43,  0,   0.644,   0.657,   0.183,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:12:751, 223496045007692,    1.083,    3.000,  800,  12.247,  14.309,   3.975,   0.314,   1.218,   0.338, 43,  0,   0.584,   0.722,   0.200,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:12:859, 223496349012302,    1.191,   11.000,  800,  12.795,  15.694,   4.360,   0.758,   1.301,   0.361, 43,  0,   0.640,   0.791,   0.220,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:12:975, 223496674816115,    1.307,   13.000,  900,  13.018,  17.205,   4.779,   0.933,   1.409,   0.391, 43,  0,   0.637,   0.865,   0.240,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:13:082, 223496974438578,    1.414,    4.000,  800,  12.221,  18.509,   5.141,   0.363,   1.448,   0.402, 43,  0,   0.602,   0.929,   0.258,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:13:242, 223497426542216,    1.575,   16.000,  900,  12.756,  20.563,   5.712,   0.723,   1.564,   0.434, 44,  0,   0.606,   1.027,   0.285,   0.020,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:13:297, 223497578389899,    1.629,   10.000,  900,  12.893,  21.260,   5.905,   0.782,   1.606,   0.446, 43,  0,   0.684,   1.064,   0.295,   0.026,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:13:408, 223497891184716,    1.740,   21.000,  800,  13.438,  22.757,   6.321,   1.272,   1.748,   0.486, 43,  0,   0.712,   1.143,   0.318,   0.039,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:13:519, 223498203074322,    1.852,   24.000, 2800,  14.449,  24.362,   6.767,   2.113,   1.983,   0.551, 44,  0,   0.917,   1.245,   0.346,   0.125,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:13:628, 223498507369830,    1.960,   11.000,  900,  12.931,  25.763,   7.156,   0.930,   2.083,   0.579, 43,  0,   0.622,   1.312,   0.365,   0.000,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:13:734, 223498806294506,    2.066,    7.000,  800,  12.623,  27.107,   7.530,   0.561,   2.143,   0.595, 43,  0,   0.605,   1.377,   0.382,   0.000,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:13:847, 223499123891744,    2.179,    4.000,  800,  12.305,  28.498,   7.916,   0.363,   2.184,   0.607, 43,  0,   0.590,   1.443,   0.401,   0.000,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:13:959, 223499438015241,    2.291,    9.000,  800,  12.780,  29.928,   8.313,   0.721,   2.265,   0.629, 43,  0,   0.643,   1.515,   0.421,   0.016,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:26:14:067, 223499741789175,    2.400,    8.000,  800,  12.495,  31.280,   8.689,   0.511,   2.320,   0.644, 42,  0,   0.600,   1.580,   0.439,   0.006,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
