System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:19:12:953, 222317251221858,    0.103,   14.000, 3500,  18.045,   1.867,   0.519,   5.928,   0.613,   0.170, 50,  0,   0.775,   0.080,   0.022,   0.065,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:13:064, 222317563487197,    0.215,   14.000, 3500,  23.161,   4.442,   1.234,  11.012,   1.838,   0.511, 54,  0,   0.631,   0.150,   0.042,   0.080,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:13:175, 222317875000685,    0.326,    7.000,  900,  19.773,   6.636,   1.843,   7.503,   2.670,   0.742, 44,  0,   0.655,   0.223,   0.062,   0.076,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:13:283, 222318178833603,    0.434,   12.000,  900,  13.001,   8.043,   2.234,   0.879,   2.765,   0.768, 42,  0,   0.719,   0.301,   0.084,   0.043,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:13:397, 222318498503129,    0.548,    4.000,  800,  12.480,   9.463,   2.629,   0.428,   2.814,   0.782, 41,  0,   0.592,   0.368,   0.102,   0.000,   0.029,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:13:503, 222318798500740,    0.654,    8.000,  800,  12.660,  10.816,   3.004,   0.660,   2.885,   0.801, 42,  0,   0.667,   0.439,   0.122,   0.007,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:13:613, 222319104460565,    0.763,   17.000,  800,  13.268,  12.262,   3.406,   1.095,   3.004,   0.834, 41,  0,   0.753,   0.521,   0.145,   0.044,   0.034,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:13:723, 222319415201857,    0.874,    5.000,  800,  12.512,  13.646,   3.791,   0.443,   3.053,   0.848, 41,  0,   0.629,   0.591,   0.164,   0.011,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:13:831, 222319717803669,    0.982,    4.000,  800,  12.377,  14.980,   4.161,   0.395,   3.096,   0.860, 41,  0,   0.620,   0.658,   0.183,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:13:938, 222320019047688,    1.089,   10.000,  800,  12.723,  16.345,   4.540,   0.696,   3.170,   0.881, 41,  0,   0.692,   0.732,   0.203,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:14:048, 222320328052915,    1.199,   11.000,  800,  12.823,  17.756,   4.932,   0.793,   3.257,   0.905, 41,  0,   0.666,   0.805,   0.224,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:14:163, 222320650626881,    1.314,   22.000, 1500,  13.271,  19.281,   5.356,   1.163,   3.391,   0.942, 42,  0,   0.632,   0.878,   0.244,   0.047,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:14:272, 222320955400722,    1.423,    9.000,  800,  13.014,  20.693,   5.748,   0.967,   3.496,   0.971, 42,  0,   0.748,   0.959,   0.266,   0.026,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:14:380, 222321259699237,    1.531,   13.000,  800,  13.070,  22.109,   6.142,   0.931,   3.597,   0.999, 41,  0,   0.664,   1.031,   0.286,   0.011,   0.045,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:14:485, 222321553620330,    1.636,    6.000,  800,  12.516,  23.420,   6.505,   0.513,   3.651,   1.014, 41,  0,   0.661,   1.100,   0.306,   0.000,   0.045,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:14:599, 222321874893519,    1.750,    4.000,  800,  12.313,  24.828,   6.897,   0.364,   3.692,   1.026, 41,  0,   0.605,   1.169,   0.325,   0.000,   0.045,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:14:706, 222322175521456,    1.857,    7.000,  800,  12.607,  26.178,   7.272,   0.619,   3.758,   1.044, 41,  0,   0.585,   1.232,   0.342,   0.000,   0.045,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:19:14:820, 222322495409757,    1.971,    9.000,  800,  12.561,  27.609,   7.669,   0.582,   3.825,   1.062, 41,  0,   0.623,   1.303,   0.362,   0.000,   0.045,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
