System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:44:42:126, 226611172929267,    0.104,    5.000,  800,  13.537,   1.412,   0.392,   1.381,   0.144,   0.040, 39,  0,   0.670,   0.070,   0.019,   0.025,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:42:236, 226611480650660,    0.214,    4.000,  800,  12.523,   2.784,   0.773,   0.402,   0.188,   0.052, 39,  0,   0.644,   0.141,   0.039,   0.017,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:42:346, 226611791996165,    0.325,    6.000,  900,  12.586,   4.179,   1.161,   0.553,   0.249,   0.069, 39,  0,   0.639,   0.211,   0.059,   0.020,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:42:454, 226612093228610,    0.432,    5.000,  800,  12.462,   5.516,   1.532,   0.517,   0.305,   0.085, 39,  0,   0.594,   0.275,   0.076,   0.000,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:42:563, 226612398911061,    0.541,   16.000,  800,  13.887,   7.028,   1.952,   1.686,   0.488,   0.136, 40,  0,   0.763,   0.358,   0.099,   0.057,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:42:673, 226612709398378,    0.651,    9.000,  800,  12.839,   8.448,   2.347,   0.675,   0.563,   0.156, 39,  0,   0.707,   0.436,   0.121,   0.017,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:42:783, 226613018680692,    0.762,    7.000,  800,  12.582,   9.834,   2.732,   0.561,   0.625,   0.174, 39,  0,   0.622,   0.505,   0.140,   0.006,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:42:894, 226613330901272,    0.873,    7.000,  800,  12.533,  11.227,   3.119,   0.545,   0.685,   0.190, 39,  0,   0.652,   0.577,   0.160,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:43:004, 226613638788371,    0.982,    9.000,  800,  12.678,  12.617,   3.505,   0.620,   0.753,   0.209, 40,  0,   0.679,   0.652,   0.181,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:43:113, 226613945212815,    1.092,    8.000,  800,  12.689,  14.002,   3.889,   0.690,   0.829,   0.230, 39,  0,   0.595,   0.717,   0.199,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:43:218, 226614240726319,    1.197,   11.000,  900,  12.904,  15.360,   4.267,   0.888,   0.922,   0.256, 39,  0,   0.592,   0.779,   0.216,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:43:334, 226614565523164,    1.312,    7.000,  800,  12.625,  16.820,   4.672,   0.579,   0.989,   0.275, 38,  0,   0.665,   0.856,   0.238,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:43:437, 226614855423408,    1.416,    8.000,  800,  12.666,  18.128,   5.036,   0.665,   1.058,   0.294, 39,  0,   0.602,   0.918,   0.255,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:43:551, 226615174558902,    1.529,   16.000,  900,  13.194,  19.627,   5.452,   1.018,   1.173,   0.326, 39,  0,   0.676,   0.995,   0.276,   0.067,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:43:656, 226615470196047,    1.635,   11.000,  800,  12.874,  20.983,   5.829,   0.772,   1.255,   0.349, 39,  0,   0.759,   1.075,   0.299,   0.036,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:43:772, 226615793980221,    1.750,    9.000,  800,  12.696,  22.447,   6.235,   0.693,   1.335,   0.371, 39,  0,   0.632,   1.148,   0.319,   0.008,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:43:879, 226616095004510,    1.857,    4.000,  800,  12.303,  23.766,   6.602,   0.370,   1.374,   0.382, 39,  0,   0.590,   1.211,   0.336,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:44:43:988, 226616402085337,    1.967,    4.000,  800,  12.373,  25.119,   6.977,   0.345,   1.412,   0.392, 39,  0,   0.597,   1.276,   0.354,   0.000,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
