System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:17:55:724, 222100393824211,    0.106,    7.000,  800,   3.033,   0.321,   0.089,   1.216,   0.129,   0.036, 41,  0,   0.674,   0.071,   0.020,   0.025,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:55:834, 222100702040296,    0.216,    5.000,  800,   2.246,   0.568,   0.158,   0.475,   0.181,   0.050, 41,  0,   0.639,   0.142,   0.039,   0.031,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:55:941, 222101003650997,    0.323,    4.000,  800,   2.131,   0.797,   0.221,   0.368,   0.220,   0.061, 40,  0,   0.629,   0.209,   0.058,   0.020,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:56:048, 222101303585972,    0.430,   13.000,  900,   2.537,   1.068,   0.297,   0.761,   0.302,   0.084, 41,  0,   0.693,   0.283,   0.079,   0.021,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:56:161, 222101620612686,    0.543,   17.000,  900,   3.810,   1.498,   0.416,   1.902,   0.516,   0.143, 42,  0,   0.701,   0.362,   0.101,   0.058,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:56:266, 222101914112758,    0.647,    5.000,  800,   2.202,   1.728,   0.480,   0.424,   0.561,   0.156, 41,  0,   0.652,   0.430,   0.120,   0.011,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:56:378, 222102228627692,    0.759,    9.000,  800,   2.507,   2.009,   0.558,   0.686,   0.638,   0.177, 42,  0,   0.731,   0.512,   0.142,   0.019,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:56:486, 222102532775792,    0.868,   12.000,  800,   2.686,   2.300,   0.639,   0.860,   0.731,   0.203, 41,  0,   0.659,   0.584,   0.162,   0.026,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:56:597, 222102843737169,    0.978,    4.000,  800,   2.075,   2.529,   0.703,   0.379,   0.773,   0.215, 41,  0,   0.604,   0.650,   0.181,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:56:704, 222103144372692,    1.085,    3.000,  800,   1.961,   2.739,   0.761,   0.297,   0.804,   0.223, 41,  0,   0.581,   0.713,   0.198,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:56:815, 222103456459988,    1.197,   11.000,  800,   2.568,   3.025,   0.840,   0.817,   0.895,   0.249, 41,  0,   0.658,   0.786,   0.218,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:56:927, 222103771468779,    1.309,    5.000,  800,   2.162,   3.267,   0.908,   0.429,   0.943,   0.262, 40,  0,   0.638,   0.857,   0.238,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:57:034, 222104071916614,    1.416,    4.000,  800,   2.052,   3.487,   0.969,   0.357,   0.981,   0.273, 41,  0,   0.606,   0.922,   0.256,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:57:152, 222104402647246,    1.533,   16.000, 1500,   2.939,   3.833,   1.065,   1.122,   1.114,   0.309, 41,  0,   0.605,   0.994,   0.276,   0.035,   0.027,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:57:250, 222104677447132,    1.631,    4.000,  800,   2.322,   4.060,   1.128,   0.572,   1.170,   0.325, 41,  0,   0.634,   1.056,   0.293,   0.007,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:57:360, 222104986118053,    1.741,   12.000,  800,   3.125,   4.404,   1.223,   1.288,   1.311,   0.364, 41,  0,   0.672,   1.129,   0.314,   0.027,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:57:470, 222105294613341,    1.851,   11.000,  800,   2.621,   4.692,   1.303,   0.834,   1.403,   0.390, 41,  0,   0.645,   1.200,   0.333,   0.000,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:57:584, 222105614925759,    1.965,    4.000,  800,   2.091,   4.930,   1.369,   0.396,   1.448,   0.402, 40,  0,   0.616,   1.271,   0.353,   0.000,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:57:692, 222105918187015,    2.073,    3.000,  800,   1.973,   5.143,   1.429,   0.303,   1.481,   0.411, 41,  0,   0.585,   1.334,   0.371,   0.000,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:57:799, 222106219761845,    2.181,    8.000,  800,   2.353,   5.396,   1.499,   0.620,   1.547,   0.430, 40,  0,   0.601,   1.398,   0.388,   0.000,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:57:907, 222106522190059,    2.288,    3.000,  800,   2.003,   5.612,   1.559,   0.324,   1.582,   0.440, 41,  0,   0.601,   1.463,   0.406,   0.000,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:58:021, 222106842011584,    2.402,    4.000,  800,   2.026,   5.842,   1.623,   0.342,   1.621,   0.450, 40,  0,   0.604,   1.532,   0.426,   0.000,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:58:147, 222107196193487,    2.528,   16.000, 1500,   2.896,   6.208,   1.724,   1.087,   1.758,   0.488, 41,  0,   0.607,   1.609,   0.447,   0.028,   0.034,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:17:58:238, 222107451435599,    2.619,    4.000,  800,   2.230,   6.410,   1.781,   0.479,   1.802,   0.501, 40,  0,   0.630,   1.666,   0.463,   0.011,   0.035,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
