System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:54:40:160, 228290454672140,    0.112,    5.000, 1100,  14.039,   1.577,   0.438,   1.872,   0.210,   0.058, 45,  0,   0.701,   0.079,   0.022,   0.038,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:40:271, 228290766066471,    0.223,   13.000, 1500,  13.364,   3.059,   0.850,   1.326,   0.357,   0.099, 45,  0,   0.679,   0.154,   0.043,   0.024,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:40:378, 228291066837697,    0.330,    4.000,  800,  12.676,   4.417,   1.227,   0.570,   0.419,   0.116, 44,  0,   0.653,   0.224,   0.062,   0.046,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:40:490, 228291380876501,    0.442,   14.000,  800,  13.111,   5.883,   1.634,   0.968,   0.527,   0.146, 44,  0,   0.705,   0.303,   0.084,   0.032,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:40:595, 228291675772076,    0.547,   10.000,  800,  12.798,   7.227,   2.008,   0.699,   0.600,   0.167, 44,  0,   0.688,   0.375,   0.104,   0.008,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:40:703, 228291977566790,    0.655,    6.000,  800,  12.549,   8.576,   2.382,   0.484,   0.652,   0.181, 44,  0,   0.658,   0.446,   0.124,   0.005,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:40:823, 228292315366164,    0.775,   27.000,  900,  13.464,  10.196,   2.832,   1.366,   0.817,   0.227, 44,  0,   0.665,   0.526,   0.146,   0.042,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:40:925, 228292600685458,    0.877,   11.000,  800,  13.002,  11.517,   3.199,   0.781,   0.896,   0.249, 44,  0,   0.744,   0.601,   0.167,   0.056,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:41:032, 228292902359712,    0.984,    7.000,  800,  12.696,  12.881,   3.578,   0.577,   0.958,   0.266, 44,  0,   0.709,   0.677,   0.188,   0.062,   0.034,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:54:41:145, 228293218752789,    1.097,   10.000,  800,  12.971,  14.342,   3.984,   0.792,   1.047,   0.291, 44,  0,   0.681,   0.754,   0.210,   0.055,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
