System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:15:24:724, 231785190569771,    0.113,    4.000,  800,   2.744,   0.310,   0.086,   0.955,   0.108,   0.030, 46,  0,   0.650,   0.073,   0.020,   0.023,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:24:829, 231785485580042,    0.218,    9.000,  800,   2.433,   0.565,   0.157,   0.658,   0.177,   0.049, 46,  0,   0.662,   0.143,   0.040,   0.010,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:24:943, 231785806567460,    0.332,    7.000,  800,   2.359,   0.835,   0.232,   0.573,   0.242,   0.067, 45,  0,   0.646,   0.217,   0.060,   0.004,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:25:051, 231786110473605,    0.440,   13.000,  800,   2.799,   1.138,   0.316,   0.937,   0.344,   0.096, 46,  0,   0.733,   0.296,   0.082,   0.025,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:25:158, 231786409741163,    0.547,   17.000, 1300,   2.897,   1.446,   0.402,   1.089,   0.460,   0.128, 46,  0,   0.676,   0.368,   0.102,   0.004,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:25:271, 231786728160540,    0.660,   20.000,  800,   3.755,   1.872,   0.520,   1.859,   0.671,   0.186, 46,  0,   0.783,   0.457,   0.127,   0.041,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:25:377, 231787024445672,    0.766,   13.000, 1400,   3.159,   2.206,   0.613,   1.262,   0.804,   0.223, 46,  0,   0.655,   0.526,   0.146,   0.091,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:25:486, 231787330825414,    0.875,    7.000,  800,   2.366,   2.464,   0.684,   0.590,   0.868,   0.241, 46,  0,   0.625,   0.594,   0.165,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:25:594, 231787633646546,    0.983,    9.000,  800,   2.469,   2.730,   0.758,   0.739,   0.948,   0.263, 45,  0,   0.644,   0.664,   0.184,   0.003,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:25:707, 231787952678051,    1.096,    6.000,  800,   2.295,   2.991,   0.831,   0.499,   1.005,   0.279, 45,  0,   0.661,   0.739,   0.205,   0.030,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:25:815, 231788255324947,    1.204,    9.000,  800,   2.450,   3.255,   0.904,   0.665,   1.076,   0.299, 46,  0,   0.669,   0.811,   0.225,   0.023,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:25:922, 231788555525960,    1.311,   10.000,  800,   2.487,   3.521,   0.978,   0.696,   1.151,   0.320, 45,  0,   0.653,   0.881,   0.245,   0.031,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:26:032, 231788863622536,    1.421,   12.000,  800,   2.728,   3.820,   1.061,   0.899,   1.249,   0.347, 46,  0,   0.759,   0.964,   0.268,   0.012,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:26:146, 231789185316311,    1.535,    6.000,  800,   2.322,   4.086,   1.135,   0.547,   1.312,   0.364, 46,  0,   0.634,   1.036,   0.288,   0.010,   0.034,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:26:253, 231789486230443,    1.643,    6.000,  800,   2.220,   4.324,   1.201,   0.513,   1.367,   0.380, 45,  0,   0.587,   1.099,   0.305,   0.000,   0.034,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:26:363, 231789793134672,    1.752,   20.000,  900,   3.099,   4.663,   1.295,   1.219,   1.500,   0.417, 45,  0,   0.666,   1.172,   0.326,   0.067,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:26:470, 231790095755184,    1.860,    6.000,  800,   2.253,   4.905,   1.363,   0.506,   1.555,   0.432, 46,  0,   0.633,   1.240,   0.345,   0.000,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:26:579, 231790400883797,    1.968,    7.000,  800,   2.366,   5.163,   1.434,   0.630,   1.623,   0.451, 45,  0,   0.599,   1.306,   0.363,   0.000,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:26:689, 231790708648316,    2.078,    9.000,  800,   2.359,   5.421,   1.506,   0.630,   1.692,   0.470, 45,  0,   0.650,   1.377,   0.382,   0.000,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:26:802, 231791027707335,    2.192,   15.000,  800,   2.874,   5.748,   1.597,   0.962,   1.801,   0.500, 46,  0,   0.747,   1.462,   0.406,   0.063,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:26:907, 231791322809222,    2.297,    9.000,  800,   2.626,   6.024,   1.673,   0.738,   1.879,   0.522, 45,  0,   0.685,   1.534,   0.426,   0.040,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:27:021, 231791640993102,    2.410,    6.000,  800,   2.443,   6.301,   1.750,   0.560,   1.943,   0.540, 46,  0,   0.701,   1.613,   0.448,   0.064,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:27:126, 231791935557474,    2.515,   15.000,  800,   2.938,   6.609,   1.836,   1.046,   2.052,   0.570, 46,  0,   0.766,   1.693,   0.470,   0.042,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:27:236, 231792245426592,    2.625,   21.000,  800,   3.163,   6.958,   1.933,   1.204,   2.185,   0.607, 46,  0,   0.764,   1.778,   0.494,   0.079,   0.073,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:27:348, 231792559470948,    2.737,   46.000, 3400,   7.226,   7.766,   2.157,   4.589,   2.698,   0.750, 53,  0,   0.918,   1.880,   0.522,   0.101,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:27:455, 231792860331096,    2.844,    5.000, 1100,   7.612,   8.582,   2.384,   2.858,   3.004,   0.835, 46,  0,   0.794,   1.966,   0.546,   0.141,   0.099,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:27:564, 231793167320149,    2.954,    9.000,  800,   5.534,   9.187,   2.552,   0.867,   3.099,   0.861, 46,  0,   0.702,   2.042,   0.567,   0.071,   0.107,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:27:677, 231793483083949,    3.066,   14.000, 3400,  13.168,  10.667,   2.963,   2.082,   3.333,   0.926, 49,  0,   0.603,   2.110,   0.586,   0.052,   0.113,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:28:020, 231794447113709,    3.409,  120.000, 3200,  21.307,  17.982,   4.995,   9.140,   6.471,   1.798, 57,  0,   0.651,   2.333,   0.648,   0.047,   0.129,   0.036,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:28:110, 231794698961130,    3.499,   16.000, 3500,  25.248,  20.247,   5.624,  13.229,   7.658,   2.127, 60,  0,   0.716,   2.398,   0.666,   0.061,   0.134,   0.037,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:28:219, 231795007434021,    3.609,    4.000,  800,  16.862,  22.099,   6.139,   4.671,   8.171,   2.270, 48,  0,   0.606,   2.464,   0.684,   0.023,   0.137,   0.038,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:28:347, 231795365702643,    3.736,   15.000, 1500,  12.915,  23.747,   6.596,   0.847,   8.279,   2.300, 47,  0,   0.612,   2.542,   0.706,   0.031,   0.141,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:28:442, 231795632650210,    3.831,   15.000,  900,  13.284,  25.010,   6.947,   1.201,   8.393,   2.331, 47,  0,   0.653,   2.604,   0.723,   0.009,   0.142,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:15:28:547, 231795926934488,    3.936,    5.000,  800,  12.449,  26.315,   7.310,   0.454,   8.441,   2.345, 46,  0,   0.593,   2.667,   0.741,   0.000,   0.142,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
