System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:13:23:005, 221334597375764,    0.108,    4.000,  800,   2.765,   0.300,   0.083,   0.974,   0.106,   0.029, 41,  0,   0.662,   0.072,   0.020,   0.025,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:13:23:113, 221334900370813,    0.216,   18.000,  900,   3.219,   0.647,   0.180,   1.299,   0.246,   0.068, 42,  0,   0.662,   0.143,   0.040,   0.055,   0.009,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:13:23:221, 221335205349872,    0.325,    4.000,  800,   2.191,   0.885,   0.246,   0.407,   0.290,   0.081, 41,  0,   0.652,   0.214,   0.059,   0.031,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:13:23:330, 221335508506147,    0.433,    9.000,  800,   2.368,   1.140,   0.317,   0.605,   0.355,   0.099, 41,  0,   0.656,   0.285,   0.079,   0.015,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:13:23:438, 221335815974015,    0.542,   14.000,  800,   2.875,   1.455,   0.404,   1.037,   0.469,   0.130, 41,  0,   0.700,   0.362,   0.100,   0.028,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:13:23:547, 221336118914452,    0.650,    4.000,  800,   2.222,   1.695,   0.471,   0.414,   0.514,   0.143, 41,  0,   0.649,   0.432,   0.120,   0.042,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:13:23:661, 221336438615734,    0.764,    4.000,  800,   2.070,   1.931,   0.536,   0.347,   0.553,   0.154, 41,  0,   0.621,   0.502,   0.140,   0.006,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:13:23:765, 221336732521118,    0.869,   18.000,  800,   2.959,   2.240,   0.622,   1.159,   0.674,   0.187, 41,  0,   0.698,   0.575,   0.160,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:13:23:875, 221337040062799,    0.978,   10.000,  800,   2.635,   2.529,   0.702,   0.784,   0.760,   0.211, 41,  0,   0.750,   0.658,   0.183,   0.039,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:13:23:990, 221337365001332,    1.094,    6.000,  800,   2.163,   2.779,   0.772,   0.437,   0.811,   0.225, 41,  0,   0.623,   0.730,   0.203,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
