System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:09:10:987, 220626930772933,    0.101,   11.000, 2000,  14.439,   1.455,   0.404,   2.247,   0.226,   0.063, 42,  0,   0.713,   0.072,   0.020,   0.037,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:11:187, 220627492731920,    0.301,   47.000, 3600,  22.749,   6.008,   1.669,  10.649,   2.358,   0.655, 57,  0,   0.572,   0.186,   0.052,   0.020,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:11:203, 220627536736247,    0.317,    2.000, 2800,  14.578,   6.236,   1.732,   1.573,   2.382,   0.662, 46,  0,   0.682,   0.197,   0.055,   0.105,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:11:319, 220627864260072,    0.433,    6.000,  800,  12.700,   7.718,   2.144,   0.694,   2.463,   0.684, 41,  0,   0.594,   0.266,   0.074,   0.000,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:11:428, 220628169001463,    0.542,    5.000,  800,  12.391,   9.062,   2.517,   0.470,   2.514,   0.698, 41,  0,   0.566,   0.328,   0.091,   0.000,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:11:536, 220628471015310,    0.649,    5.000,  800,  12.431,  10.399,   2.889,   0.431,   2.561,   0.711, 40,  0,   0.637,   0.396,   0.110,   0.023,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:11:643, 220628773545660,    0.757,    1.000,  800,  12.048,  11.697,   3.249,   0.155,   2.577,   0.716, 40,  0,   0.561,   0.457,   0.127,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:11:752, 220629078913034,    0.866,    5.000,  800,  12.384,  13.044,   3.623,   0.450,   2.626,   0.729, 40,  0,   0.560,   0.518,   0.144,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:11:862, 220629386951884,    0.975,    1.000,  800,  12.006,  14.361,   3.989,   0.151,   2.643,   0.734, 40,  0,   0.545,   0.577,   0.160,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:11:969, 220629689482899,    1.083,    4.000,  800,  12.263,  15.682,   4.356,   0.323,   2.677,   0.744, 40,  0,   0.582,   0.640,   0.178,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:12:083, 220630009468967,    1.197,   17.000,  800,  13.354,  17.204,   4.779,   1.213,   2.816,   0.782, 40,  0,   0.677,   0.717,   0.199,   0.047,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:09:12:194, 220630319926555,    1.308,   11.000,  800,  12.838,  18.624,   5.173,   0.807,   2.905,   0.807, 40,  0,   0.694,   0.794,   0.221,   0.017,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
