System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:07:42:675, 220378950251985,    0.098,    5.000,  800,   3.473,   0.340,   0.095,   1.593,   0.156,   0.043, 40,  0,   0.676,   0.066,   0.018,   0.052,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:42:783, 220379254593237,    0.206,    4.000,  800,   2.139,   0.572,   0.159,   0.387,   0.198,   0.055, 40,  0,   0.637,   0.135,   0.038,   0.021,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:42:893, 220379562817380,    0.316,    5.000,  800,   2.180,   0.811,   0.225,   0.423,   0.245,   0.068, 41,  0,   0.641,   0.206,   0.057,   0.018,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:43:061, 220380034755187,    0.484,   32.000,  800,   3.094,   1.332,   0.370,   1.224,   0.450,   0.125, 41,  0,   0.742,   0.330,   0.092,   0.046,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:43:110, 220380171401251,    0.533,   23.000,  900,   3.321,   1.493,   0.415,   1.382,   0.518,   0.144, 40,  0,   0.696,   0.364,   0.101,   0.045,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:43:224, 220380491884392,    0.647,    7.000,  800,   2.321,   1.758,   0.488,   0.554,   0.581,   0.161, 40,  0,   0.646,   0.438,   0.122,   0.019,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:43:333, 220380797573002,    0.756,    8.000,  800,   2.454,   2.025,   0.563,   0.678,   0.655,   0.182, 40,  0,   0.637,   0.507,   0.141,   0.004,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:43:441, 220381102213427,    0.864,    8.000,  800,   2.314,   2.276,   0.632,   0.580,   0.718,   0.199, 40,  0,   0.668,   0.580,   0.161,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:43:553, 220381416628551,    0.976,    6.000,  800,   2.185,   2.521,   0.700,   0.468,   0.770,   0.214, 40,  0,   0.617,   0.649,   0.180,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:43:660, 220381716360947,    1.083,    9.000,  800,   2.411,   2.778,   0.772,   0.672,   0.842,   0.234, 40,  0,   0.607,   0.714,   0.198,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:43:765, 220382011046007,    1.188,    7.000,  800,   2.273,   3.017,   0.838,   0.553,   0.900,   0.250, 40,  0,   0.656,   0.782,   0.217,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:43:876, 220382323617712,    1.299,    7.000,  800,   2.260,   3.268,   0.908,   0.544,   0.960,   0.267, 40,  0,   0.654,   0.855,   0.238,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:44:049, 220382808304368,    1.472,   26.000,  900,   2.900,   3.769,   1.047,   1.074,   1.146,   0.318, 41,  0,   0.699,   0.976,   0.271,   0.027,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:44:095, 220382936766184,    1.518,    7.000,  800,   2.404,   3.879,   1.078,   0.588,   1.173,   0.326, 40,  0,   0.663,   1.006,   0.280,   0.016,   0.027,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:44:208, 220383256131285,    1.631,    6.000,  800,   2.243,   4.134,   1.148,   0.483,   1.228,   0.341, 40,  0,   0.655,   1.081,   0.300,   0.025,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:44:313, 220383550820096,    1.736,    9.000,  800,   2.417,   4.388,   1.219,   0.686,   1.300,   0.361, 40,  0,   0.612,   1.145,   0.318,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:44:427, 220383869072728,    1.850,    4.000,  800,   2.022,   4.617,   1.282,   0.338,   1.338,   0.372, 40,  0,   0.591,   1.212,   0.337,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:44:545, 220384203325768,    1.969,   10.000,  800,   2.210,   4.880,   1.356,   0.513,   1.399,   0.389, 40,  0,   0.617,   1.285,   0.357,   0.000,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:44:641, 220384471586717,    2.064,   30.000,  900,   3.723,   5.236,   1.454,   1.746,   1.566,   0.435, 40,  0,   0.799,   1.362,   0.378,   0.102,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:44:750, 220384776678225,    2.173,    6.000,  800,   3.005,   5.562,   1.545,   1.198,   1.696,   0.471, 40,  0,   0.679,   1.435,   0.399,   0.031,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:44:866, 220385101568815,    2.289,    3.000,  800,   1.960,   5.789,   1.608,   0.290,   1.729,   0.480, 40,  0,   0.586,   1.503,   0.418,   0.000,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:44:974, 220385405336363,    2.397,    8.000,  800,   2.393,   6.048,   1.680,   0.663,   1.801,   0.500, 40,  0,   0.596,   1.568,   0.435,   0.000,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:45:080, 220385703992113,    2.503,   31.000,  800,   3.457,   6.416,   1.782,   1.525,   1.963,   0.545, 40,  0,   0.811,   1.654,   0.459,   0.064,   0.050,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:45:188, 220386006257626,    2.611,   11.000,  800,   2.525,   6.687,   1.858,   0.712,   2.040,   0.567, 40,  0,   0.659,   1.725,   0.479,   0.014,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:45:299, 220386318125838,    2.722,    7.000,  800,   2.352,   6.949,   1.930,   0.614,   2.108,   0.586, 40,  0,   0.603,   1.792,   0.498,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:45:406, 220386619199691,    2.829,    4.000,  800,   2.046,   7.168,   1.991,   0.365,   2.147,   0.596, 40,  0,   0.594,   1.855,   0.515,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:45:521, 220386941081748,    2.944,   15.000,  900,   2.645,   7.471,   2.075,   0.877,   2.248,   0.624, 40,  0,   0.649,   1.930,   0.536,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:45:627, 220387240457649,    3.050,   34.000,  800,   3.834,   7.880,   2.189,   1.973,   2.458,   0.683, 40,  0,   0.733,   2.008,   0.558,   0.000,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:07:45:736, 220387546190704,    3.159,   11.000,  800,   2.638,   8.167,   2.269,   0.837,   2.549,   0.708, 40,  0,   0.637,   2.077,   0.577,   0.014,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
