System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:52:00:548, 227842262483777,    0.109,   10.000, 3500,  17.297,   1.880,   0.522,   5.087,   0.553,   0.154, 52,  0,   0.720,   0.078,   0.022,   0.030,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:00:657, 227842567612664,    0.217,   13.000, 3500,  22.694,   4.346,   1.207,  10.721,   1.718,   0.477, 58,  0,   0.572,   0.140,   0.039,   0.027,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:00:767, 227842879022416,    0.328,   10.000,  900,  19.235,   6.479,   1.800,   6.985,   2.493,   0.692, 46,  0,   0.643,   0.212,   0.059,   0.053,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:00:875, 227843179798746,    0.435,    5.000,  800,  12.498,   7.818,   2.172,   0.475,   2.543,   0.706, 45,  0,   0.586,   0.274,   0.076,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:00:991, 227843507154152,    0.552,    3.000,  800,  12.181,   9.238,   2.566,   0.279,   2.576,   0.716, 45,  0,   0.576,   0.342,   0.095,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:01:100, 227843812203597,    0.661,    6.000,  900,  12.555,  10.602,   2.945,   0.519,   2.632,   0.731, 45,  0,   0.625,   0.409,   0.114,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:01:207, 227844112037414,    0.767,    8.000,  800,  12.640,  11.951,   3.320,   0.678,   2.705,   0.751, 45,  0,   0.656,   0.479,   0.133,   0.005,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:01:312, 227844408592848,    0.873,   10.000,  800,  12.902,  13.314,   3.698,   0.732,   2.782,   0.773, 45,  0,   0.751,   0.559,   0.155,   0.025,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:01:422, 227844718570461,    0.983,    7.000,  800,  12.590,  14.704,   4.084,   0.597,   2.848,   0.791, 45,  0,   0.659,   0.632,   0.175,   0.032,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:01:536, 227845037127693,    1.097,    6.000,  800,  12.579,  16.131,   4.481,   0.521,   2.907,   0.807, 45,  0,   0.589,   0.698,   0.194,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:01:644, 227845339889184,    1.205,    9.000, 1500,  12.818,  17.513,   4.865,   0.774,   2.990,   0.831, 46,  0,   0.602,   0.763,   0.212,   0.000,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:01:754, 227845649010161,    1.315,   31.000, 1500,  14.888,  19.152,   5.320,   2.723,   3.290,   0.914, 46,  0,   0.731,   0.844,   0.234,   0.029,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:01:861, 227845948688115,    1.421,   16.000, 2800,  14.401,  20.689,   5.747,   2.349,   3.541,   0.984, 46,  0,   0.658,   0.914,   0.254,   0.014,   0.023,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:01:969, 227846253981561,    1.530,   13.000, 2800,  14.859,  22.304,   6.196,   2.697,   3.834,   1.065, 46,  0,   0.631,   0.983,   0.273,   0.000,   0.023,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:02:083, 227846572871155,    1.644,   15.000, 3400,  16.137,  24.137,   6.705,   3.965,   4.284,   1.190, 50,  0,   0.705,   1.063,   0.295,   0.000,   0.023,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:02:188, 227846868533017,    1.749,   14.000, 2800,  15.997,  25.821,   7.173,   3.890,   4.694,   1.304, 50,  0,   0.670,   1.133,   0.315,   0.000,   0.023,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:02:302, 227847187190935,    1.862,   28.000, 2800,  17.668,  27.826,   7.729,   5.436,   5.311,   1.475, 50,  0,   1.145,   1.263,   0.351,   0.022,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:02:409, 227847489231452,    1.970,   22.000, 2800,  16.176,  29.566,   8.213,   3.857,   5.726,   1.590, 46,  0,   0.918,   1.362,   0.378,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:02:517, 227847791546061,    2.078,   13.000, 2600,  14.768,  31.156,   8.654,   2.528,   5.998,   1.666, 46,  0,   0.808,   1.449,   0.402,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:02:628, 227848104398350,    2.189,   14.000, 2800,  15.629,  32.897,   9.138,   3.479,   6.385,   1.774, 48,  0,   0.846,   1.543,   0.429,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:02:740, 227848417296907,    2.301,   11.000, 2800,  17.071,  34.800,   9.667,   4.785,   6.919,   1.922, 46,  0,   0.776,   1.630,   0.453,   0.059,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:02:849, 227848725134104,    2.410,    7.000,  900,  12.788,  36.202,  10.056,   0.820,   7.008,   1.947, 45,  0,   0.644,   1.700,   0.472,   0.000,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:02:957, 227849028063334,    2.518,    4.000,  900,  12.437,  37.543,  10.429,   0.412,   7.053,   1.959, 45,  0,   0.599,   1.765,   0.490,   0.000,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:03:066, 227849332941381,    2.627,    7.000,  900,  12.665,  38.918,  10.811,   0.650,   7.124,   1.979, 45,  0,   0.619,   1.832,   0.509,   0.000,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:03:177, 227849645461505,    2.738,   20.000,  900,  13.458,  40.416,  11.227,   1.344,   7.273,   2.020, 45,  0,   0.733,   1.913,   0.532,   0.061,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:03:281, 227849937418231,    2.842,   13.000, 2800,  15.459,  42.023,  11.673,   3.233,   7.609,   2.114, 46,  0,   0.862,   2.003,   0.556,   0.063,   0.046,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:03:395, 227850256856096,    2.956,    7.000,  900,  12.979,  43.500,  12.083,   0.891,   7.711,   2.142, 45,  0,   0.630,   2.075,   0.576,   0.006,   0.047,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:03:504, 227850563409127,    3.065,    3.000,  800,  12.246,  44.837,  12.455,   0.328,   7.746,   2.152, 45,  0,   0.589,   2.139,   0.594,   0.000,   0.047,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:03:613, 227850870708599,    3.174,    9.000,  900,  12.483,  46.203,  12.834,   0.566,   7.808,   2.169, 45,  0,   0.611,   2.206,   0.613,   0.000,   0.047,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:03:751, 227851256819739,    3.312,   15.000,  900,  14.684,  48.222,  13.395,   2.480,   8.149,   2.264, 45,  0,   0.760,   2.310,   0.642,   0.019,   0.049,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:03:831, 227851482738838,    3.392,    7.000,  900,  12.633,  49.238,  13.677,   0.640,   8.201,   2.278, 45,  0,   0.676,   2.365,   0.657,   0.024,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:03:941, 227851790654508,    3.502,   13.000,  800,  13.038,  50.668,  14.074,   0.881,   8.298,   2.305, 45,  0,   0.691,   2.441,   0.678,   0.003,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:04:052, 227852103414766,    3.613,    9.000,  900,  12.661,  52.078,  14.466,   0.709,   8.377,   2.327, 45,  0,   0.627,   2.510,   0.697,   0.000,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:04:161, 227852408596177,    3.722,    3.000,  800,  12.335,  53.419,  14.839,   0.326,   8.412,   2.337, 45,  0,   0.595,   2.575,   0.715,   0.000,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:04:266, 227852701834762,    3.826,   22.000,  900,  13.070,  54.784,  15.218,   1.119,   8.529,   2.369, 45,  0,   0.669,   2.645,   0.735,   0.000,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:04:379, 227853020441629,    3.940,   37.000,  900,  14.387,  56.416,  15.671,   2.105,   8.768,   2.435, 45,  0,   0.875,   2.744,   0.762,   0.030,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:04:486, 227853319172807,    4.046,   20.000,  900,  13.477,  57.850,  16.069,   1.402,   8.917,   2.477, 45,  0,   0.635,   2.812,   0.781,   0.000,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:04:593, 227853622044635,    4.154,   20.000,  800,  13.512,  59.307,  16.474,   1.323,   9.059,   2.517, 45,  0,   0.688,   2.886,   0.802,   0.000,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:04:772, 227854124718244,    4.333,   19.000,  900,  13.259,  61.681,  17.134,   1.175,   9.270,   2.575, 45,  0,   0.646,   3.002,   0.834,   0.019,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:04:812, 227854236482938,    4.373,    6.000,  800,  12.590,  62.182,  17.273,   0.460,   9.288,   2.580, 45,  0,   0.681,   3.029,   0.841,   0.023,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:04:928, 227854560463183,    4.488,   13.000,  800,  12.893,  63.670,  17.686,   0.862,   9.388,   2.608, 45,  0,   0.670,   3.106,   0.863,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:05:035, 227854862904600,    4.596,   10.000,  900,  12.805,  65.049,  18.069,   0.707,   9.464,   2.629, 45,  0,   0.634,   3.174,   0.882,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:52:05:144, 227855168004653,    4.705,    3.000,  800,  12.276,  66.383,  18.440,   0.321,   9.499,   2.638, 44,  0,   0.590,   3.238,   0.900,   0.000,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
