System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:55:44:521, 228471179821133,    0.106,    8.000,  800,   3.044,   0.324,   0.090,   1.187,   0.126,   0.035, 44,  0,   0.664,   0.071,   0.020,   0.049,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:44:630, 228471486249015,    0.216,    4.000,  800,   2.133,   0.557,   0.155,   0.371,   0.167,   0.046, 43,  0,   0.642,   0.141,   0.039,   0.022,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:44:737, 228471784687190,    0.322,    6.000,  800,   2.240,   0.795,   0.221,   0.486,   0.218,   0.061, 43,  0,   0.649,   0.210,   0.058,   0.004,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:44:856, 228472122434514,    0.442,   43.000,  900,   3.823,   1.254,   0.348,   1.860,   0.442,   0.123, 44,  0,   0.800,   0.306,   0.085,   0.085,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:44:955, 228472398593870,    0.540,    8.000,  800,   2.439,   1.494,   0.415,   0.641,   0.505,   0.140, 44,  0,   0.675,   0.372,   0.103,   0.028,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:45:062, 228472698335390,    0.647,   12.000, 1400,   2.784,   1.791,   0.498,   0.955,   0.607,   0.169, 44,  0,   0.749,   0.452,   0.126,   0.011,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:45:173, 228473009806752,    0.758,    9.000, 1400,   3.165,   2.143,   0.595,   1.357,   0.758,   0.210, 44,  0,   0.694,   0.529,   0.147,   0.018,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:45:287, 228473331455628,    0.873,    9.000,  800,   2.513,   2.430,   0.675,   0.768,   0.846,   0.235, 43,  0,   0.643,   0.603,   0.167,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:45:392, 228473626475307,    0.978,    9.000,  800,   2.353,   2.678,   0.744,   0.615,   0.910,   0.253, 43,  0,   0.635,   0.670,   0.186,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:45:505, 228473943152261,    1.090,   16.000,  900,   2.846,   2.999,   0.833,   1.060,   1.030,   0.286, 43,  0,   0.653,   0.743,   0.206,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:45:611, 228474240997627,    1.197,    9.000,  800,   2.356,   3.248,   0.902,   0.620,   1.096,   0.304, 43,  0,   0.617,   0.809,   0.225,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:45:719, 228474543286440,    1.304,   10.000,  800,   2.433,   3.510,   0.975,   0.689,   1.170,   0.325, 43,  0,   0.638,   0.877,   0.244,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:45:851, 228474913554153,    1.436,   26.000, 1400,   2.900,   3.893,   1.081,   1.089,   1.313,   0.365, 43,  0,   0.650,   0.963,   0.268,   0.047,   0.031,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:45:939, 228475160940454,    1.524,    7.000, 1400,   2.918,   4.150,   1.153,   1.139,   1.414,   0.393, 44,  0,   0.711,   1.026,   0.285,   0.015,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:46:052, 228475478792623,    1.637,    9.000,  800,   2.672,   4.452,   1.237,   0.898,   1.515,   0.421, 43,  0,   0.672,   1.102,   0.306,   0.000,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:46:160, 228475782355591,    1.745,   12.000,  900,   2.796,   4.755,   1.321,   0.975,   1.621,   0.450, 44,  0,   0.704,   1.178,   0.327,   0.014,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:46:268, 228476084922718,    1.853,    3.000,  800,   2.008,   4.971,   1.381,   0.331,   1.656,   0.460, 43,  0,   0.592,   1.242,   0.345,   0.000,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:46:381, 228476402660833,    1.966,   41.000,  900,   4.186,   5.445,   1.512,   2.187,   1.904,   0.529, 44,  0,   0.850,   1.338,   0.372,   0.106,   0.045,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:46:484, 228476692300111,    2.070,   20.000,  800,   9.358,   6.410,   1.781,   4.939,   2.413,   0.670, 44,  0,   0.888,   1.430,   0.397,   0.117,   0.057,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:46:593, 228476998815738,    2.179,    5.000,  800,   4.919,   6.947,   1.930,   0.438,   2.461,   0.684, 44,  0,   0.598,   1.495,   0.415,   0.000,   0.057,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:46:708, 228477319560847,    2.293,   12.000, 1500,   8.942,   7.968,   2.213,   0.727,   2.544,   0.707, 43,  0,   0.574,   1.560,   0.433,   0.000,   0.057,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:47:117, 228478469618432,    2.702,   18.000, 3500,  20.386,  16.318,   4.533,   8.277,   5.934,   1.648, 56,  0,   0.611,   1.811,   0.503,   0.024,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:47:221, 228478759648515,    2.806,   73.000, 3400,  23.758,  18.771,   5.214,  11.590,   7.131,   1.981, 58,  0,   0.576,   1.870,   0.519,   0.048,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:47:250, 228478842372936,    2.835,    2.000, 2800,  14.556,  19.200,   5.333,   1.848,   7.186,   1.996, 47,  0,   0.653,   1.889,   0.525,   0.068,   0.074,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:47:359, 228479149399100,    2.945,    2.000,  800,  12.138,  20.527,   5.702,   0.308,   7.219,   2.005, 44,  0,   0.579,   1.953,   0.542,   0.000,   0.074,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:47:473, 228479469665536,    3.059,   13.000,  900,  12.936,  22.003,   6.112,   0.913,   7.323,   2.034, 44,  0,   0.612,   2.023,   0.562,   0.000,   0.074,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:47:582, 228479773443243,    3.167,    5.000,  800,  12.555,  23.361,   6.489,   0.446,   7.372,   2.048, 43,  0,   0.612,   2.089,   0.580,   0.019,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:47:691, 228480081546601,    3.277,    4.000,  800,  12.297,  24.710,   6.864,   0.385,   7.414,   2.059, 43,  0,   0.569,   2.151,   0.598,   0.000,   0.076,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:47:850, 228480527040989,    3.435,   17.000, 1500,  12.954,  26.766,   7.435,   0.899,   7.557,   2.099, 44,  0,   0.610,   2.248,   0.624,   0.038,   0.082,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:47:911, 228480697214116,    3.496,    1.000,  800,  12.328,  27.513,   7.642,   0.464,   7.585,   2.107, 43,  0,   0.618,   2.285,   0.635,   0.009,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:48:017, 228480996654714,    3.602,    3.000,  800,  12.188,  28.812,   8.003,   0.258,   7.612,   2.115, 43,  0,   0.579,   2.347,   0.652,   0.000,   0.083,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:48:126, 228481302961371,    3.711,    8.000,  800,  12.702,  30.198,   8.388,   0.646,   7.683,   2.134, 44,  0,   0.656,   2.419,   0.672,   0.029,   0.086,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:48:239, 228481620767209,    3.825,    3.000,  800,  12.480,  31.610,   8.781,   0.402,   7.728,   2.147, 43,  0,   0.623,   2.489,   0.691,   0.023,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:48:348, 228481925295309,    3.933,    2.000,  800,  12.190,  32.932,   9.148,   0.226,   7.753,   2.154, 43,  0,   0.594,   2.554,   0.709,   0.016,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:48:452, 228482218628233,    4.038,   12.000, 2800,  14.151,  34.411,   9.558,   2.287,   7.992,   2.220, 49,  0,   0.734,   2.630,   0.731,   0.022,   0.093,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:48:568, 228482544670224,    4.154,    5.000,  800,  16.167,  36.288,  10.080,   4.006,   8.457,   2.349, 44,  0,   0.761,   2.719,   0.755,   0.043,   0.098,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:48:674, 228482841244906,    4.259,   22.000,  900,  13.710,  37.736,  10.482,   1.512,   8.616,   2.393, 44,  0,   0.715,   2.794,   0.776,   0.006,   0.098,   0.027,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:48:842, 228483314346602,    4.428,   14.000, 1500,  12.987,  39.924,  11.090,   0.857,   8.761,   2.434, 44,  0,   0.613,   2.897,   0.805,   0.034,   0.104,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:48:891, 228483451072104,    4.476,    4.000,  900,  12.684,  40.541,  11.261,   0.809,   8.800,   2.444, 44,  0,   0.654,   2.929,   0.814,   0.035,   0.106,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:49:005, 228483771152732,    4.590,    2.000,  800,  12.163,  41.928,  11.647,   0.240,   8.828,   2.452, 44,  0,   0.577,   2.995,   0.832,   0.024,   0.108,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:49:114, 228484075782279,    4.699,   16.000,  900,  13.159,  43.355,  12.043,   1.012,   8.937,   2.483, 44,  0,   0.632,   3.064,   0.851,   0.018,   0.110,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:49:219, 228484370264707,    4.804,   11.000, 1500,  13.139,  44.733,  12.426,   1.033,   9.046,   2.513, 44,  0,   0.687,   3.136,   0.871,   0.023,   0.113,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:49:334, 228484695440040,    4.920,    1.000,  800,  12.097,  46.134,  12.815,   0.203,   9.069,   2.519, 44,  0,   0.569,   3.202,   0.889,   0.000,   0.113,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:49:442, 228484997445007,    5.027,    5.000,  800,  12.331,  47.460,  13.183,   0.419,   9.114,   2.532, 43,  0,   0.567,   3.263,   0.906,   0.000,   0.113,   0.031,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:49:550, 228485300542253,    5.135,    2.000,  800,  12.230,  48.780,  13.550,   0.278,   9.144,   2.540, 44,  0,   0.572,   3.324,   0.923,   0.031,   0.116,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:49:662, 228485613989571,    5.247,    5.000,  800,  12.349,  50.159,  13.933,   0.398,   9.189,   2.552, 43,  0,   0.615,   3.393,   0.942,   0.032,   0.120,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:49:769, 228485915332329,    5.354,    8.000,  800,  12.602,  51.511,  14.309,   0.556,   9.248,   2.569, 44,  0,   0.617,   3.459,   0.961,   0.019,   0.122,   0.034,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:49:876, 228486214803231,    5.461,   14.000, 1500,  13.567,  52.958,  14.711,   1.403,   9.398,   2.611, 44,  0,   0.679,   3.532,   0.981,   0.124,   0.135,   0.037,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:49:988, 228486531419391,    5.573,    1.000,  800,  12.299,  54.345,  15.096,   0.304,   9.432,   2.620, 43,  0,   0.584,   3.597,   0.999,   0.000,   0.135,   0.037,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:50:094, 228486827930118,    5.679,    4.000,  800,  12.303,  55.644,  15.457,   0.369,   9.471,   2.631, 43,  0,   0.601,   3.661,   1.017,   0.000,   0.135,   0.037,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:50:203, 228487134654704,    5.788,   13.000, 1300,  15.748,  57.364,  15.934,   3.620,   9.867,   2.741, 44,  0,   0.864,   3.755,   1.043,   0.038,   0.139,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:50:318, 228487458771828,    5.904,   19.000,  900,  13.314,  58.901,  16.361,   1.226,  10.008,   2.780, 44,  0,   0.741,   3.841,   1.067,   0.016,   0.141,   0.039,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:50:426, 228487759572760,    6.011,    9.000,  800,  13.007,  60.294,  16.748,   0.782,  10.092,   2.803, 43,  0,   0.636,   3.909,   1.086,   0.046,   0.146,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:55:50:536, 228488070430310,    6.122,    7.000,  800,  12.473,  61.675,  17.132,   0.569,  10.155,   2.821, 43,  0,   0.577,   3.973,   1.104,   0.024,   0.148,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
