System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:14:20:612, 231605164429834,    0.108,    7.000, 2800,  14.580,   1.571,   0.436,   2.496,   0.269,   0.075, 47,  0,   0.661,   0.071,   0.020,   0.042,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:20:719, 231605465809037,    0.215,    5.000,  800,  12.581,   2.921,   0.811,   0.509,   0.324,   0.090, 46,  0,   0.644,   0.140,   0.039,   0.006,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:20:832, 231605782154839,    0.328,    4.000,  800,  12.342,   4.311,   1.198,   0.403,   0.369,   0.102, 46,  0,   0.630,   0.211,   0.059,   0.003,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:20:940, 231606087601292,    0.436,   20.000,  800,  13.337,   5.762,   1.601,   1.167,   0.496,   0.138, 46,  0,   0.713,   0.289,   0.080,   0.045,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:21:047, 231606385761615,    0.543,   14.000,  800,  13.087,   7.152,   1.987,   0.915,   0.593,   0.165, 46,  0,   0.757,   0.369,   0.103,   0.056,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:21:159, 231606700002019,    0.655,    5.000,  800,  12.628,   8.565,   2.379,   0.444,   0.643,   0.179, 46,  0,   0.692,   0.447,   0.124,   0.038,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:21:272, 231607017422317,    0.768,   11.000,  800,  13.020,  10.037,   2.788,   0.872,   0.741,   0.206, 46,  0,   0.713,   0.527,   0.146,   0.050,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:21:376, 231607310304184,    0.872,   25.000,  800,  13.858,  11.482,   3.189,   1.559,   0.904,   0.251, 46,  0,   0.740,   0.604,   0.168,   0.104,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:21:487, 231607621033770,    0.983,   10.000,  800,  12.811,  12.900,   3.583,   0.743,   0.986,   0.274, 46,  0,   0.744,   0.687,   0.191,   0.032,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:21:593, 231607919874734,    1.089,   11.000,  800,  13.286,  14.314,   3.976,   1.031,   1.096,   0.304, 46,  0,   0.732,   0.765,   0.212,   0.069,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:21:704, 231608232764747,    1.200,    6.000,  800,  12.548,  15.712,   4.364,   0.478,   1.149,   0.319, 46,  0,   0.672,   0.840,   0.233,   0.041,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:21:812, 231608536246915,    1.309,    5.000,  800,  12.633,  17.077,   4.744,   0.487,   1.202,   0.334, 46,  0,   0.692,   0.914,   0.254,   0.062,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:21:925, 231608852318971,    1.421,   33.000,  800,  14.152,  18.670,   5.186,   1.786,   1.403,   0.390, 47,  0,   0.895,   1.015,   0.282,   0.155,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:22:035, 231609160701809,    1.531,    5.000, 1500,  13.446,  20.147,   5.596,   1.297,   1.545,   0.429, 47,  0,   0.729,   1.095,   0.304,   0.043,   0.081,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:22:146, 231609472936848,    1.642,   10.000, 1500,  13.733,  21.674,   6.021,   1.558,   1.718,   0.477, 47,  0,   0.658,   1.168,   0.325,   0.068,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:22:253, 231609772311599,    1.749,    8.000,  800,  12.847,  23.044,   6.401,   0.799,   1.803,   0.501, 46,  0,   0.671,   1.240,   0.344,   0.044,   0.094,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:22:360, 231610071942049,    1.855,   15.000, 1500,  13.346,  24.468,   6.797,   1.206,   1.932,   0.537, 46,  0,   0.661,   1.311,   0.364,   0.058,   0.100,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:22:474, 231610394603582,    1.970,    4.000,  800,  12.758,  25.934,   7.204,   0.678,   2.010,   0.558, 46,  0,   0.649,   1.385,   0.385,   0.015,   0.102,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:22:579, 231610689062432,    2.075,   12.000,  800,  13.003,  27.297,   7.583,   0.929,   2.108,   0.585, 47,  0,   0.697,   1.458,   0.405,   0.015,   0.103,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:22:688, 231610994161347,    2.184,    2.000,  800,  12.230,  28.626,   7.952,   0.268,   2.137,   0.594, 46,  0,   0.572,   1.520,   0.422,   0.000,   0.103,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:22:800, 231611309644028,    2.296,    1.000,  800,  12.021,  29.977,   8.327,   0.153,   2.154,   0.598, 46,  0,   0.550,   1.582,   0.439,   0.000,   0.103,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:22:907, 231611609485016,    2.403,    5.000,  900,  12.395,  31.300,   8.694,   0.453,   2.202,   0.612, 47,  0,   0.567,   1.643,   0.456,   0.000,   0.103,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:23:016, 231611914381230,    2.512,    6.000,  800,  12.390,  32.645,   9.068,   0.455,   2.252,   0.625, 46,  0,   0.627,   1.711,   0.475,   0.008,   0.104,   0.029,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:23:128, 231612229917130,    2.624,   11.000,  800,  13.056,  34.112,   9.476,   0.890,   2.352,   0.653, 46,  0,   0.650,   1.784,   0.495,   0.034,   0.108,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:23:237, 231612534702300,    2.732,    5.000, 1200,  12.554,  35.475,   9.854,   0.527,   2.409,   0.669, 46,  0,   0.619,   1.851,   0.514,   0.008,   0.109,   0.030,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:23:351, 231612857353765,    2.847,   18.000,  900,  13.037,  36.973,  10.270,   0.984,   2.522,   0.701, 46,  0,   0.594,   1.919,   0.533,   0.046,   0.114,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:23:458, 231613157363548,    2.954,    2.000,  800,  12.256,  38.283,  10.634,   0.249,   2.549,   0.708, 46,  0,   0.588,   1.982,   0.551,   0.006,   0.114,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:23:566, 231613459641874,    3.062,    9.000,  800,  12.595,  39.638,  11.011,   0.625,   2.616,   0.727, 46,  0,   0.647,   2.052,   0.570,   0.000,   0.114,   0.032,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:23:673, 231613761424158,    3.169,    3.000,  800,  12.412,  40.972,  11.381,   0.387,   2.658,   0.738, 46,  0,   0.617,   2.118,   0.588,   0.052,   0.120,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:23:786, 231614077657096,    3.282,    1.000,  800,  12.109,  42.336,  11.760,   0.176,   2.677,   0.744, 46,  0,   0.571,   2.182,   0.606,   0.000,   0.120,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:23:894, 231614379740720,    3.390,    5.000,  800,  12.299,  43.659,  12.128,   0.429,   2.723,   0.757, 46,  0,   0.573,   2.244,   0.623,   0.000,   0.120,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:24:006, 231614694734970,    3.502,    4.000,  800,  12.314,  45.040,  12.511,   0.392,   2.767,   0.769, 46,  0,   0.580,   2.309,   0.641,   0.000,   0.120,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:24:115, 231615000269681,    3.611,    1.000,  800,  12.166,  46.364,  12.879,   0.183,   2.787,   0.774, 46,  0,   0.563,   2.370,   0.658,   0.000,   0.120,   0.033,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:24:218, 231615291356644,    3.714,   13.000, 1500,  16.509,  48.076,  13.354,   4.359,   3.239,   0.900, 48,  0,   0.860,   2.459,   0.683,   0.078,   0.128,   0.036,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:24:352, 231615668549872,    3.849,   37.000, 1200,  13.629,  49.906,  13.863,   1.543,   3.446,   0.957, 48,  0,   0.762,   2.562,   0.712,   0.051,   0.135,   0.037,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:24:441, 231615917389299,    3.937,   10.000,  800,  13.484,  51.101,  14.195,   1.209,   3.554,   0.987, 46,  0,   0.683,   2.622,   0.728,   0.084,   0.142,   0.040,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:24:547, 231616213860433,    4.043,   12.000,  900,  12.935,  52.467,  14.574,   0.901,   3.649,   1.014, 47,  0,   0.678,   2.694,   0.748,   0.052,   0.148,   0.041,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:24:660, 231616532186839,    4.156,   12.000,  900,  13.176,  53.961,  14.989,   0.966,   3.758,   1.044, 47,  0,   0.725,   2.776,   0.771,   0.031,   0.151,   0.042,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:24:766, 231616829220221,    4.262,   10.000, 1500,  15.056,  55.553,  15.431,   2.926,   4.068,   1.130, 46,  0,   0.573,   2.837,   0.788,   0.021,   0.154,   0.043,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:24:880, 231617148501898,    4.376,   13.000, 2800,  15.857,  57.356,  15.932,   3.942,   4.516,   1.254, 56,  0,   0.823,   2.930,   0.814,   0.048,   0.159,   0.044,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:24:986, 231617445724783,    4.481,    5.000,  800,  13.739,  58.811,  16.336,   1.626,   4.688,   1.302, 46,  0,   0.688,   3.003,   0.834,   0.009,   0.160,   0.044,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:25:099, 231617763390491,    4.595,   22.000,  900,  13.745,  60.365,  16.768,   1.595,   4.868,   1.352, 47,  0,   0.698,   3.082,   0.856,   0.040,   0.165,   0.046,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:25:203, 231618057410203,    4.699,   18.000,  800,  13.422,  61.771,  17.159,   1.234,   4.998,   1.388, 47,  0,   0.692,   3.155,   0.876,   0.041,   0.169,   0.047,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:25:351, 231618473466359,    4.847,   15.000,  900,  12.879,  63.679,  17.689,   0.760,   5.110,   1.420, 46,  0,   0.652,   3.251,   0.903,   0.057,   0.177,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:25:425, 231618678686747,    4.920,    4.000,  800,  12.414,  64.586,  17.941,   0.342,   5.135,   1.426, 46,  0,   0.610,   3.296,   0.915,   0.009,   0.178,   0.049,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:25:532, 231618981588027,    5.028,   16.000, 2800,  17.221,  66.444,  18.457,   5.126,   5.688,   1.580, 47,  0,   0.933,   3.396,   0.943,   0.084,   0.187,   0.052,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:25:645, 231619298505829,    5.141,   20.000, 1300,  13.892,  68.012,  18.892,   1.748,   5.886,   1.635, 48,  0,   0.808,   3.488,   0.969,   0.000,   0.187,   0.052,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:25:754, 231619603279655,    5.250,    7.000,  800,  13.057,  69.429,  19.286,   0.976,   5.991,   1.664, 46,  0,   0.668,   3.560,   0.989,   0.071,   0.195,   0.054,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:25:861, 231619904652024,    5.357,   26.000, 1500,  14.465,  70.982,  19.717,   2.135,   6.221,   1.728, 47,  0,   0.845,   3.651,   1.014,   0.052,   0.200,   0.056,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:25:974, 231620221411412,    5.470,    2.000,  800,  12.099,  72.346,  20.096,   0.223,   6.246,   1.735, 46,  0,   0.562,   3.714,   1.032,   0.000,   0.200,   0.056,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:26:081, 231620521946625,    5.577,   10.000, 1200,  15.613,  74.018,  20.560,   3.492,   6.620,   1.839, 47,  0,   0.834,   3.803,   1.057,   0.065,   0.207,   0.058,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:14:26:187, 231620820355356,    5.683,   16.000,  800,  13.047,  75.404,  20.946,   1.006,   6.726,   1.868, 47,  0,   0.685,   3.876,   1.077,   0.000,   0.207,   0.058,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
