System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:13:18:875, 231431806309607,    0.095,    4.000,  800,  13.113,   1.248,   0.347,   0.980,   0.093,   0.026, 47,  0,   0.674,   0.064,   0.018,   0.064,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:13:18:986, 231432118525523,    0.206,    5.000,  800,  12.473,   2.635,   0.732,   0.452,   0.144,   0.040, 46,  0,   0.656,   0.137,   0.038,   0.008,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:13:19:095, 231432426679240,    0.316,    9.000,  800,  12.844,   4.044,   1.123,   0.712,   0.222,   0.062, 46,  0,   0.651,   0.209,   0.058,   0.007,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:13:19:204, 231432731801829,    0.425,   16.000,  800,  13.197,   5.478,   1.522,   1.043,   0.335,   0.093, 47,  0,   0.725,   0.287,   0.080,   0.054,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:13:19:340, 231433113935363,    0.561,   28.000, 1500,  13.432,   7.306,   2.029,   1.318,   0.514,   0.143, 47,  0,   0.663,   0.378,   0.105,   0.044,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:13:19:428, 231433360282813,    0.649,    7.000,  800,  13.249,   8.468,   2.352,   1.143,   0.615,   0.171, 47,  0,   0.662,   0.436,   0.121,   0.014,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:13:19:533, 231433654377043,    0.753,   12.000,  800,  12.734,   9.802,   2.723,   0.795,   0.698,   0.194, 47,  0,   0.628,   0.501,   0.139,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:13:19:641, 231433957964354,    0.861,   12.000,  800,  12.932,  11.200,   3.111,   0.796,   0.784,   0.218, 46,  0,   0.658,   0.573,   0.159,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:13:19:751, 231434266078889,    0.971,    9.000,  800,  12.628,  12.586,   3.496,   0.686,   0.859,   0.239, 47,  0,   0.608,   0.639,   0.178,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:13:19:859, 231434571125802,    1.080,   16.000,  800,  13.502,  14.053,   3.904,   1.315,   1.002,   0.278, 46,  0,   0.778,   0.724,   0.201,   0.016,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
