System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:03:04:129, 219596792343215,    0.109,    4.000,  900,   5.635,   0.617,   0.171,   1.021,   0.112,   0.031, 42,  0,   0.663,   0.073,   0.020,   0.020,   0.002,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:04:241, 219597106853747,    0.221,    6.000,  900,   5.085,   1.186,   0.330,   0.550,   0.173,   0.048, 42,  0,   0.650,   0.145,   0.040,   0.021,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:04:349, 219597409134186,    0.329,   14.000, 2500,  11.228,   2.395,   0.665,   1.301,   0.313,   0.087, 42,  0,   0.540,   0.203,   0.057,   0.003,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:04:711, 219598426685320,    0.692,   13.000, 3500,  20.670,   9.885,   2.746,   8.495,   3.392,   0.942, 53,  0,   0.600,   0.421,   0.117,   0.018,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:04:783, 219598627561948,    0.763,   15.000, 3500,  25.053,  11.678,   3.244,  13.026,   4.324,   1.201, 55,  0,   0.712,   0.472,   0.131,   0.075,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:04:951, 219599103351690,    0.932,   16.000, 1500,  17.293,  14.608,   4.058,   5.075,   5.184,   1.440, 43,  0,   0.622,   0.577,   0.160,   0.023,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:05:005, 219599251536694,    0.985,    7.000,  900,  12.930,  15.290,   4.247,   1.025,   5.238,   1.455, 42,  0,   0.729,   0.616,   0.171,   0.014,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:05:115, 219599562554740,    1.096,    6.000,  800,  12.611,  16.687,   4.635,   0.531,   5.297,   1.471, 42,  0,   0.663,   0.689,   0.191,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:05:224, 219599867283398,    1.205,    6.000,  900,  12.552,  18.049,   5.014,   0.573,   5.359,   1.489, 42,  0,   0.593,   0.753,   0.209,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:05:332, 219600171150598,    1.313,    3.000,  800,  12.296,  19.380,   5.383,   0.340,   5.395,   1.499, 41,  0,   0.585,   0.817,   0.227,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:05:438, 219600468879990,    1.419,    7.000,  800,  12.477,  20.703,   5.751,   0.546,   5.453,   1.515, 42,  0,   0.650,   0.886,   0.246,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:05:548, 219600776404989,    1.528,    9.000,  900,  12.737,  22.098,   6.138,   0.656,   5.525,   1.535, 42,  0,   0.658,   0.958,   0.266,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:05:662, 219601098643608,    1.643,    6.000,  900,  12.552,  23.538,   6.538,   0.588,   5.593,   1.554, 42,  0,   0.584,   1.025,   0.285,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:05:770, 219601400318010,    1.750,    5.000,  800,  12.358,  24.866,   6.907,   0.406,   5.636,   1.566, 41,  0,   0.607,   1.090,   0.303,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:05:875, 219601696884055,    1.856,   12.000,  800,  12.913,  26.230,   7.286,   0.882,   5.729,   1.592, 42,  0,   0.756,   1.170,   0.325,   0.018,   0.023,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:05:987, 219602009347858,    1.967,   19.000,  900,  13.695,  27.754,   7.709,   1.400,   5.885,   1.635, 42,  0,   0.675,   1.245,   0.346,   0.078,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:06:096, 219602317196656,    2.077,    9.000,  800,  12.709,  29.147,   8.096,   0.708,   5.963,   1.656, 41,  0,   0.610,   1.312,   0.364,   0.000,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:06:204, 219602618057791,    2.184,    4.000,  800,  12.257,  30.460,   8.461,   0.390,   6.005,   1.668, 41,  0,   0.598,   1.376,   0.382,   0.000,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:06:313, 219602925819792,    2.294,    8.000,  800,  12.743,  31.857,   8.849,   0.680,   6.079,   1.689, 42,  0,   0.619,   1.444,   0.401,   0.000,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:06:423, 219603234180549,    2.404,    6.000,  800,  12.512,  33.231,   9.231,   0.500,   6.134,   1.704, 41,  0,   0.643,   1.514,   0.421,   0.000,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:06:531, 219603536440596,    2.511,    4.000,  800,  12.206,  34.545,   9.596,   0.345,   6.171,   1.714, 42,  0,   0.591,   1.578,   0.438,   0.000,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:03:06:644, 219603855908951,    2.625,    9.000,  800,  12.785,  35.999,  10.000,   0.736,   6.255,   1.737, 41,  0,   0.601,   1.646,   0.457,   0.000,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
