System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:59:43:457, 219033306279253,    0.108,    5.000,  800,   6.303,   0.683,   0.190,   1.700,   0.184,   0.051, 41,  0,   0.733,   0.079,   0.022,   0.047,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:43:563, 219033603926197,    0.214,    6.000,  800,   5.010,   1.214,   0.337,   0.479,   0.235,   0.065, 41,  0,   0.648,   0.148,   0.041,   0.024,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:43:676, 219033920017677,    0.327,   14.000, 2500,  11.021,   2.455,   0.682,   1.280,   0.379,   0.105, 42,  0,   0.586,   0.214,   0.059,   0.005,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:44:040, 219034941787805,    0.691,   13.000, 3500,  20.140,   9.784,   2.718,   8.051,   3.309,   0.919, 52,  0,   0.588,   0.428,   0.119,   0.019,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:44:185, 219035351138569,    0.837,   27.000, 2900,  23.775,  13.250,   3.680,  11.593,   4.999,   1.388, 51,  0,   0.576,   0.512,   0.142,   0.019,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:44:220, 219035449889199,    0.872,   11.000, 1200,  14.992,  13.777,   3.827,   2.831,   5.098,   1.416, 44,  0,   0.699,   0.537,   0.149,   0.038,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:44:333, 219035766063689,    0.984,   16.000,  800,  13.478,  15.294,   4.248,   1.294,   5.244,   1.457, 42,  0,   0.709,   0.616,   0.171,   0.016,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:44:438, 219036059174589,    1.089,    7.000,  800,  12.647,  16.615,   4.615,   0.587,   5.305,   1.474, 42,  0,   0.692,   0.689,   0.191,   0.029,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:44:551, 219036376479876,    1.202,    5.000,  800,  12.383,  18.014,   5.004,   0.400,   5.350,   1.486, 41,  0,   0.594,   0.756,   0.210,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:44:657, 219036673613670,    1.308,   10.000,  800,  12.781,  19.366,   5.380,   0.814,   5.437,   1.510, 41,  0,   0.638,   0.823,   0.229,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:44:770, 219036990969710,    1.421,    7.000,  800,  12.613,  20.792,   5.775,   0.553,   5.499,   1.528, 41,  0,   0.659,   0.898,   0.249,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:44:935, 219037457540831,    1.587,   24.000, 1500,  12.926,  22.939,   6.372,   0.921,   5.652,   1.570, 42,  0,   0.645,   1.005,   0.279,   0.036,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:44:984, 219037594410739,    1.636,    4.000,  800,  12.959,  23.571,   6.548,   0.731,   5.688,   1.580, 41,  0,   0.680,   1.038,   0.288,   0.014,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:45:094, 219037901620673,    1.745,    6.000,  800,  12.518,  24.941,   6.928,   0.500,   5.742,   1.595, 41,  0,   0.616,   1.105,   0.307,   0.017,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:45:206, 219038217540571,    1.857,    9.000,  800,  12.638,  26.362,   7.323,   0.665,   5.817,   1.616, 41,  0,   0.659,   1.180,   0.328,   0.003,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:45:314, 219038519810864,    1.965,   22.000,  900,  13.360,  27.801,   7.722,   1.208,   5.947,   1.652, 41,  0,   0.737,   1.259,   0.350,   0.009,   0.034,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:59:45:422, 219038823746194,    2.073,    7.000,  800,  12.580,  29.162,   8.101,   0.555,   6.007,   1.669, 41,  0,   0.664,   1.331,   0.370,   0.017,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
