System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:01:35:303, 219347369042917,    0.102,   13.000, 1500,  13.857,   1.408,   0.391,   1.624,   0.165,   0.046, 41,  0,   0.753,   0.076,   0.021,   0.031,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:35:406, 219347657228824,    0.204,   15.000, 1300,  17.188,   3.172,   0.881,   5.087,   0.687,   0.191, 43,  0,   0.655,   0.144,   0.040,   0.048,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:35:519, 219347974639286,    0.317,   85.000, 3600,  20.260,   5.462,   1.517,   8.152,   1.609,   0.447, 49,  0,   0.533,   0.204,   0.057,   0.000,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:35:627, 219348277745665,    0.425,   12.000,  900,  13.160,   6.883,   1.912,   1.077,   1.725,   0.479, 42,  0,   0.688,   0.278,   0.077,   0.009,   0.009,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:35:740, 219348596028500,    0.539,   11.000,  800,  12.968,   8.353,   2.320,   0.748,   1.810,   0.503, 42,  0,   0.737,   0.362,   0.101,   0.055,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:35:845, 219348890846809,    0.644,    5.000,  800,  12.393,   9.654,   2.682,   0.398,   1.851,   0.514, 41,  0,   0.638,   0.429,   0.119,   0.003,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:35:953, 219349194134673,    0.752,   23.000, 1500,  13.533,  11.116,   3.088,   1.383,   2.001,   0.556, 42,  0,   0.699,   0.504,   0.140,   0.062,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:36:065, 219349507469187,    0.863,    7.000,  800,  12.719,  12.535,   3.482,   0.742,   2.084,   0.579, 41,  0,   0.692,   0.582,   0.162,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:36:172, 219349810484320,    0.971,   10.000,  800,  12.487,  13.882,   3.856,   0.528,   2.141,   0.595, 41,  0,   0.624,   0.649,   0.180,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:36:287, 219350132639317,    1.086,   17.000,  900,  13.210,  15.398,   4.277,   1.111,   2.268,   0.630, 41,  0,   0.629,   0.721,   0.200,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:36:390, 219350422168462,    1.189,   11.000,  800,  13.240,  16.763,   4.656,   1.145,   2.386,   0.663, 41,  0,   0.716,   0.795,   0.221,   0.013,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:01:36:506, 219350747266803,    1.305,    9.000,  800,  12.720,  18.236,   5.065,   0.635,   2.460,   0.683, 40,  0,   0.686,   0.874,   0.243,   0.019,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
