System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:53:25:832, 217972934840777,    0.103,    8.000,  900,  13.450,   1.391,   0.387,   1.224,   0.127,   0.035, 43,  0,   0.687,   0.071,   0.020,   0.024,   0.002,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:53:25:939, 217973233264443,    0.210,    4.000,  900,  12.463,   2.716,   0.754,   0.425,   0.172,   0.048, 43,  0,   0.641,   0.139,   0.039,   0.012,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:53:26:049, 217973542234812,    0.320,    5.000,  900,  12.410,   4.081,   1.134,   0.423,   0.218,   0.061, 43,  0,   0.643,   0.210,   0.058,   0.003,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:53:26:157, 217973844833174,    0.428,   12.000,  900,  13.152,   5.499,   1.527,   1.032,   0.330,   0.092, 43,  0,   0.702,   0.286,   0.079,   0.012,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:53:26:271, 217974167582299,    0.542,    2.000,  900,  12.148,   6.895,   1.915,   0.259,   0.359,   0.100, 42,  0,   0.562,   0.350,   0.097,   0.000,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:53:26:376, 217974462101461,    0.647,    5.000,  900,  12.421,   8.198,   2.277,   0.450,   0.406,   0.113, 42,  0,   0.617,   0.415,   0.115,   0.006,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:53:26:485, 217974768251926,    0.756,   21.000,  900,  13.442,   9.663,   2.684,   1.317,   0.550,   0.153, 43,  0,   0.658,   0.487,   0.135,   0.012,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:53:26:596, 217975078461018,    0.867,    4.000,  900,  12.472,  11.041,   3.067,   0.436,   0.598,   0.166, 42,  0,   0.642,   0.558,   0.155,   0.004,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:53:26:756, 217975528946118,    1.027,   25.000,  900,  13.124,  13.147,   3.652,   1.027,   0.763,   0.212, 43,  0,   0.671,   0.665,   0.185,   0.029,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:53:26:819, 217975705165043,    1.090,   15.000,  900,  13.270,  13.979,   3.883,   1.147,   0.835,   0.232, 42,  0,   0.693,   0.709,   0.197,   0.021,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
