System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:38:55:864, 235747675991412,    0.101,    5.000, 2800,  14.177,   1.436,   0.399,   2.065,   0.209,   0.058, 45,  0,   0.708,   0.072,   0.020,   0.057,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:55:973, 235747982190693,    0.210,    8.000,  800,  13.178,   2.873,   0.798,   1.099,   0.329,   0.091, 45,  0,   0.609,   0.138,   0.038,   0.013,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:56:077, 235748275130052,    0.315,    4.000,  800,  12.365,   4.163,   1.156,   0.401,   0.371,   0.103, 45,  0,   0.638,   0.205,   0.057,   0.006,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:56:187, 235748583400349,    0.424,   12.000,  800,  12.907,   5.580,   1.550,   0.848,   0.464,   0.129, 45,  0,   0.674,   0.279,   0.077,   0.003,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:56:298, 235748893048054,    0.535,   10.000,  800,  12.854,   6.998,   1.944,   0.751,   0.547,   0.152, 44,  0,   0.752,   0.362,   0.100,   0.030,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:56:412, 235749214059288,    0.649,    6.000,  800,  12.605,   8.439,   2.344,   0.464,   0.600,   0.167, 45,  0,   0.666,   0.438,   0.122,   0.010,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:56:516, 235749505521079,    0.753,    8.000,  900,  12.648,   9.752,   2.709,   0.685,   0.671,   0.186, 45,  0,   0.629,   0.503,   0.140,   0.005,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:56:637, 235749847455620,    0.875,   21.000,  900,  13.539,  11.400,   3.167,   1.382,   0.839,   0.233, 45,  0,   0.685,   0.586,   0.163,   0.050,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:56:734, 235750119105983,    0.971,   14.000, 2800,  15.652,  12.914,   3.587,   3.535,   1.181,   0.328, 45,  0,   0.620,   0.646,   0.180,   0.006,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:56:845, 235750430631724,    1.082,    8.000,  900,  12.916,  14.347,   3.985,   0.824,   1.273,   0.354, 45,  0,   0.652,   0.719,   0.200,   0.012,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:56:954, 235750736860295,    1.191,    9.000, 1500,  12.895,  15.754,   4.376,   0.826,   1.363,   0.379, 45,  0,   0.570,   0.781,   0.217,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:57:067, 235751054304601,    1.304,    5.000,  800,  12.538,  17.171,   4.770,   0.579,   1.428,   0.397, 45,  0,   0.615,   0.850,   0.236,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:57:172, 235751347893060,    1.409,   11.000,  900,  12.752,  18.504,   5.140,   0.778,   1.510,   0.419, 45,  0,   0.685,   0.922,   0.256,   0.014,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:57:281, 235751654451477,    1.518,    8.000,  800,  12.870,  19.909,   5.530,   0.679,   1.584,   0.440, 45,  0,   0.685,   0.997,   0.277,   0.020,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:57:393, 235751968251639,    1.630,    4.000,  800,  12.338,  21.288,   5.913,   0.378,   1.626,   0.452, 45,  0,   0.599,   1.064,   0.295,   0.000,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:57:500, 235752269213251,    1.737,   21.000,  800,  13.292,  22.713,   6.309,   1.158,   1.750,   0.486, 45,  0,   0.747,   1.144,   0.318,   0.050,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:57:614, 235752589675968,    1.851,   18.000, 2800,  15.511,  24.483,   6.801,   3.313,   2.128,   0.591, 46,  0,   0.787,   1.234,   0.343,   0.071,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,  450,   0.000
22:38:57:718, 235752882778833,    1.956,    3.000,  800,  12.454,  25.783,   7.162,   0.439,   2.174,   0.604, 45,  0,   0.617,   1.298,   0.361,   0.009,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:57:834, 235753205751360,    2.071,   11.000, 1500,  13.171,  27.298,   7.583,   1.154,   2.307,   0.641, 46,  0,   0.648,   1.373,   0.381,   0.000,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:57:945, 235753518298982,    2.182,   20.000,  900,  13.447,  28.795,   7.999,   1.373,   2.459,   0.683, 46,  0,   0.722,   1.453,   0.404,   0.015,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:58:048, 235753809553605,    2.286,    8.000,  800,  12.808,  30.123,   8.368,   0.675,   2.529,   0.703, 45,  0,   0.654,   1.521,   0.422,   0.000,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:58:160, 235754122785751,    2.397,    6.000,  800,  12.459,  31.513,   8.754,   0.486,   2.584,   0.718, 45,  0,   0.608,   1.589,   0.441,   0.000,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:58:272, 235754436681522,    2.509,   16.000,  800,  13.251,  32.994,   9.165,   1.102,   2.707,   0.752, 45,  0,   0.728,   1.670,   0.464,   0.015,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:58:379, 235754738574761,    2.616,   10.000,  800,  12.710,  34.361,   9.545,   0.697,   2.782,   0.773, 45,  0,   0.640,   1.739,   0.483,   0.000,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:58:491, 235755053049823,    2.728,    9.000,  900,  12.654,  35.778,   9.938,   0.676,   2.858,   0.794, 45,  0,   0.596,   1.806,   0.502,   0.000,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:58:623, 235755424334477,    2.861,   25.000, 1400,  13.199,  37.523,  10.423,   1.148,   3.009,   0.836, 45,  0,   0.641,   1.890,   0.525,   0.021,   0.045,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:58:704, 235755651287170,    2.942,    3.000,  800,  12.544,  38.537,  10.705,   0.477,   3.048,   0.847, 44,  0,   0.637,   1.942,   0.539,   0.008,   0.046,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:58:816, 235755965606081,    3.053,   26.000,  800,  13.661,  40.066,  11.129,   1.446,   3.210,   0.892, 45,  0,   0.815,   2.033,   0.565,   0.119,   0.059,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:58:923, 235756266133503,    3.160,   15.000, 1500,  13.881,  41.552,  11.542,   1.673,   3.389,   0.941, 45,  0,   0.753,   2.114,   0.587,   0.073,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:59:035, 235756579960081,    3.272,   13.000, 3500,  14.963,  43.224,  12.007,   2.800,   3.702,   1.028, 51,  0,   0.659,   2.187,   0.608,   0.013,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:59:144, 235756886563053,    3.381,   14.000, 3500,  22.924,  45.727,  12.702,  10.867,   4.888,   1.358, 58,  0,   0.526,   2.245,   0.624,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:38:59:254, 235757194504651,    3.491,    8.000,  800,  15.898,  47.471,  13.186,   3.812,   5.306,   1.474, 46,  0,   0.648,   2.316,   0.643,   0.000,   0.068,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
