System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:51:49:660, 217702881241795,    0.108,    4.000,  800,  13.239,   1.436,   0.399,   1.022,   0.111,   0.031, 43,  0,   0.656,   0.071,   0.020,   0.029,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:49:771, 217703192970176,    0.219,   11.000, 1500,  13.126,   2.893,   0.804,   1.002,   0.222,   0.062, 43,  0,   0.638,   0.142,   0.039,   0.071,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:49:879, 217703496727860,    0.328,    6.000,  900,  12.621,   4.258,   1.183,   0.621,   0.289,   0.080, 43,  0,   0.641,   0.211,   0.059,   0.010,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:49:988, 217703802296041,    0.436,    7.000,  800,  12.649,   5.635,   1.565,   0.620,   0.357,   0.099, 42,  0,   0.568,   0.273,   0.076,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:50:096, 217704105596670,    0.544,    5.000,  800,  12.374,   6.971,   1.936,   0.420,   0.402,   0.112, 42,  0,   0.609,   0.339,   0.094,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:50:209, 217704424645396,    0.658,   19.000,  900,  10.516,   8.166,   2.268,   1.132,   0.531,   0.147, 43,  0,   0.759,   0.425,   0.118,   0.062,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:50:319, 217704732438654,    0.768,   11.000,  800,   2.604,   8.451,   2.348,   0.781,   0.616,   0.171, 42,  0,   0.683,   0.500,   0.139,   0.038,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:50:424, 217705027864469,    0.873,    5.000,  800,   2.186,   8.681,   2.411,   0.432,   0.662,   0.184, 42,  0,   0.624,   0.566,   0.157,   0.020,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:50:533, 217705332838267,    0.982,   11.000,  800,   2.660,   8.970,   2.492,   0.845,   0.753,   0.209, 42,  0,   0.721,   0.644,   0.179,   0.014,   0.027,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:50:645, 217705647238981,    1.093,   12.000,  800,   2.633,   9.265,   2.574,   0.867,   0.851,   0.236, 42,  0,   0.639,   0.715,   0.199,   0.000,   0.027,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:50:756, 217705963040503,    1.206,   18.000,  900,   2.845,   9.585,   2.663,   1.031,   0.966,   0.268, 42,  0,   0.640,   0.787,   0.219,   0.057,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:50:867, 217706270211928,    1.315,    4.000,  800,   2.156,   9.821,   2.728,   0.375,   1.008,   0.280, 42,  0,   0.649,   0.859,   0.238,   0.016,   0.035,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:50:968, 217706557488197,    1.418,   10.000,  800,   2.461,  10.073,   2.798,   0.740,   1.083,   0.301, 42,  0,   0.620,   0.922,   0.256,   0.000,   0.035,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:51:079, 217706867172964,    1.528,    9.000,  800,   2.494,  10.348,   2.874,   0.691,   1.159,   0.322, 42,  0,   0.704,   1.000,   0.278,   0.026,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:51:191, 217707180599078,    1.640,    6.000,  900,   2.250,  10.599,   2.944,   0.542,   1.220,   0.339, 42,  0,   0.580,   1.064,   0.296,   0.000,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:51:298, 217707481675545,    1.747,    7.000,  800,   2.341,  10.850,   3.014,   0.622,   1.286,   0.357, 42,  0,   0.595,   1.128,   0.313,   0.000,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:51:412, 217707801122917,    1.861,    5.000,  800,   2.070,  11.086,   3.079,   0.387,   1.331,   0.370, 42,  0,   0.590,   1.195,   0.332,   0.000,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:51:520, 217708106451608,    1.969,    8.000,  800,   2.359,  11.342,   3.151,   0.608,   1.397,   0.388, 42,  0,   0.678,   1.269,   0.352,   0.011,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:51:625, 217708401724872,    2.074,   10.000,  800,   2.588,  11.614,   3.226,   0.815,   1.482,   0.412, 42,  0,   0.665,   1.339,   0.372,   0.000,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:51:745, 217708738229019,    2.194,   17.000, 1500,   2.809,  11.951,   3.320,   0.993,   1.601,   0.445, 43,  0,   0.640,   1.416,   0.393,   0.046,   0.045,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:51:843, 217709013445948,    2.292,    3.000,  800,   2.117,  12.158,   3.377,   0.392,   1.640,   0.455, 42,  0,   0.625,   1.477,   0.410,   0.019,   0.047,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:51:957, 217709333025953,    2.406,    7.000,  800,   2.313,  12.422,   3.450,   0.593,   1.707,   0.474, 42,  0,   0.601,   1.545,   0.429,   0.000,   0.047,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:52:064, 217709631979464,    2.513,   24.000,  900,   3.271,  12.770,   3.547,   1.410,   1.857,   0.516, 42,  0,   0.750,   1.625,   0.451,   0.046,   0.052,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:51:52:176, 217709946787785,    2.625,   13.000,  800,   3.731,  13.188,   3.663,   1.843,   2.064,   0.573, 42,  0,   0.757,   1.710,   0.475,   0.062,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
