System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:56:58:912, 228680068672975,    0.107,   12.000, 1100,   6.194,   0.665,   0.185,   4.146,   0.445,   0.124, 44,  0,   0.808,   0.087,   0.024,   0.079,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:016, 228680361508564,    0.212,    6.000,  800,   2.336,   0.908,   0.252,   0.542,   0.501,   0.139, 43,  0,   0.671,   0.157,   0.044,   0.018,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:126, 228680670107598,    0.321,    9.000,  900,   2.449,   1.177,   0.327,   0.670,   0.575,   0.160, 43,  0,   0.649,   0.228,   0.063,   0.003,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:234, 228680974326836,    0.430,   15.000,  900,   2.884,   1.490,   0.414,   1.060,   0.690,   0.192, 43,  0,   0.656,   0.299,   0.083,   0.033,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:348, 228681293298562,    0.543,   10.000,  800,   2.956,   1.826,   0.507,   1.146,   0.820,   0.228, 43,  0,   0.664,   0.374,   0.104,   0.009,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:457, 228681598586770,    0.652,    6.000,  800,   2.303,   2.076,   0.577,   0.510,   0.875,   0.243, 43,  0,   0.651,   0.445,   0.124,   0.007,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:566, 228681907468553,    0.762,    9.000,  800,   2.416,   2.342,   0.650,   0.680,   0.950,   0.264, 43,  0,   0.609,   0.512,   0.142,   0.000,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:672, 228682204701239,    0.868,   11.000,  800,   2.512,   2.608,   0.724,   0.761,   1.031,   0.286, 43,  0,   0.643,   0.580,   0.161,   0.000,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:787, 228682527219034,    0.983,    6.000,  800,   2.194,   2.859,   0.794,   0.477,   1.085,   0.301, 43,  0,   0.605,   0.650,   0.180,   0.000,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:909, 228682869476011,    1.105,   25.000, 1500,   3.101,   3.237,   0.899,   1.284,   1.242,   0.345, 44,  0,   0.689,   0.734,   0.204,   0.033,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:56:59:999, 228683123136833,    1.195,   19.000,  900,   3.265,   3.532,   0.981,   1.382,   1.367,   0.380, 44,  0,   0.762,   0.802,   0.223,   0.064,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:00:109, 228683430656649,    1.305,   48.000, 2800,   7.854,   4.393,   1.220,   5.108,   1.926,   0.535, 45,  0,   1.212,   0.935,   0.260,   0.164,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:00:221, 228683745676197,    1.417,    4.000,  800,   5.616,   5.023,   1.395,   1.083,   2.048,   0.569, 43,  0,   0.630,   1.006,   0.279,   0.023,   0.046,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:00:333, 228684060731511,    1.529,    6.000,  800,   5.028,   5.587,   1.552,   0.485,   2.102,   0.584, 43,  0,   0.640,   1.078,   0.299,   0.015,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:00:440, 228684359384209,    1.635,   14.000, 2500,  13.658,   7.039,   1.955,   2.288,   2.345,   0.652, 45,  0,   0.568,   1.138,   0.316,   0.000,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:00:786, 228685331213286,    1.981,   15.000, 3500,  20.537,  14.147,   3.930,   8.408,   5.255,   1.460, 54,  0,   0.588,   1.341,   0.373,   0.013,   0.053,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:00:948, 228685786583335,    2.144,   24.000, 2800,  23.813,  18.009,   5.002,  11.664,   7.147,   1.985, 48,  0,   0.658,   1.448,   0.402,   0.046,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:00:991, 228685906155694,    2.186,    3.000,  800,  13.000,  18.562,   5.156,   0.672,   7.175,   1.993, 45,  0,   0.687,   1.477,   0.410,   0.029,   0.061,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:01:094, 228686197809333,    2.290,   15.000,  900,  12.950,  19.907,   5.530,   0.996,   7.279,   2.022, 44,  0,   0.612,   1.541,   0.428,   0.000,   0.061,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:01:209, 228686520438559,    2.405,    7.000,  800,  13.022,  21.404,   5.945,   0.907,   7.383,   2.051, 44,  0,   0.612,   1.611,   0.448,   0.047,   0.067,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:01:318, 228686824423583,    2.513,    5.000, 1500,  12.767,  22.786,   6.329,   0.727,   7.462,   2.073, 43,  0,   0.639,   1.681,   0.467,   0.006,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:01:423, 228687121194006,    2.619,    7.000,  800,  12.711,  24.129,   6.703,   0.766,   7.543,   2.095, 43,  0,   0.619,   1.746,   0.485,   0.000,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:01:531, 228687423560889,    2.727,    3.000,  800,  12.321,  25.456,   7.071,   0.336,   7.579,   2.105, 43,  0,   0.586,   1.809,   0.503,   0.000,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:01:644, 228687739415776,    2.839,    3.000,  800,  12.266,  26.836,   7.454,   0.302,   7.613,   2.115, 43,  0,   0.592,   1.876,   0.521,   0.000,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:01:753, 228688048315549,    2.949,    7.000, 1300,  12.682,  28.231,   7.842,   0.675,   7.687,   2.135, 43,  0,   0.599,   1.942,   0.539,   0.000,   0.067,   0.019,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:01:902, 228688467354874,    3.098,   24.000, 1400,  12.863,  30.150,   8.375,   0.854,   7.815,   2.171, 44,  0,   0.623,   2.035,   0.565,   0.029,   0.072,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:01:973, 228688664500119,    3.168,   44.000, 1500,  17.368,  31.370,   8.714,   4.899,   8.159,   2.266, 44,  0,   1.221,   2.120,   0.589,   0.182,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:02:081, 228688968270052,    3.277,   21.000,  900,  13.593,  32.840,   9.122,   1.547,   8.326,   2.313, 44,  0,   0.778,   2.205,   0.612,   0.000,   0.084,   0.023,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:02:190, 228689274057556,    3.386,   20.000,  900,  13.770,  34.340,   9.539,   1.574,   8.497,   2.360, 43,  0,   0.697,   2.280,   0.633,   0.045,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:02:303, 228689590268073,    3.498,    7.000, 1500,  12.705,  35.770,   9.936,   0.628,   8.568,   2.380, 43,  0,   0.597,   2.348,   0.652,   0.000,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:02:410, 228689892666514,    3.606,   14.000, 1500,  14.659,  37.349,  10.375,   2.645,   8.853,   2.459, 46,  0,   0.648,   2.417,   0.672,   0.000,   0.089,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:02:516, 228690189512052,    3.712,   13.000, 1500,  14.493,  38.881,  10.800,   2.283,   9.094,   2.526, 45,  0,   0.655,   2.487,   0.691,   0.025,   0.092,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:02:631, 228690511824243,    3.826,   12.000, 2800,  14.146,  40.505,  11.251,   2.008,   9.325,   2.590, 45,  0,   0.610,   2.557,   0.710,   0.000,   0.092,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:57:02:740, 228690817224644,    3.935,   14.000, 1500,  15.586,  42.200,  11.722,   3.434,   9.698,   2.694, 44,  0,   0.647,   2.627,   0.730,   0.000,   0.092,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
