System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:32:16:755, 234626977401067,    0.106,    5.000,  800,  14.648,   1.547,   0.430,   2.396,   0.253,   0.070, 48,  0,   0.758,   0.080,   0.022,   0.045,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:16:860, 234627271262757,    0.210,    4.000,  800,  12.417,   2.846,   0.791,   0.423,   0.297,   0.083, 48,  0,   0.639,   0.147,   0.041,   0.019,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:16:971, 234627583302762,    0.321,    8.000,  800,  12.640,   4.251,   1.181,   0.644,   0.369,   0.102, 48,  0,   0.647,   0.219,   0.061,   0.004,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:17:083, 234627896661037,    0.433,   15.000,  800,  13.252,   5.730,   1.592,   1.047,   0.486,   0.135, 48,  0,   0.719,   0.299,   0.083,   0.049,   0.013,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:17:190, 234628197047370,    0.540,    8.000,  800,  12.647,   7.083,   1.967,   0.581,   0.548,   0.152, 48,  0,   0.660,   0.370,   0.103,   0.011,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:17:302, 234628511424474,    0.652,    6.000,  800,  12.566,   8.489,   2.358,   0.505,   0.604,   0.168, 48,  0,   0.648,   0.442,   0.123,   0.019,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:17:409, 234628814137691,    0.760,   18.000, 2300,  13.564,   9.952,   2.764,   1.468,   0.763,   0.212, 48,  0,   0.615,   0.509,   0.141,   0.000,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:17:584, 234629306799309,    0.935,   18.000,  900,  13.390,  12.301,   3.417,   1.341,   0.998,   0.277, 48,  0,   0.644,   0.622,   0.173,   0.024,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:17:630, 234629433422082,    0.980,    7.000, 1500,  13.254,  12.899,   3.583,   1.228,   1.053,   0.293, 48,  0,   0.707,   0.653,   0.181,   0.011,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:17:740, 234629741664639,    1.090,    9.000, 1300,  12.938,  14.319,   3.977,   0.871,   1.149,   0.319, 48,  0,   0.666,   0.727,   0.202,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:17:844, 234630034328092,    1.194,    6.000,  800,  12.642,  15.636,   4.343,   0.604,   1.212,   0.337, 48,  0,   0.639,   0.793,   0.220,   0.050,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:17:953, 234630339146194,    1.303,   26.000, 1500,  13.692,  17.123,   4.756,   1.525,   1.377,   0.383, 49,  0,   0.743,   0.874,   0.243,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:18:063, 234630648201568,    1.413,    8.000, 1500,  13.410,  18.599,   5.166,   1.350,   1.526,   0.424, 48,  0,   0.670,   0.948,   0.263,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:18:177, 234630970469965,    1.528,   16.000,  800,  12.807,  20.068,   5.575,   0.824,   1.621,   0.450, 48,  0,   0.641,   1.021,   0.284,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:18:287, 234631278157025,    1.637,   36.000,  900,  14.222,  21.627,   6.007,   2.039,   1.844,   0.512, 49,  0,   0.864,   1.116,   0.310,   0.093,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:18:393, 234631577368191,    1.744,   12.000, 1500,  14.713,  23.195,   6.443,   2.482,   2.108,   0.586, 48,  0,   0.776,   1.198,   0.333,   0.035,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:18:501, 234631879096265,    1.851,    3.000,  800,  12.395,  24.526,   6.813,   0.471,   2.159,   0.600, 47,  0,   0.590,   1.262,   0.350,   0.000,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:18:610, 234632185662824,    1.960,   15.000,  900,  13.248,  25.973,   7.215,   1.064,   2.275,   0.632, 48,  0,   0.653,   1.333,   0.370,   0.073,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:18:720, 234632494796118,    2.070,   19.000,  800,  13.189,  27.425,   7.618,   1.127,   2.399,   0.666, 48,  0,   0.685,   1.409,   0.391,   0.000,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:18:828, 234632798417149,    2.179,   30.000,  900,  13.936,  28.932,   8.037,   1.765,   2.590,   0.719, 49,  0,   0.807,   1.496,   0.415,   0.029,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:18:937, 234633103058973,    2.287,   26.000,  900,  13.876,  30.437,   8.455,   1.814,   2.787,   0.774, 49,  0,   0.678,   1.569,   0.436,   0.000,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:19:050, 234633420533202,    2.400,    2.000, 1500,  15.246,  32.161,   8.934,   3.162,   3.144,   0.873, 48,  0,   0.580,   1.635,   0.454,   0.000,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:32:19:159, 234633726004123,    2.509,    1.000,  800,  12.013,  33.468,   9.297,   0.167,   3.163,   0.878, 47,  0,   0.543,   1.694,   0.471,   0.000,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
