System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:49:11:094, 217257629508456,    0.097,    8.000,  800,   3.161,   0.308,   0.086,   1.306,   0.127,   0.035, 43,  0,   0.745,   0.073,   0.020,   0.023,   0.002,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:11:208, 217257948299183,    0.211,    9.000,  800,   2.560,   0.599,   0.166,   0.721,   0.209,   0.058, 42,  0,   0.709,   0.153,   0.043,   0.041,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:11:318, 217258259075394,    0.322,    7.000,  800,   2.366,   0.861,   0.239,   0.601,   0.276,   0.077, 42,  0,   0.628,   0.222,   0.062,   0.006,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:11:426, 217258561799798,    0.429,    3.000,  800,   1.966,   1.073,   0.298,   0.301,   0.308,   0.086, 42,  0,   0.592,   0.286,   0.080,   0.000,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:11:533, 217258862443741,    0.537,    6.000,  800,   2.199,   1.308,   0.363,   0.488,   0.360,   0.100, 42,  0,   0.613,   0.352,   0.098,   0.005,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:11:643, 217259170249875,    0.646,   23.000,  800,   3.189,   1.658,   0.460,   1.306,   0.504,   0.140, 42,  0,   0.757,   0.435,   0.121,   0.056,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:11:749, 217259469510332,    0.753,   16.000,  800,   3.017,   1.979,   0.550,   1.103,   0.621,   0.173, 42,  0,   0.691,   0.509,   0.141,   0.062,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:11:863, 217259788785145,    0.866,    6.000,  800,   2.250,   2.235,   0.621,   0.505,   0.678,   0.188, 42,  0,   0.619,   0.579,   0.161,   0.005,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:11:969, 217260086453137,    0.972,   15.000,  800,   2.856,   2.538,   0.705,   1.068,   0.792,   0.220, 42,  0,   0.659,   0.649,   0.180,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:12:084, 217260408468230,    1.087,   13.000,  800,   2.677,   2.845,   0.790,   0.870,   0.891,   0.248, 42,  0,   0.673,   0.726,   0.202,   0.000,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:12:190, 217260706433239,    1.193,   13.000,  800,   2.756,   3.137,   0.871,   0.897,   0.987,   0.274, 42,  0,   0.744,   0.805,   0.224,   0.016,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:12:298, 217261008646975,    1.301,    7.000,  800,   2.322,   3.387,   0.941,   0.583,   1.049,   0.291, 42,  0,   0.607,   0.870,   0.242,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:12:410, 217261323273833,    1.413,    3.000,  800,   1.994,   3.610,   1.003,   0.328,   1.086,   0.302, 42,  0,   0.592,   0.936,   0.260,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:12:516, 217261622957798,    1.520,    7.000,  800,   2.194,   3.845,   1.068,   0.485,   1.138,   0.316, 42,  0,   0.604,   1.001,   0.278,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:12:628, 217261936891456,    1.631,   11.000,  800,   2.577,   4.133,   1.148,   0.815,   1.229,   0.341, 42,  0,   0.634,   1.072,   0.298,   0.000,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:12:737, 217262241030019,    1.740,   14.000,  900,   2.563,   4.410,   1.225,   0.770,   1.313,   0.365, 42,  0,   0.618,   1.139,   0.316,   0.032,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:12:848, 217262555133681,    1.852,    3.000,  800,   2.026,   4.637,   1.288,   0.315,   1.348,   0.374, 43,  0,   0.614,   1.207,   0.335,   0.000,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:12:972, 217262904187553,    1.976,   18.000,  800,   2.879,   4.995,   1.387,   1.071,   1.481,   0.411, 43,  0,   0.686,   1.293,   0.359,   0.034,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:063, 217263158845311,    2.067,   44.000,  800,   4.399,   5.394,   1.498,   2.344,   1.693,   0.470, 43,  0,   0.935,   1.377,   0.383,   0.092,   0.039,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:175, 217263471840838,    2.178,   17.000,  800,   7.986,   6.284,   1.746,   3.336,   2.065,   0.574, 44,  0,   0.894,   1.477,   0.410,   0.075,   0.047,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:282, 217263771963746,    2.285,   10.000,  800,   5.414,   6.862,   1.906,   0.839,   2.155,   0.599, 43,  0,   0.648,   1.546,   0.430,   0.008,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:391, 217264078278531,    2.394,   13.000, 1500,   9.981,   7.951,   2.209,   0.834,   2.246,   0.624, 43,  0,   0.542,   1.605,   0.446,   0.000,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:764, 217265126630864,    2.767,   13.000, 3500,  19.917,  15.387,   4.274,   7.818,   5.165,   1.435, 54,  0,   0.568,   1.817,   0.505,   0.009,   0.051,   0.014,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
20:49:13:920, 217265562587981,    2.923,   36.000, 2800,  24.250,  19.152,   5.320,  11.994,   7.027,   1.952, 48,  0,   0.617,   1.913,   0.531,   0.023,   0.055,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
