System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:12:20:410, 231267637604319,    0.102,    4.000,  800,   3.478,   0.356,   0.099,   1.548,   0.158,   0.044, 47,  0,   0.687,   0.070,   0.020,   0.066,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:20:520, 231267946569326,    0.212,    7.000,  900,   2.384,   0.618,   0.172,   0.613,   0.226,   0.063, 48,  0,   0.629,   0.139,   0.039,   0.012,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:20:629, 231268252237018,    0.321,   12.000,  800,   2.660,   0.908,   0.252,   0.867,   0.320,   0.089, 47,  0,   0.634,   0.208,   0.058,   0.004,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:20:736, 231268555185031,    0.429,    4.000,  800,   2.082,   1.132,   0.315,   0.418,   0.365,   0.101, 47,  0,   0.584,   0.271,   0.075,   0.000,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:20:847, 231268865747792,    0.540,   15.000,  800,   2.929,   1.456,   0.405,   1.034,   0.480,   0.133, 47,  0,   0.701,   0.349,   0.097,   0.043,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:20:958, 231269176876025,    0.650,   13.000,  800,   2.736,   1.759,   0.489,   0.919,   0.582,   0.162, 47,  0,   0.666,   0.423,   0.117,   0.017,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:21:065, 231269478040391,    0.758,    7.000,  800,   2.334,   2.010,   0.558,   0.557,   0.641,   0.178, 47,  0,   0.661,   0.494,   0.137,   0.019,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:21:177, 231269792057481,    0.870,    6.000,  800,   2.222,   2.258,   0.627,   0.500,   0.697,   0.194, 47,  0,   0.618,   0.563,   0.156,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:21:347, 231270270438484,    1.040,   23.000, 1300,   3.277,   2.816,   0.782,   1.403,   0.936,   0.260, 48,  0,   0.719,   0.685,   0.190,   0.033,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:21:391, 231270391845204,    1.083,   11.000,  800,   2.957,   2.944,   0.818,   1.070,   0.983,   0.273, 47,  0,   0.731,   0.717,   0.199,   0.017,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:21:504, 231270710079322,    1.196,   10.000,  800,   2.447,   3.222,   0.895,   0.694,   1.061,   0.295, 47,  0,   0.639,   0.789,   0.219,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:21:610, 231271007044957,    1.302,    8.000,  800,   2.407,   3.476,   0.966,   0.671,   1.132,   0.315, 47,  0,   0.613,   0.854,   0.237,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:21:719, 231271312268979,    1.411,    3.000,  800,   1.987,   3.692,   1.026,   0.328,   1.168,   0.324, 47,  0,   0.583,   0.918,   0.255,   0.000,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:21:827, 231271617948241,    1.520,   29.000,  800,   3.721,   4.097,   1.138,   1.717,   1.355,   0.376, 47,  0,   0.832,   1.008,   0.280,   0.129,   0.038,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:21:944, 231271945360723,    1.636,   14.000, 1500,   7.369,   4.956,   1.377,   3.137,   1.721,   0.478, 49,  0,   0.781,   1.099,   0.305,   0.034,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:22:048, 231272237919400,    1.741,    5.000,  800,   5.312,   5.510,   1.531,   0.829,   1.807,   0.502, 48,  0,   0.639,   1.166,   0.324,   0.000,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:22:162, 231272556611472,    1.854,   15.000, 1500,   9.072,   6.540,   1.817,   0.720,   1.889,   0.525, 48,  0,   0.550,   1.228,   0.341,   0.000,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:22:542, 231273625956093,    2.235,   14.000, 3500,  21.224,  14.622,   4.062,   9.059,   5.338,   1.483, 61,  0,   0.679,   1.487,   0.413,   0.029,   0.052,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:22:703, 231274077816577,    2.396,   31.000, 1500,  24.638,  18.587,   5.163,  12.405,   7.335,   2.037, 52,  0,   0.706,   1.600,   0.445,   0.035,   0.058,   0.016,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:22:706, 231274084221459,    2.398,   10.000, 1500,  14.637,  18.620,   5.172,   3.880,   7.343,   2.040, 52,  0,   0.830,   1.602,   0.445,   0.749,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:22:813, 231274384836754,    2.505,    4.000,  900,  12.386,  19.946,   5.541,   0.420,   7.388,   2.052, 49,  0,   0.609,   1.668,   0.463,   0.000,   0.060,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:22:927, 231274705461217,    2.619,    4.000,  900,  12.472,  21.371,   5.936,   0.394,   7.433,   2.065, 48,  0,   0.596,   1.736,   0.482,   0.016,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:23:033, 231275003789556,    2.726,    5.000,  900,  12.407,  22.689,   6.302,   0.457,   7.482,   2.078, 47,  0,   0.593,   1.799,   0.500,   0.000,   0.062,   0.017,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:23:143, 231275312598948,    2.836,    5.000,  900,  12.360,  24.048,   6.680,   0.405,   7.526,   2.091, 48,  0,   0.620,   1.867,   0.519,   0.021,   0.064,   0.018,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:23:255, 231275627682369,    2.948,    8.000,  800,  12.745,  25.478,   7.077,   0.642,   7.599,   2.111, 47,  0,   0.663,   1.941,   0.539,   0.061,   0.071,   0.020,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:23:360, 231275921787411,    3.052,   20.000, 1400,  13.342,  26.875,   7.465,   1.207,   7.725,   2.146, 48,  0,   0.709,   2.016,   0.560,   0.063,   0.077,   0.021,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:23:471, 231276231910173,    3.163,    2.000,  800,  12.281,  28.232,   7.842,   0.374,   7.766,   2.157, 47,  0,   0.620,   2.084,   0.579,   0.014,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:23:578, 231276534595878,    3.271,    4.000,  900,  12.354,  29.563,   8.212,   0.375,   7.807,   2.169, 47,  0,   0.548,   2.143,   0.595,   0.000,   0.079,   0.022,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:23:687, 231276839663326,    3.379,    9.000, 1500,  15.257,  31.221,   8.673,   3.172,   8.151,   2.264, 48,  0,   0.786,   2.228,   0.619,   0.065,   0.086,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:23:799, 231277154481192,    3.491,   15.000,  800,  12.824,  32.659,   9.072,   0.810,   8.242,   2.289, 48,  0,   0.703,   2.307,   0.641,   0.007,   0.087,   0.024,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:23:907, 231277456739439,    3.599,   29.000, 2500,  15.633,  34.342,   9.539,   3.562,   8.626,   2.396, 55,  0,   0.777,   2.391,   0.664,   0.030,   0.090,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:24:020, 231277773782933,    3.712,    5.000,  800,  13.653,  35.883,   9.968,   1.556,   8.801,   2.445, 47,  0,   0.642,   2.463,   0.684,   0.009,   0.091,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:24:127, 231278073723883,    3.819,    2.000,  900,  12.073,  37.173,  10.326,   0.200,   8.823,   2.451, 47,  0,   0.562,   2.523,   0.701,   0.000,   0.091,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:24:239, 231278390444880,    3.932,    4.000,  800,  12.500,  38.583,  10.717,   0.455,   8.874,   2.465, 47,  0,   0.592,   2.590,   0.719,   0.008,   0.092,   0.025,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:24:348, 231278696597094,    4.041,   14.000, 1500,  12.833,  39.982,  11.106,   0.799,   8.961,   2.489, 47,  0,   0.581,   2.653,   0.737,   0.031,   0.095,   0.026,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:12:24:459, 231279007920428,    4.152,   11.000,  900,  13.514,  41.480,  11.522,   1.350,   9.111,   2.531, 48,  0,   0.781,   2.740,   0.761,   0.055,   0.101,   0.028,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
