System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:31:13:174, 234448441098150,    0.106,    4.000, 3600,  10.491,   1.116,   0.310,   6.302,   0.670,   0.186, 55,  0,   0.731,   0.078,   0.022,   2.237,   0.238,   0.066,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:13:283, 234448748132042,    0.216,    3.000, 3600,   9.180,   2.120,   0.589,   5.230,   1.242,   0.345, 55,  0,   0.612,   0.145,   0.040,   2.060,   0.463,   0.129,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:13:390, 234449048165444,    0.323,    0.000, 3800,   7.800,   2.953,   0.820,   3.921,   1.661,   0.461, 54,  0,   0.546,   0.203,   0.056,   2.006,   0.678,   0.188,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:13:515, 234449400279639,    0.448,   20.000, 3500,  12.355,   4.502,   1.251,   8.419,   2.717,   0.755, 64,  0,   0.679,   0.288,   0.080,   2.108,   0.942,   0.262,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:13:609, 234449663041056,    0.542,    2.000, 3600,   9.157,   5.359,   1.489,   5.150,   3.199,   0.889, 55,  0,   0.611,   0.345,   0.096,   2.056,   1.134,   0.315,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:13:721, 234449977570197,    0.654,    1.000, 3600,   7.844,   6.238,   1.733,   3.966,   3.643,   1.012, 55,  0,   0.548,   0.407,   0.113,   2.025,   1.361,   0.378,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:13:828, 234450276012630,    0.760,    1.000, 3500,   8.692,   7.162,   1.989,   4.872,   4.161,   1.156, 57,  0,   0.545,   0.465,   0.129,   1.998,   1.573,   0.437,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:13:941, 234450595325723,    0.874,    2.000, 3600,   9.019,   8.187,   2.274,   5.135,   4.745,   1.318, 55,  0,   0.563,   0.529,   0.147,   2.003,   1.801,   0.500,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:14:052, 234450905467074,    0.984,    3.000, 3500,  10.093,   9.302,   2.584,   6.286,   5.439,   1.511, 60,  0,   0.601,   0.595,   0.165,   2.012,   2.023,   0.562,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:14:156, 234451197563097,    1.088,    5.000, 3600,  11.949,  10.545,   2.929,   7.966,   6.268,   1.741, 55,  0,   0.682,   0.666,   0.185,   2.051,   2.237,   0.621,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:14:272, 234451523040878,    1.204,    1.000, 3600,   7.965,  11.468,   3.186,   4.130,   6.746,   1.874, 55,  0,   0.527,   0.727,   0.202,   2.005,   2.469,   0.686,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:14:377, 234451819345248,    1.309,    1.000, 3600,   8.604,  12.376,   3.438,   4.769,   7.249,   2.014, 54,  0,   0.517,   0.782,   0.217,   2.002,   2.680,   0.745,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:14:501, 234452168940686,    1.434,   13.000, 3600,  10.118,  13.636,   3.788,   6.246,   8.027,   2.230, 61,  0,   0.555,   0.851,   0.236,   2.034,   2.934,   0.815,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:14:597, 234452436623380,    1.529,    1.000, 3800,   7.983,  14.397,   3.999,   4.079,   8.416,   2.338, 55,  0,   0.548,   0.903,   0.251,   2.021,   3.126,   0.868,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:14:703, 234452734048942,    1.635,    0.000, 3500,   7.751,  15.218,   4.227,   3.910,   8.830,   2.453, 55,  0,   0.511,   0.957,   0.266,   2.005,   3.339,   0.927,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:14:819, 234453059671478,    1.751,    1.000, 3600,   8.267,  16.176,   4.493,   4.396,   9.340,   2.594, 54,  0,   0.536,   1.019,   0.283,   2.010,   3.572,   0.992,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:14:926, 234453359275388,    1.858,    1.000, 3400,   7.663,  16.994,   4.721,   3.847,   9.750,   2.708, 54,  0,   0.550,   1.078,   0.299,   2.008,   3.786,   1.052,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:15:031, 234453654462201,    1.963,    1.000, 3600,   8.010,  17.836,   4.954,   4.086,  10.180,   2.828, 55,  0,   0.572,   1.138,   0.316,   2.008,   3.997,   1.110,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:15:146, 234453976974143,    2.078,    2.000, 3600,   9.086,  18.880,   5.244,   5.161,  10.773,   2.992, 54,  0,   0.620,   1.209,   0.336,   2.051,   4.233,   1.176,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:15:252, 234454276351160,    2.184,    0.000, 3600,   7.224,  19.650,   5.458,   3.407,  11.136,   3.093, 54,  0,   0.534,   1.266,   0.352,   2.011,   4.447,   1.235,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:15:360, 234454579009053,    2.292,    0.000, 3500,   7.012,  20.406,   5.668,   3.150,  11.475,   3.188, 54,  0,   0.522,   1.322,   0.367,   2.006,   4.663,   1.295,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
22:31:15:471, 234454890123017,    2.403,    1.000, 3800,   7.850,  21.275,   5.910,   3.974,  11.916,   3.310, 54,  0,   0.540,   1.382,   0.384,   2.012,   4.886,   1.357,  45.000,  60.000,   0.000,   0.000,   0.000, 1100,   0.000
