System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:35:11:062, 235116431830966,    0.105,    7.000,  800,  14.241,   1.490,   0.414,   1.985,   0.208,   0.058, 46,  0,   0.687,   0.072,   0.020,   0.040,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:11:173, 235116741478555,    0.215,    5.000,  800,  12.509,   2.870,   0.797,   0.519,   0.265,   0.074, 46,  0,   0.648,   0.143,   0.040,   0.007,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:11:287, 235117064303385,    0.330,   12.000,  800,  13.088,   4.374,   1.215,   0.907,   0.369,   0.103, 46,  0,   0.740,   0.228,   0.063,   0.032,   0.009,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:11:394, 235117362514176,    0.436,    3.000,  800,  12.283,   5.679,   1.577,   0.333,   0.405,   0.112, 46,  0,   0.592,   0.291,   0.081,   0.000,   0.009,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:11:500, 235117660645938,    0.542,   12.000,  800,  12.847,   7.043,   1.956,   0.819,   0.492,   0.137, 46,  0,   0.706,   0.366,   0.102,   0.049,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:11:611, 235117973528226,    0.654,   23.000,  800,  13.725,   8.572,   2.381,   1.465,   0.655,   0.182, 45,  0,   0.723,   0.447,   0.124,   0.049,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:11:722, 235118285581754,    0.765,    3.000,  800,  12.363,   9.946,   2.763,   0.337,   0.692,   0.192, 46,  0,   0.634,   0.517,   0.144,   0.004,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:11:830, 235118588053793,    0.873,    6.000,  800,  12.509,  11.293,   3.137,   0.520,   0.748,   0.208, 45,  0,   0.611,   0.583,   0.162,   0.000,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:11:939, 235118893518406,    0.981,   17.000,  800,  13.094,  12.718,   3.533,   1.111,   0.869,   0.241, 45,  0,   0.666,   0.655,   0.182,   0.000,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:12:052, 235119209907257,    1.094,   17.000,  800,  13.236,  14.209,   3.947,   1.030,   0.985,   0.274, 46,  0,   0.703,   0.735,   0.204,   0.000,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:12:159, 235119510660029,    1.201,   11.000,  800,  12.781,  15.578,   4.327,   0.805,   1.071,   0.298, 46,  0,   0.650,   0.804,   0.223,   0.000,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:12:265, 235119810168927,    1.308,   18.000,  800,  13.356,  17.003,   4.723,   1.189,   1.198,   0.333, 46,  0,   0.745,   0.884,   0.245,   0.010,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:12:378, 235120127473216,    1.421,   10.000,  800,  12.785,  18.447,   5.124,   0.695,   1.277,   0.355, 45,  0,   0.661,   0.958,   0.266,   0.008,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:12:490, 235120442085526,    1.533,    4.000,  800,  12.317,  19.827,   5.508,   0.357,   1.317,   0.366, 45,  0,   0.598,   1.025,   0.285,   0.000,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:12:597, 235120742549603,    1.640,   20.000, 1500,  13.414,  21.263,   5.906,   1.280,   1.454,   0.404, 46,  0,   0.663,   1.096,   0.305,   0.054,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:35:12:704, 235121042897528,    1.747,   24.000,  900,  15.057,  22.873,   6.354,   2.788,   1.752,   0.487, 46,  0,   0.898,   1.192,   0.331,   0.121,   0.040,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
