System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
22:33:31:457, 234836739661302,    0.112,    8.000,  800,  15.392,   1.721,   0.478,   3.297,   0.369,   0.102, 46,  0,   0.722,   0.081,   0.022,   0.020,   0.002,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:31:584, 234837099747356,    0.240,   16.000,  900,  13.296,   3.426,   0.952,   1.128,   0.513,   0.143, 47,  0,   0.642,   0.163,   0.045,   0.043,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:31:677, 234837357514002,    0.332,    6.000,  800,  12.545,   4.578,   1.272,   0.517,   0.561,   0.156, 46,  0,   0.642,   0.222,   0.062,   0.016,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:31:786, 234837662850697,    0.441,    8.000,  800,  12.586,   5.946,   1.652,   0.634,   0.630,   0.175, 46,  0,   0.653,   0.293,   0.081,   0.000,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:31:891, 234837957881282,    0.546,   19.000,  800,  13.376,   7.352,   2.042,   1.220,   0.758,   0.211, 47,  0,   0.753,   0.372,   0.103,   0.009,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:32:006, 234838280938757,    0.661,    8.000,  800,  12.678,   8.810,   2.447,   0.632,   0.831,   0.231, 46,  0,   0.673,   0.449,   0.125,   0.013,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:32:114, 234838585946614,    0.769,    7.000,  800,  12.690,  10.189,   2.830,   0.582,   0.894,   0.248, 46,  0,   0.656,   0.521,   0.145,   0.004,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:32:222, 234838888588198,    0.877,   13.000,  800,  13.043,  11.594,   3.221,   0.969,   0.998,   0.277, 47,  0,   0.638,   0.590,   0.164,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:32:330, 234839191357551,    0.985,   14.000,  800,  12.888,  12.984,   3.607,   0.897,   1.095,   0.304, 46,  0,   0.661,   0.661,   0.184,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:32:441, 234839503289125,    1.096,    4.000,  800,  12.408,  14.362,   3.990,   0.368,   1.136,   0.315, 47,  0,   0.603,   0.728,   0.202,   0.000,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:32:587, 234839916088328,    1.243,   24.000,  900,  13.338,  16.323,   4.534,   1.225,   1.316,   0.366, 46,  0,   0.644,   0.823,   0.228,   0.026,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:32:661, 234840121163320,    1.316,   13.000,  800,  12.977,  17.271,   4.797,   0.882,   1.380,   0.383, 46,  0,   0.689,   0.873,   0.242,   0.008,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:32:769, 234840423534994,    1.424,   15.000,  900,  12.955,  18.666,   5.185,   0.978,   1.486,   0.413, 47,  0,   0.629,   0.941,   0.261,   0.000,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:32:880, 234840736534836,    1.535,   17.000, 2200,  14.530,  20.286,   5.635,   2.323,   1.745,   0.485, 47,  0,   0.746,   1.024,   0.284,   0.013,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:33:008, 234841096968283,    1.664,   12.000,  800,  12.664,  21.911,   6.086,   0.725,   1.838,   0.510, 47,  0,   0.645,   1.106,   0.307,   0.000,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:33:093, 234841334741476,    1.748,   53.000,  900,  14.785,  23.163,   6.434,   2.363,   2.038,   0.566, 46,  0,   0.984,   1.190,   0.330,   0.139,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:33:204, 234841644623980,    1.859,    8.000,  800,  14.296,  24.741,   6.872,   2.172,   2.277,   0.633, 46,  0,   0.718,   1.269,   0.353,   0.056,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:33:312, 234841949993722,    1.967,    5.000,  800,  12.442,  26.094,   7.248,   0.460,   2.327,   0.646, 46,  0,   0.611,   1.335,   0.371,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:33:425, 234842267290879,    2.080,    3.000,  800,  12.275,  27.481,   7.634,   0.328,   2.365,   0.657, 46,  0,   0.590,   1.402,   0.389,   0.000,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:33:589, 234842726454627,    2.244,   20.000,  900,  13.022,  29.610,   8.225,   0.988,   2.526,   0.702, 47,  0,   0.641,   1.507,   0.419,   0.029,   0.041,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:33:646, 234842886234766,    2.301,    2.000,  800,  12.398,  30.315,   8.421,   0.211,   2.538,   0.705, 46,  0,   0.629,   1.543,   0.429,   0.023,   0.042,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
22:33:33:754, 234843188999215,    2.409,   24.000, 2800,  17.031,  32.152,   8.931,   5.013,   3.079,   0.855, 55,  0,   0.883,   1.638,   0.455,   0.059,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
