TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750833012681,25.8,0.8,10.0,0.0,15.0,0.1
63750833013792,25.7,0.7,10.0,0.0,15.0,0.0
63750833014905,25.5,0.5,10.0,0.0,15.0,0.0
63750833016005,26.1,1.0,10.0,0.0,15.0,0.5
63750833017123,25.9,0.9,10.0,0.0,15.0,0.1
63750833018199,31.4,6.4,10.0,0.0,15.0,0.0
63750833019301,26.3,1.3,10.0,0.0,15.0,0.1
63750833020414,25.7,0.7,10.0,0.0,15.0,0.0
63750833021512,29.4,4.4,10.0,0.0,15.0,2.5
63750833022580,28.2,3.2,10.0,0.0,15.0,2.5
63750833023672,27.9,2.9,10.0,0.0,15.0,2.3
63750833024788,26.2,1.2,10.0,0.0,15.0,0.8
63750833025889,26.1,1.1,10.0,0.0,15.0,0.9
63750833027010,28.0,3.0,10.0,0.0,15.0,2.0
63750833028143,25.7,0.7,10.0,0.0,15.0,0.0
63750833029308,25.7,0.7,10.0,0.0,15.0,0.0
63750833030430,25.3,0.2,10.0,0.0,15.0,0.0
63750833031545,26.1,1.1,10.0,0.0,15.0,0.0
