TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750830978306,25.3,0.3,10.0,0.0,15.0,0.0
63750830979378,25.6,0.6,10.0,0.0,15.0,0.0
63750830980468,25.3,0.3,10.0,0.0,15.0,0.0
63750830981578,27.0,2.0,10.0,0.0,15.0,0.9
63750830982640,26.7,1.7,10.0,0.0,15.0,0.9
63750830983729,26.0,1.0,10.0,0.0,15.0,0.3
63750830984796,25.7,0.7,10.0,0.0,15.0,0.2
63750830985876,28.4,3.4,10.0,0.0,15.0,1.0
63750830986936,26.8,1.8,10.0,0.0,15.0,0.9
63750830988029,25.4,0.4,10.0,0.0,15.0,0.1
63750830989120,25.2,0.2,10.0,0.0,15.0,0.0
63750830990210,26.9,1.9,10.0,0.0,15.0,0.0
63750830991299,25.4,0.4,10.0,0.0,15.0,0.0
63750830992405,25.4,0.4,10.0,0.0,15.0,0.0
63750830993474,25.1,0.1,10.0,0.0,15.0,0.0
