TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750833100731,25.4,0.4,10.0,0.0,15.0,0.0
63750833101859,25.4,0.4,10.0,0.0,15.0,0.0
63750833102954,25.6,0.6,10.0,0.0,15.0,0.1
63750833104076,27.1,2.1,10.0,0.0,15.0,0.0
63750833105186,25.3,0.3,10.0,0.0,15.0,0.1
63750833106303,26.1,1.1,10.0,0.0,15.0,0.5
63750833107411,26.2,1.1,10.0,0.0,15.0,0.6
63750833108527,25.6,0.6,10.0,0.0,15.0,0.3
63750833109615,25.6,0.6,10.0,0.0,15.0,0.3
63750833110717,25.6,0.6,10.0,0.0,15.0,0.4
63750833111836,25.3,0.3,10.0,0.0,15.0,0.0
63750833112926,25.8,0.8,10.0,0.0,15.0,0.0
63750833114046,25.9,0.9,10.0,0.0,15.0,0.0
63750833115130,27.9,2.9,10.0,0.0,15.0,0.0
63750833116230,26.1,1.1,10.0,0.0,15.0,0.0
63750833117331,25.2,0.2,10.0,0.0,15.0,0.0
