TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750833235128,25.7,0.7,10.0,0.0,15.0,0.0
63750833236261,25.9,0.8,10.0,0.0,15.0,0.0
63750833237384,26.5,1.5,10.0,0.0,15.0,0.2
63750833238512,26.0,1.0,10.0,0.0,15.0,0.1
63750833239627,25.6,0.6,10.0,0.0,15.0,0.1
63750833240743,25.7,0.7,10.0,0.0,15.0,0.0
63750833241817,27.6,2.6,10.0,0.0,15.0,0.0
63750833242920,25.5,0.5,10.0,0.0,15.0,0.0
63750833244025,25.3,0.3,10.0,0.0,15.0,0.1
63750833245094,25.5,0.5,10.0,0.0,15.0,0.2
63750833246166,25.3,0.3,10.0,0.0,15.0,0.1
63750833247272,25.5,0.5,10.0,0.0,15.0,0.2
63750833248380,25.5,0.5,10.0,0.0,15.0,0.2
63750833249488,26.1,1.1,10.0,0.0,15.0,0.5
63750833250610,25.3,0.3,10.0,0.0,15.0,0.0
63750833251741,25.4,0.4,10.0,0.0,15.0,0.0
63750833252851,25.4,0.4,10.0,0.0,15.0,0.0
