TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750829396969,29.1,4.1,10.0,0.0,15.0,0.4
63750829398032,25.8,0.7,10.0,0.0,15.0,0.0
63750829399144,29.5,4.4,10.0,0.1,15.0,0.2
63750829400265,25.6,0.5,10.0,0.1,15.0,0.1
63750829401380,26.0,1.0,10.0,0.0,15.0,0.0
63750829402499,25.9,0.9,10.0,0.1,15.0,0.0
63750829403607,25.4,0.3,10.0,0.1,15.0,0.0
63750829404708,25.5,0.4,10.0,0.1,15.0,0.0
63750829405832,27.1,2.0,10.0,0.0,15.0,0.0
63750829406952,25.2,0.2,10.0,0.0,15.0,0.0
63750829408083,25.6,0.6,10.0,0.0,15.0,0.1
63750829409198,25.4,0.4,10.0,0.0,15.0,0.0
63750829410310,25.4,0.3,10.0,0.0,15.0,0.0
63750829411419,25.4,0.3,10.0,0.0,15.0,0.1
63750829412517,25.4,0.4,10.0,0.0,15.0,0.0
63750829413638,25.5,0.5,10.0,0.0,15.0,0.1
63750829414766,25.4,0.4,10.0,0.0,15.0,0.1
63750829415886,25.4,0.4,10.0,0.0,15.0,0.0
63750829416961,25.8,0.8,10.0,0.0,15.0,0.1
63750829418068,27.1,2.1,10.0,0.0,15.0,0.3
63750829419176,25.5,0.5,10.0,0.0,15.0,0.1
63750829420306,25.3,0.3,10.0,0.0,15.0,0.0
63750829421422,26.2,1.2,10.0,0.0,15.0,0.5
63750829422543,26.1,1.1,10.0,0.0,15.0,0.3
63750829423662,25.4,0.3,10.0,0.0,15.0,0.1
63750829424787,25.9,0.9,10.0,0.0,15.0,0.2
63750829425904,25.9,0.9,10.0,0.0,15.0,0.2
63750829427016,25.2,0.2,10.0,0.0,15.0,0.0
63750829428129,25.5,0.5,10.0,0.0,15.0,0.0
63750829429242,25.3,0.3,10.0,0.0,15.0,0.0
63750829430350,25.4,0.4,10.0,0.0,15.0,0.0
