TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750831613474,27.1,2.1,10.0,0.0,15.0,0.3
63750831614569,27.2,2.2,10.0,0.0,15.0,0.2
63750831615655,25.3,0.3,10.0,0.0,15.0,0.0
63750831616765,25.4,0.4,10.0,0.0,15.0,0.0
63750831617852,28.6,3.6,10.0,0.0,15.0,3.0
63750831618916,30.0,5.0,10.0,0.0,15.0,3.8
63750831619995,29.1,4.1,10.0,0.0,15.0,3.6
63750831621085,30.4,5.4,10.0,0.0,15.0,3.9
63750831622156,29.4,4.4,10.0,0.0,15.0,3.8
63750831623216,30.1,5.1,10.0,0.0,15.0,3.8
63750831624283,29.6,4.5,10.0,0.0,15.0,3.8
63750831625366,33.6,8.6,10.0,0.0,15.0,3.9
63750831626442,29.0,4.0,10.0,0.0,15.0,3.7
63750831627511,30.5,5.5,10.0,0.0,15.0,3.6
63750831628575,29.5,4.5,10.0,0.0,15.0,4.0
63750831629644,30.1,5.1,10.0,0.0,15.0,3.8
63750831630718,29.3,4.3,10.0,0.0,15.0,3.3
63750831631781,30.8,5.8,10.0,0.0,15.0,3.6
63750831632867,29.4,4.4,10.0,0.0,15.0,3.8
63750831633939,30.1,5.1,10.0,0.0,15.0,3.5
63750831635007,29.3,4.3,10.0,0.0,15.0,3.8
63750831636101,25.8,0.8,10.0,0.0,15.0,0.5
63750831637200,25.2,0.2,10.0,0.0,15.0,0.0
63750831638288,25.4,0.4,10.0,0.0,15.0,0.0
63750831639388,25.2,0.2,10.0,0.0,15.0,0.0
