TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750832316187,26.4,1.4,10.0,0.0,15.0,0.2
63750832317282,25.3,0.3,10.0,0.0,15.0,0.0
63750832318391,25.6,0.6,10.0,0.0,15.0,0.1
63750832319484,25.7,0.7,10.0,0.0,15.0,0.0
63750832320572,32.3,7.1,10.0,0.2,15.0,2.5
63750832321643,30.0,5.0,10.0,0.0,15.0,4.2
63750832322725,30.5,5.5,10.0,0.0,15.0,4.1
63750832323808,26.1,1.1,10.0,0.0,15.0,0.8
63750832324920,26.2,1.2,10.0,0.0,15.0,0.8
63750832325989,30.4,5.4,10.0,0.0,15.0,4.8
63750832327090,26.9,1.9,10.0,0.0,15.0,1.0
63750832328202,28.4,3.4,10.0,0.0,15.0,2.4
63750832329289,29.7,4.7,10.0,0.0,15.0,0.1
63750832330399,25.6,0.6,10.0,0.0,15.0,0.0
63750832331478,25.4,0.4,10.0,0.0,15.0,0.0
