TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750829024260,25.6,0.6,10.0,0.0,15.0,0.1
63750829025344,27.4,2.4,10.0,0.0,15.0,0.0
63750829026391,25.4,0.4,10.0,0.0,15.0,0.0
63750829027480,28.8,3.8,10.0,0.0,15.0,0.0
63750829028533,26.6,1.6,10.0,0.0,15.0,0.0
63750829029638,25.7,0.7,10.0,0.0,15.0,0.0
63750829030717,25.3,0.3,10.0,0.0,15.0,0.0
63750829031805,25.2,0.2,10.0,0.0,15.0,0.0
63750829032924,27.0,2.0,10.0,0.0,15.0,0.0
63750829033981,30.0,5.0,10.0,0.0,15.0,0.6
63750829035047,26.9,1.8,10.0,0.0,15.0,0.0
63750829036101,25.7,0.7,10.0,0.0,15.0,0.1
63750829037200,27.0,2.0,10.0,0.0,15.0,0.1
63750829038247,27.3,2.3,10.0,0.0,15.0,0.3
63750829039328,25.6,0.5,10.0,0.0,15.0,0.0
63750829040405,25.7,0.7,10.0,0.0,15.0,0.4
63750829041467,27.4,2.4,10.0,0.0,15.0,0.3
63750829042569,25.7,0.6,10.0,0.0,15.0,0.0
63750829043653,25.3,0.3,10.0,0.0,15.0,0.2
63750829044718,27.0,2.0,10.0,0.0,15.0,0.2
63750829045788,25.4,0.4,10.0,0.0,15.0,0.0
63750829046873,26.5,1.5,10.0,0.0,15.0,0.3
63750829047935,27.3,2.3,10.0,0.0,15.0,0.2
63750829049006,28.4,3.3,10.0,0.0,15.0,0.2
63750829050096,27.2,2.2,10.0,0.0,15.0,0.1
63750829051179,25.3,0.3,10.0,0.0,15.0,0.1
63750829052265,25.2,0.2,10.0,0.0,15.0,0.0
63750829053366,25.3,0.3,10.0,0.0,15.0,0.1
63750829054451,25.2,0.2,10.0,0.0,15.0,0.0
63750829055518,25.6,0.6,10.0,0.0,15.0,0.0
63750829056611,25.6,0.6,10.0,0.0,15.0,0.0
