TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750829171044,25.6,0.6,10.0,0.0,15.0,0.1
63750829172188,25.2,0.2,10.0,0.0,15.0,0.0
63750829173301,25.2,0.2,10.0,0.0,15.0,0.0
63750829174413,25.6,0.6,10.0,0.0,15.0,0.1
63750829175525,25.3,0.3,10.0,0.0,15.0,0.0
63750829176600,25.5,0.4,10.0,0.0,15.0,0.0
63750829177667,27.0,2.0,10.0,0.0,15.0,0.0
63750829178767,26.2,1.2,10.0,0.0,15.0,0.2
63750829179899,25.6,0.6,10.0,0.0,15.0,0.4
63750829181009,25.1,0.1,10.0,0.0,15.0,0.0
63750829182075,25.4,0.4,10.0,0.0,15.0,0.2
63750829183169,28.2,3.2,10.0,0.0,15.0,2.1
63750829184258,25.2,0.2,10.0,0.0,15.0,0.0
63750829185322,25.9,0.9,10.0,0.0,15.0,0.5
63750829186436,26.2,1.2,10.0,0.0,15.0,0.7
63750829187512,25.4,0.4,10.0,0.0,15.0,0.2
63750829188608,27.5,2.5,10.0,0.0,15.0,1.9
63750829189679,25.3,0.3,10.0,0.0,15.0,0.2
63750829190785,25.5,0.5,10.0,0.0,15.0,0.4
63750829191856,26.6,1.6,10.0,0.0,15.0,0.9
63750829192929,27.6,2.6,10.0,0.0,15.0,0.7
63750829193998,26.0,0.9,10.0,0.0,15.0,0.2
63750829195100,26.5,1.5,10.0,0.0,15.0,0.8
63750829196165,25.3,0.3,10.0,0.0,15.0,0.2
63750829197269,27.6,2.6,10.0,0.0,15.0,1.7
63750829198335,27.8,2.8,10.0,0.0,15.0,2.3
63750829199441,25.3,0.3,10.0,0.0,15.0,0.1
63750829200511,25.4,0.4,10.0,0.0,15.0,0.3
63750829201613,26.1,1.1,10.0,0.0,15.0,0.5
63750829202703,27.0,2.0,10.0,0.0,15.0,0.3
63750829203801,25.7,0.7,10.0,0.0,15.0,0.5
63750829204920,25.2,0.2,10.0,0.0,15.0,0.0
63750829206028,25.2,0.2,10.0,0.0,15.0,0.0
63750829207090,25.4,0.4,10.0,0.0,15.0,0.2
63750829208197,25.5,0.5,10.0,0.0,15.0,0.3
63750829209309,25.9,0.9,10.0,0.0,15.0,0.0
63750829210412,25.9,0.9,10.0,0.0,15.0,0.0
