TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750830682211,25.3,0.3,10.0,0.0,15.0,0.0
63750830683308,26.0,1.0,10.0,0.0,15.0,0.2
63750830684392,25.4,0.4,10.0,0.0,15.0,0.0
63750830685476,25.5,0.4,10.0,0.0,15.0,0.0
63750830686553,25.8,0.8,10.0,0.0,15.0,0.2
63750830687644,25.3,0.3,10.0,0.0,15.0,0.1
63750830688733,25.5,0.5,10.0,0.0,15.0,0.2
63750830689800,27.4,2.4,10.0,0.0,15.0,1.1
63750830690872,26.5,1.5,10.0,0.0,15.0,0.4
63750830691983,26.1,1.1,10.0,0.0,15.0,0.2
63750830693056,25.4,0.4,10.0,0.0,15.0,0.2
63750830694144,25.3,0.3,10.0,0.0,15.0,0.1
63750830695248,25.1,0.1,10.0,0.0,15.0,0.0
63750830696314,25.6,0.6,10.0,0.0,15.0,0.0
63750830697392,29.2,4.2,10.0,0.0,15.0,0.2
63750830698467,25.8,0.8,10.0,0.0,15.0,0.1
