TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750830393717,27.6,2.6,10.0,0.0,15.0,0.2
63750830394789,25.9,0.8,10.0,0.0,15.0,0.0
63750830395882,25.4,0.4,10.0,0.0,15.0,0.0
63750830396967,25.2,0.2,10.0,0.0,15.0,0.0
63750830398051,25.2,0.2,10.0,0.0,15.0,0.1
63750830399155,25.3,0.3,10.0,0.0,15.0,0.2
63750830400240,25.2,0.2,10.0,0.0,15.0,0.1
63750830401345,25.3,0.3,10.0,0.0,15.0,0.2
63750830402424,27.2,2.2,10.0,0.0,15.0,0.8
63750830403530,25.4,0.3,10.0,0.0,15.0,0.2
63750830404620,25.3,0.3,10.0,0.0,15.0,0.1
63750830405688,25.2,0.2,10.0,0.0,15.0,0.1
63750830406778,25.2,0.2,10.0,0.0,15.0,0.0
63750830407881,26.0,1.0,10.0,0.0,15.0,0.1
63750830408946,28.8,3.8,10.0,0.0,15.0,0.0
63750830410040,25.3,0.3,10.0,0.0,15.0,0.0
63750830411138,25.2,0.2,10.0,0.0,15.0,0.0
