TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750831215829,25.9,0.9,10.0,0.0,15.0,0.0
63750831216923,25.6,0.6,10.0,0.0,15.0,0.0
63750831218004,25.7,0.7,10.0,0.0,15.0,0.0
63750831219117,25.3,0.3,10.0,0.0,15.0,0.1
63750831220207,25.5,0.5,10.0,0.0,15.0,0.0
63750831221308,25.5,0.5,10.0,0.0,15.0,0.1
63750831222380,28.4,3.4,10.0,0.0,15.0,0.1
63750831223478,28.7,3.7,10.0,0.0,15.0,0.5
63750831224550,28.9,3.9,10.0,0.0,15.0,1.3
63750831225656,29.5,4.5,10.0,0.0,15.0,1.2
63750831226723,25.6,0.6,10.0,0.0,15.0,0.3
63750831227838,26.9,1.9,10.0,0.0,15.0,0.9
63750831228922,28.2,3.2,10.0,0.0,15.0,0.6
63750831230001,25.3,0.3,10.0,0.0,15.0,0.0
63750831231111,25.5,0.5,10.0,0.0,15.0,0.0
63750831232190,25.4,0.4,10.0,0.0,15.0,0.0
63750831233297,25.3,0.3,10.0,0.0,15.0,0.0
63750831234392,25.5,0.5,10.0,0.0,15.0,0.0
