TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750831867248,25.8,0.8,10.0,0.0,15.0,0.1
63750831868339,28.5,3.5,10.0,0.0,15.0,0.1
63750831869469,26.3,1.3,10.0,0.0,15.0,0.0
63750831870571,25.3,0.3,10.0,0.0,15.0,0.0
63750831871684,25.2,0.2,10.0,0.0,15.0,0.0
63750831872796,25.4,0.4,10.0,0.0,15.0,0.0
63750831873859,26.1,1.1,10.0,0.0,15.0,0.8
63750831874939,28.9,3.9,10.0,0.0,15.0,2.3
63750831876038,28.8,3.8,10.0,0.0,15.0,3.0
63750831877101,29.0,3.9,10.0,0.0,15.0,2.4
63750831878200,26.0,1.0,10.0,0.0,15.0,0.8
63750831879269,29.4,4.4,10.0,0.0,15.0,3.4
63750831880361,26.0,1.0,10.0,0.0,15.0,0.5
63750831881466,30.9,5.9,10.0,0.0,15.0,1.6
63750831882570,25.2,0.2,10.0,0.0,15.0,0.0
63750831883667,25.5,0.5,10.0,0.0,15.0,0.0
63750831884770,25.3,0.3,10.0,0.0,15.0,0.0
63750831885855,26.1,1.1,10.0,0.0,15.0,0.0
63750831886936,25.3,0.3,10.0,0.0,15.0,0.0
63750831888006,26.2,1.2,10.0,0.0,15.0,0.0
