TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750830275461,25.5,0.5,10.0,0.0,15.0,0.0
63750830276551,26.2,1.2,10.0,0.0,15.0,0.0
63750830277624,25.2,0.2,10.0,0.0,15.0,0.0
63750830278705,25.4,0.4,10.0,0.0,15.0,0.0
63750830279808,25.4,0.4,10.0,0.0,15.0,0.0
63750830280880,28.5,3.5,10.0,0.0,15.0,0.0
63750830281965,26.7,1.7,10.0,0.0,15.0,0.1
63750830283039,25.4,0.4,10.0,0.0,15.0,0.1
63750830284123,25.3,0.3,10.0,0.0,15.0,0.1
63750830285217,25.7,0.7,10.0,0.0,15.0,0.2
63750830286304,25.3,0.3,10.0,0.0,15.0,0.1
63750830287389,25.3,0.3,10.0,0.0,15.0,0.0
63750830288496,25.2,0.2,10.0,0.0,15.0,0.0
63750830289592,25.3,0.3,10.0,0.0,15.0,0.1
63750830290681,25.2,0.2,10.0,0.0,15.0,0.0
63750830291781,26.0,1.0,10.0,0.0,15.0,0.2
63750830292866,25.2,0.2,10.0,0.0,15.0,0.0
63750830293939,25.5,0.5,10.0,0.0,15.0,0.1
63750830295051,25.3,0.3,10.0,0.0,15.0,0.1
63750830296120,25.3,0.3,10.0,0.0,15.0,0.1
63750830297197,28.9,3.9,10.0,0.0,15.0,0.1
63750830298286,25.3,0.3,10.0,0.0,15.0,0.0
63750830299382,26.1,1.1,10.0,0.0,15.0,0.2
63750830300470,25.8,0.8,10.0,0.0,15.0,0.2
63750830301547,25.3,0.3,10.0,0.0,15.0,0.0
63750830302646,25.6,0.5,10.0,0.0,15.0,0.2
63750830303746,25.2,0.2,10.0,0.0,15.0,0.0
63750830304837,25.4,0.4,10.0,0.0,15.0,0.0
63750830305927,25.4,0.3,10.0,0.0,15.0,0.1
63750830307023,25.7,0.7,10.0,0.0,15.0,0.0
63750830308100,26.0,1.0,10.0,0.0,15.0,0.0
63750830309192,25.3,0.3,10.0,0.0,15.0,0.1
63750830310291,25.2,0.2,10.0,0.0,15.0,0.0
63750830311384,26.8,1.8,10.0,0.0,15.0,0.1
63750830312452,27.2,2.2,10.0,0.0,15.0,0.4
63750830313542,26.1,1.1,10.0,0.0,15.0,0.0
63750830314643,25.3,0.3,10.0,0.0,15.0,0.0
63750830315733,27.1,2.1,10.0,0.0,15.0,0.5
63750830316828,25.2,0.2,10.0,0.0,15.0,0.0
63750830317890,25.7,0.7,10.0,0.0,15.0,0.2
63750830318992,25.2,0.2,10.0,0.0,15.0,0.0
63750830320070,25.4,0.3,10.0,0.0,15.0,0.0
63750830321165,26.9,1.9,10.0,0.0,15.0,0.5
63750830322266,25.3,0.3,10.0,0.0,15.0,0.0
63750830323372,25.9,0.9,10.0,0.0,15.0,0.0
63750830324437,26.8,1.8,10.0,0.0,15.0,0.5
63750830325506,26.2,1.2,10.0,0.0,15.0,0.1
63750830326598,25.2,0.2,10.0,0.0,15.0,0.0
63750830327704,25.4,0.4,10.0,0.0,15.0,0.1
63750830328768,27.9,2.9,10.0,0.0,15.0,0.1
63750830329865,27.4,2.4,10.0,0.0,15.0,0.1
63750830330964,25.2,0.2,10.0,0.0,15.0,0.0
63750830332057,25.3,0.3,10.0,0.0,15.0,0.1
63750830333153,25.3,0.3,10.0,0.0,15.0,0.0
63750830334235,25.2,0.2,10.0,0.0,15.0,0.0
63750830335318,26.6,1.6,10.0,0.0,15.0,0.5
63750830336427,26.4,1.4,10.0,0.0,15.0,0.0
63750830337494,26.1,1.1,10.0,0.0,15.0,0.1
63750830338588,25.2,0.2,10.0,0.0,15.0,0.1
63750830339665,25.5,0.5,10.0,0.0,15.0,0.0
63750830340747,25.7,0.7,10.0,0.0,15.0,0.0
63750830341836,25.3,0.3,10.0,0.0,15.0,0.0
