TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750829915268,25.2,0.2,10.0,0.0,15.0,0.0
63750829916397,25.3,0.3,10.0,0.0,15.0,0.0
63750829917492,25.4,0.4,10.0,0.0,15.0,0.0
63750829918597,25.6,0.6,10.0,0.0,15.0,0.0
63750829919690,26.7,1.7,10.0,0.0,15.0,0.1
63750829920780,26.8,1.8,10.0,0.0,15.0,0.2
63750829921871,25.2,0.2,10.0,0.0,15.0,0.0
63750829922939,25.2,0.2,10.0,0.0,15.0,0.0
63750829924040,25.4,0.4,10.0,0.0,15.0,0.0
63750829925120,25.1,0.1,10.0,0.0,15.0,0.0
63750829926214,26.2,1.2,10.0,0.0,15.0,0.0
63750829927312,25.6,0.6,10.0,0.0,15.0,0.1
63750829928402,25.7,0.7,10.0,0.0,15.0,0.0
63750829929503,28.0,3.0,10.0,0.0,15.0,0.0
63750829930597,25.1,0.1,10.0,0.0,15.0,0.0
63750829931692,25.1,0.1,10.0,0.0,15.0,0.0
63750829932796,26.3,1.3,10.0,0.0,15.0,0.7
63750829933883,27.1,2.1,10.0,0.0,15.0,1.2
63750829934963,27.9,2.9,10.0,0.0,15.0,1.9
63750829936058,27.0,2.0,10.0,0.0,15.0,0.9
63750829937152,28.3,3.3,10.0,0.0,15.0,2.1
63750829938243,26.8,1.8,10.0,0.0,15.0,1.0
63750829939329,25.3,0.3,10.0,0.0,15.0,0.1
63750829940426,25.1,0.1,10.0,0.0,15.0,0.0
63750829941534,25.3,0.3,10.0,0.0,15.0,0.0
63750829942622,25.3,0.3,10.0,0.0,15.0,0.0
63750829943723,25.3,0.3,10.0,0.0,15.0,0.0
63750829944800,25.7,0.7,10.0,0.0,15.0,0.0
63750829945907,26.3,1.3,10.0,0.0,15.0,0.1
