TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63750832585411,27.7,2.7,10.0,0.0,15.0,0.1
63750832586520,28.1,3.1,10.0,0.0,15.0,0.3
63750832587635,25.4,0.4,10.0,0.0,15.0,0.0
63750832588719,25.8,0.8,10.0,0.0,15.0,0.2
63750832589851,27.6,2.5,10.0,0.0,15.0,0.9
63750832590960,25.5,0.5,10.0,0.0,15.0,0.1
63750832592047,25.6,0.6,10.0,0.0,15.0,0.4
63750832593158,25.7,0.6,10.0,0.0,15.0,0.1
63750832594231,25.5,0.5,10.0,0.0,15.0,0.3
63750832595341,25.8,0.7,10.0,0.0,15.0,0.2
63750832596462,25.4,0.4,10.0,0.0,15.0,0.1
63750832597571,25.7,0.6,10.0,0.0,15.0,0.1
63750832598683,25.4,0.4,10.0,0.0,15.0,0.0
63750832599789,25.5,0.5,10.0,0.0,15.0,0.0
