System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
21:06:52:677, 143640731253685,    0.118,   28.000,  900,   4.223,   0.499,   0.139,   2.316,   0.274,   0.076, 40,  0,   0.870,   0.103,   0.029,   0.033,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:52:773, 143640999022055,    0.214,   12.000, 1500,   3.203,   0.805,   0.224,   1.282,   0.396,   0.110, 39,  0,   0.840,   0.183,   0.051,   0.017,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:52:888, 143641321810737,    0.329,    8.000,  900,   2.477,   1.090,   0.303,   0.724,   0.479,   0.133, 38,  0,   0.628,   0.255,   0.071,   0.003,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:52:999, 143641633698739,    0.440,    3.000,  800,   1.957,   1.307,   0.363,   0.302,   0.513,   0.142, 38,  0,   0.584,   0.320,   0.089,   0.000,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:53:104, 143641928912049,    0.545,    8.000,  900,   2.341,   1.553,   0.431,   0.587,   0.575,   0.160, 38,  0,   0.634,   0.387,   0.107,   0.020,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:53:211, 143642229181097,    0.652,   17.000,  900,   2.959,   1.870,   0.519,   1.119,   0.694,   0.193, 40,  0,   0.703,   0.462,   0.128,   0.010,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:53:322, 143642540439024,    0.763,   10.000,  900,   2.533,   2.150,   0.597,   0.752,   0.777,   0.216, 38,  0,   0.622,   0.531,   0.147,   0.004,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:53:432, 143642850668579,    0.873,    4.000,  900,   2.073,   2.379,   0.661,   0.372,   0.819,   0.227, 38,  0,   0.613,   0.598,   0.166,   0.005,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:53:538, 143643150592135,    0.980,   10.000,  900,   2.489,   2.645,   0.735,   0.741,   0.898,   0.249, 38,  0,   0.638,   0.667,   0.185,   0.000,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:53:695, 143643590451274,    1.136,   18.000,  900,   2.641,   3.059,   0.850,   0.850,   1.031,   0.286, 40,  0,   0.661,   0.770,   0.214,   0.023,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:53:761, 143643776503116,    1.203,   10.000,  800,   2.600,   3.231,   0.898,   0.719,   1.078,   0.300, 39,  0,   0.776,   0.821,   0.228,   0.022,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:53:871, 143644082328652,    1.312,   20.000, 2500,   5.108,   3.788,   1.052,   3.144,   1.421,   0.395, 45,  0,   1.049,   0.936,   0.260,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:53:977, 143644382400754,    1.419,    5.000,  800,   2.349,   4.039,   1.122,   0.648,   1.490,   0.414, 38,  0,   0.633,   1.003,   0.279,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:54:090, 143644697486084,    1.531,    7.000,  800,   2.286,   4.295,   1.193,   0.558,   1.553,   0.431, 38,  0,   0.653,   1.077,   0.299,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:54:195, 143644993429388,    1.636,    9.000,  900,   2.497,   4.558,   1.266,   0.751,   1.632,   0.453, 38,  0,   0.592,   1.139,   0.316,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:54:307, 143645308018130,    1.748,    4.000,  800,   2.023,   4.785,   1.329,   0.343,   1.670,   0.464, 38,  0,   0.599,   1.206,   0.335,   0.000,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:54:414, 143645605969855,    1.854,   26.000,  900,   3.500,   5.156,   1.432,   1.643,   1.844,   0.512, 39,  0,   0.751,   1.286,   0.357,   0.036,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:54:527, 143645925964489,    1.968,   17.000, 1500,   4.322,   5.649,   1.569,   2.247,   2.101,   0.583, 40,  0,   0.844,   1.382,   0.384,   0.166,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:54:691, 143646387814391,    2.133,   16.000, 1500,   2.478,   6.056,   1.682,   0.697,   2.215,   0.615, 38,  0,   0.613,   1.483,   0.412,   0.033,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:54:743, 143646531683868,    2.184,    2.000, 1500,   2.307,   6.175,   1.715,   0.562,   2.244,   0.623, 39,  0,   0.652,   1.516,   0.421,   0.019,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:54:852, 143646838514220,    2.293,    8.000,  900,   2.366,   6.433,   1.787,   0.655,   2.316,   0.643, 38,  0,   0.600,   1.582,   0.439,   0.000,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
21:06:54:961, 143647143732123,    2.402,   13.000, 2500,   3.509,   6.815,   1.893,   1.580,   2.487,   0.691, 43,  0,   0.897,   1.679,   0.466,   0.036,   0.048,   0.013,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
